"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.c"
"1","SPT_0265",20830.5990248347,0.334489664937216,0.0849398844309654,3.93795761764982,8.21781048350267e-05,0.0158720459552377,22456.5373729555,25362.7424839467,24943.5894563279,14071.7395718681,20524.4759612101,17624.5093027
"2","SPT_0920",6497.01620855661,0.273674400383804,0.0736958976993783,3.71356356225121,0.000204361106719799,0.0158720459552377,6840.4275037338,8022.0928366352,6919.81083564992,5394.64658059555,5940.64727227545,5864.47222244975
"3","SPT_1153",9808.36082980302,0.256999699215634,0.0678345381440689,3.78862606346358,0.000151482720664944,0.0158720459552377,10749.5440525582,11364.483520396,10416.9983998249,8277.08515834154,8850.66964271555,9191.38420498197
"4","SPT_0266",13567.4097038471,0.263105531923805,0.0736947763030716,3.5702059918301,0.000356700613053388,0.0207778107103598,14382.0953436636,16627.5944615889,14298.0087165867,12667.2455679044,11181.0217816108,12248.4923517285
"5","SPT_1243",7890.64885311543,0.229438528554865,0.0657655405632414,3.48873477796831,0.000485312421333874,0.0226155588341585,8173.41589055684,8932.28158553393,8771.69449860869,7086.98741222672,7019.5860477684,7359.927683998
"6","SPT_1060",11318.2507251632,-0.20220181852354,0.0618696493817386,-3.26819079377589,0.00108237373752475,0.0360275829776094,10657.589614078,10397.463474005,10174.9700399134,12100.4850899798,12217.1661104796,12361.8300225232
"7","SPT_1477",14048.7041947913,0.238165866766758,0.0724049388850901,3.28935940605844,0.0010041570968744,0.0360275829776094,14226.9661001207,15422.5933569493,16773.2987611355,12744.6664387943,11872.2169346609,13252.4835770872
"8","SPT_1151",9279.39003269861,0.236905467410451,0.0755799047042357,3.13450338866561,0.00172145265609476,0.05013730860876,9066.98841105485,10556.4135091786,11103.9677850281,8082.54040584904,8854.56004695411,8011.87003812701
"9","SPT_1222",8317.34036545365,0.228333703975494,0.0737225716901712,3.09720210161817,0.00195356636526303,0.050575662567365,8189.56056296175,9863.78207099223,9352.31808930534,7148.52707883149,7818.41571808529,7531.43867254579
"10","SPT_0163",34623.0122688182,0.200130430197081,0.0687528993231065,2.91086531866185,0.0036042934349925,0.0839800370353253,38213.7376401507,39269.5385780959,34991.4334890151,29934.0849268814,33045.0936022971,32284.1853764687
