"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC120min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC120min.b"
"1","SPT_0388",6135.2191483431,3.11552269317017,0.153752176538674,20.2632753780009,2.71300432987521e-91,5.61320595851182e-88,8308.49485818015,9016.95779265289,11161.0936424517,1145.34765556694,1044.20179286385
"2","SPT_1862",10822.6794443351,1.90555373485987,0.152229823716801,12.517611124643,5.98082232852272e-36,6.18716069885676e-33,15988.7295823493,15911.5042881931,14043.6438115258,4689.66781008685,3479.85172952034
"3","SPT_2058",12033.4989050152,1.89152296371025,0.177117342262712,10.6794904414533,1.26966653471958e-26,8.75646686778268e-24,15218.1292617265,17799.6519158849,17990.0907252116,5497.52812699687,3662.09449525601
"4","SPT_1864",4688.35636426756,1.68176874680586,0.175812555271271,9.56569196216367,1.11453387494127e-21,5.7649264681337e-19,6072.77227191457,6519.02271085054,6821.75968993943,2429.90883832986,1598.3183103034
"5","SPT_0430",879.850073803267,1.23675803811587,0.14317498612424,8.63808736145205,5.71619014609575e-18,2.36535948245442e-15,1155.90048093423,1191.49836357134,1084.57500981304,525.21467078484,442.061843912881
"6","SPT_1288",516.773413232069,1.26169456059525,0.15055268396674,8.38041891617144,5.27396545229525e-17,1.81863908679981e-14,695.749015594173,629.090078557178,696.857537286932,277.723955769761,284.446478952299
"7","SPT_2056",420.565407502159,1.54022275996469,0.185244717003667,8.31453001671405,9.21165867279293e-17,2.7227031134298e-14,493.282370844546,614.174414212029,604.839257140734,214.445079771588,176.0859155419
"8","SPT_0131",2165.57121347583,1.00751402342436,0.121453835652519,8.2954483735439,1.08176399621669e-16,2.79771213521543e-14,2607.52497026035,2891.00670689805,2634.41098665742,1406.90034302606,1288.01306053725
"9","SPT_0141",5509.70217178243,1.09658369020811,0.133735740989282,8.19963072022754,2.41126589805715e-16,5.54323238120028e-14,6094.85954225089,7642.96188885855,7263.24065198916,3324.95338439291,3222.49539142064
"10","SPT_1865",1955.21320722922,1.38245792843848,0.170733625093068,8.09716262795268,5.62558459364231e-16,1.16393345242459e-13,2273.76177406702,2746.23702354807,2768.81971046647,1152.37864178896,834.86888627558
"11","SPT_2057",433.847087214854,1.38783004872224,0.174202127780353,7.96678012149264,1.62862063726044e-15,3.06328736226531e-13,618.443569417042,502.745627633561,608.974910181013,228.507052215626,210.564276627027
"12","SPT_0549",8331.70841816099,1.48208230172539,0.186853733593307,7.93177783084169,2.16030657313756e-15,3.72472858318468e-13,10669.3786430182,9753.96708970732,13205.1401576093,3275.73648083878,4754.31971963129
"13","SPT_0550",54382.8415579599,1.63848869698066,0.208831477530503,7.84598527174303,4.29567360477677e-15,6.83672976021779e-13,65752.5767206592,73449.1181956166,84751.9377544278,17663.946685579,30296.6284335168
"14","SPT_RS02190",189.505546514043,1.6665386735351,0.21614861019601,7.71015215884954,1.25667817973878e-14,1.85719082419967e-12,247.868255996513,261.462822050264,275.020927178522,89.2935250196447,73.8822023252726
"15","SPT_2055",1300.03943593181,1.42314635272453,0.187963942629628,7.57137955724175,3.69281354411855e-14,5.09362081518751e-12,1658.9994163727,1885.51545163093,1665.63426197218,783.954963755149,506.093085928117
"16","SPT_2234",14709.0103133315,0.870217950157803,0.119726777274203,7.26836527274762,3.63863798388767e-13,4.70521374291474e-11,16653.8018335875,18598.9560463808,18634.218686235,9195.1237811568,10462.9512192974
"17","SPT_0552",12186.4158614638,1.39764941639042,0.198547820423336,7.03935914990358,1.93125991626051e-12,2.35045692161353e-10,14894.1826301271,14895.4843286823,18833.7639454284,4733.25992466337,7575.38847841795
"18","SPT_1291",768.780096629264,0.931512011843659,0.138612892679258,6.72024076432142,1.81424535579322e-11,2.08537424507566e-09,905.578083789241,918.629445257135,1024.608040729,506.231007985388,488.853905385554
"19","SPT_RS09270",1832.24826320427,1.43704312776898,0.218284254839132,6.58335677407439,4.59943654071078e-11,5.00854431722664e-09,2348.61307909567,2452.3106967466,2554.79966563206,1171.36230458841,634.15556995859
