"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.c"
"1","SPT_0388",42167.8255994744,7.10778433722927,0.186615254956554,38.0879062587036,0,0,86945.7389693355,85490.5400980693,78946.9531722982,566.723795789028,599.323500433116,457.674060921453
"2","SPT_1864",9033.34830983152,3.23065911762451,0.187181280746916,17.2595203149219,9.48959579036555e-67,1.02155498683285e-63,14446.3134498243,16944.8096055148,17837.1097058617,1853.33998082358,1649.68427438806,1468.83284257664
"3","SPT_0745",2085.15113848842,3.34564873855339,0.238212845880134,14.0447872413937,8.29170268823391e-45,5.95067862925587e-42,3095.54434647172,4087.82695323912,4290.01819373197,418.660822114417,327.465417762424,291.39109761089
"4","SPT_0549",10538.8400672029,2.90286215158362,0.21188742534064,13.7000208809788,1.01495104279524e-42,5.46297398784541e-40,20320.7224142285,17024.4400509143,18838.5979810432,2624.28856788793,2591.91967455353,1833.07171459025
"5","SPT_RS09270",3076.58404614633,3.53438057887844,0.258784140560487,13.6576398044467,1.81780543166339e-42,7.82747018874254e-40,5323.73810311078,5199.1227749958,6618.35364455054,459.505780369482,546.805461735369,311.978512116008
"6","SPT_2058",11122.8686810089,2.98385133997924,0.229337632080951,13.010735799897,1.06313459611805e-38,3.81488130907028e-36,21415.9064754269,19032.0687186696,19308.7120966246,2971.47071305598,1785.61331572341,2223.44076655266
"7","SPT_1156",6934.17086638911,2.25213716559464,0.179125619907461,12.5729483407127,2.97421626199834e-36,9.14783944583202e-34,11606.3120509656,11994.7771400197,11013.6483583741,1965.66361602501,2551.75882143172,2472.86521151851
"8","SPT_0548",18696.5601311014,2.11247637612971,0.17970772027458,11.7550674667844,6.65076082051833e-32,1.789886005822e-29,30522.6478357135,27756.1135742533,33418.0346794158,6846.63612750528,6024.12796827101,7611.8006014497
"9","SPT_1862",11169.6398009341,2.88479804760531,0.246776540693136,11.6899201176198,1.43521540867627e-31,3.43335419431112e-29,19875.1716294919,18140.4430911182,21656.5600059084,1935.02989733371,2128.52521545576,3282.10896629658
"10","SPT_0736",661.986723166648,2.67548742182303,0.236966530120262,11.2905709530591,1.46084614704162e-29,3.14520175458061e-27,1171.71499559543,1185.82678050493,1101.77323613087,178.69669236591,197.714969215049,136.193665187699
"11","SPT_0472",562.867366886844,2.74973773303821,0.262447063468395,10.4773042483264,1.0982977340132e-25,2.14966820120947e-23,968.952002739016,988.515873924054,1003.75716570077,178.69669236591,135.929041335346,101.353425255962
"12","SPT_0743",158.484435000902,4.1432470005914,0.406836795081534,10.1840518131136,2.33626267902242e-24,4.19164462327939e-22,257.742112394491,319.306318005627,336.249574947683,20.4224791275325,9.2678891819554,7.91823634812202
"13","SPT_0740",340.6973259823,2.88623888620862,0.284665890545928,10.1390401241028,3.70724329977301e-24,6.13976524954715e-22,605.210147875119,571.142504933898,648.902688495528,91.9011560738964,49.4287423037621,77.5987162115958
"14","SPT_0738",368.329063957196,2.84284644366399,0.288138090578218,9.86626390825019,5.82955814021499e-23,8.96502762563062e-21,676.902919752767,678.231724609004,625.760005199533,61.2674373825976,64.8752242736878,102.937072525586
"15","SPT_RS02190",437.157083996748,2.3372951402821,0.239540882023711,9.75739556661875,1.71502917988274e-22,2.46163854952502e-20,830.844454459374,680.977602036571,702.448504749005,132.746114328961,142.107634123316,133.818194283262
"16","SPT_2055",1084.51982599422,2.51723096984057,0.260127135598548,9.67692572344852,3.77908894019868e-22,5.08523655515484e-20,1855.65524264907,1816.59405243742,1929.0107194367,301.231567131105,389.251345642127,215.376028668919
"17","SPT_0553",1037.734183782,2.63206458858192,0.272560703421175,9.65680142274476,4.60002284106203e-22,5.82579363341562e-20,1814.75077771275,1539.26043225317,2085.56416526255,194.013551711559,355.26908530829,237.547090443661
"18","SPT_1380",11103.5844435148,1.80195749481409,0.187768589782643,9.59669291280294,8.25506221987066e-22,9.87397164410085e-20,18509.0504672098,17101.3246188861,16509.8087521208,5488.54126552437,4976.85649071005,4035.9250666378
"19","SPT_0131",3004.92090361287,1.66755929068033,0.177489433530652,9.39525952339208,5.70769386191455e-21,6.46771836036949e-19,4837.2828534379,4427.53121784953,4549.57926913018,1240.6656069976,1396.36197008128,1578.10450418072
"20","SPT_1815",753.933990077664,2.86343350476425,0.307608570913494,9.3086922001582,1.2941597306509e-20,1.39316295004569e-18,1488.83455709104,1170.52832055134,1379.4854356828,229.752890184741,92.678891819554,162.323845136501
"21","SPT_1817",180.956131643368,2.94766510094715,0.317345462198959,9.28850559425712,1.56469696650404e-20,1.60418693756343e-18,336.912044529318,327.151682084389,311.291779236316,40.8449582550651,37.0715567278216,32.4647690273003
"22","SPT_0082",448.18823000476,1.9665835812635,0.214708170551391,9.15933276415673,5.22191852921216e-20,5.11035936063354e-18,730.122707465623,708.828644516177,722.414741318098,173.591072584027,179.179190851138,174.993023293497
