"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.c"
"1","SPT_0549",5110.93198322768,1.83579759762204,0.108783960393495,16.8756275371991,6.79985095500923e-64,1.29401163673826e-60,7471.18227131921,8600.63275941594,8703.38579365822,2048.90160815784,2006.10052031589,1835.38894649901
"2","SPT_0550",38667.4564093158,1.69860895323745,0.122260507934676,13.8933575684556,6.9499495582869e-44,6.61287700470998e-41,53245.2608981971,62180.9670196513,70166.1007141393,17674.3473858929,13431.9903841815,15306.072053833
"3","SPT_0388",3598.31678762525,1.77702118117969,0.12995381753141,13.6742514759151,1.44688489488871e-42,9.17807318324408e-40,5419.57750338019,5286.48074083704,6928.03078767597,1192.9512066031,1196.75123290677,1566.10925434842
"4","SPT_0548",6593.88884264714,1.40568779721696,0.117448963017064,11.968499006779,5.19601067690467e-33,2.4720020795374e-30,10670.9328268204,8259.28436126157,10964.230661149,3199.1344028534,3163.37130017832,3306.37950362011
"5","SPT_0551",5784.42292257243,1.61995395828123,0.140598758590695,11.5218226285851,1.02421275109725e-30,3.89815373067613e-28,9245.16162341327,7628.77893532416,11149.6817573153,1819.48791458032,2820.38486435555,2043.04244044597
"6","SPT_0552",5916.85212189394,1.24552467631384,0.120331762564065,10.3507556922115,4.15195531315579e-25,1.31686182682258e-22,9055.76462362073,7542.49481495222,9420.31259225233,3597.83958065709,3080.70910161671,2803.99201826454
"7","SPT_2058",17918.2926709788,0.850844605318915,0.128921923186399,6.59968905434912,4.12021031588068e-11,1.12010860444585e-08,19976.0897731493,25636.0644078744,26500.6600956663,10605.2412968973,10572.1250667816,14219.575385504
"8","SPT_1855",4487.74551229313,0.753812805655187,0.114744838554338,6.5694702711897,5.04945745149081e-11,1.20113969127338e-08,5450.16335427837,5422.85174083953,6511.14275442408,3401.65131856321,3267.00748941973,2873.65641623385
"9","SPT_0726",1074.04111889204,0.770820850863515,0.121562252385392,6.34095564813787,2.28344275820057e-10,4.82821285428409e-08,1468.12084311232,1277.84677780106,1455.71571828099,761.02059731577,688.440399960804,793.102376881323
"10","SPT_1322",2188.1956825944,0.698735695699269,0.11555037115449,6.04702251250293,1.47547147641461e-09,2.80782221961701e-07,2502.15787924673,2999.7411019065,2844.3373407945,1577.41691377094,1486.6858099512,1718.83504989652
