"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.C","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.C"
"1","SPT_1590",7575.11246683186,-2.3729163081965,0.120742398287463,-19.6527180332054,5.47983702728411e-86,1.11021498172776e-82,2436.09208507734,2288.03491320152,2442.64331361133,13921.0273467224,12034.2286344592,12328.6485079193
"2","SPT_0988",8183.67316557963,-1.74536994223618,0.134824918121014,-12.9454552360239,2.49281138030503e-38,2.52521792824899e-35,3615.53518493272,3709.67794409761,3709.66067866482,13236.9082885406,10910.5571227364,13919.6997745055
"3","SPT_1057",8409.84395099926,-1.99997026288047,0.155360545323292,-12.8730898743868,6.37979317759291e-38,4.30848699260108e-35,2923.96757345763,3889.75939769458,2927.29476472468,12522.2955514089,13500.5090921496,14695.2373265601
"4","SPT_1050",4399.4025349304,-2.39680709213436,0.188357730239885,-12.7247609592761,4.3079116023554e-37,2.18195722659301e-34,949.468122167702,1339.60592425747,1651.96908908068,7444.43510017585,7641.10933146673,7369.82764243398
"5","SPT_1589",5668.91577034503,-1.90295200026172,0.155205842759239,-12.2608270824807,1.46991867955512e-34,5.95611048955733e-32,2614.32269278529,2164.97925324359,2160.16075353383,10562.7452258417,8155.38037979815,8355.90631686765
"6","SPT_1181",8328.30176918142,-1.56733778509274,0.133384747398513,-11.7505023300004,7.0200288468453e-32,2.3704297406181e-29,3845.5101626204,4346.96619932689,4181.84966389241,12839.1646500628,13686.4763697104,11069.8435694756
"7","SPT_0062",2537.95557294393,1.41294139724163,0.126391318272735,11.1791016705174,5.16097475792705e-29,1.49373355136574e-26,3627.85527302313,3833.73405657552,3672.2732810075,1222.39878225505,1408.34449814266,1463.12754665969
"8","SPT_0080",47310.6683086438,1.19744054965465,0.108198788959817,11.0670420728956,1.81285923972505e-28,4.59106602460369e-26,62646.8266005357,67369.472243147,68394.0127811171,29121.463397215,28765.5615448467,27566.6732850011
"9","SPT_1058",1947.70642651498,-1.82875485985531,0.169396243120184,-10.7957226569531,3.60614317468358e-27,8.11782896878769e-25,757.274747957284,1024.46338046277,688.205060580969,2930.044803453,3009.09360268469,3277.15696395117
"10","SPT_2247",4371.95993023067,1.46298896500499,0.137818545205722,10.6153272973618,2.52906535409768e-26,5.12388640740191e-24,5747.73176377991,6297.84861329408,7333.46881456099,2207.4771935517,2419.00512580927,2226.22807038808
"11","SPT_0063",3933.278717996,1.17426876958828,0.112261047420037,10.4601622430497,1.31630081806671e-25,2.42438677945741e-23,5355.95296250483,5272.38478031133,5790.89248158876,2436.84269174055,2408.99150317139,2334.60788865917
"12","SPT_1728",2305.42046961062,-2.60961689848892,0.25484392435416,-10.2400593033652,1.3115595304285e-24,2.21434967387345e-22,304.716845436174,579.262009070258,792.058942962403,3550.52487947835,4403.13292563036,4202.8272150862
"13","SPT_0987",5255.61147613104,-1.39707354849682,0.1381962043843,-10.1093481888388,5.02172563096057e-24,7.82616625255855e-22,2664.42438435296,2908.31547559109,2956.37385179149,7626.07136174737,6742.7443290964,8635.73945420693
"14","SPT_1049",4062.76812204085,-1.45203036642746,0.144432129213487,-10.0533750650535,8.87738329144285e-24,1.28468418203309e-21,2091.95095775185,2430.09917103913,1870.75460129756,6294.95598497505,6226.32750448543,5462.52051269606
"15","SPT_1059",3115.18558818552,-1.5981888671412,0.16097801805505,-9.92799443334346,3.14517738717054e-23,4.24808625760501e-21,1327.28415694032,1697.76792641145,1485.80287727038,4151.1177735798,4491.10975309179,5538.03104181936
"16","SPT_1224",4530.72313511609,-1.25525342465042,0.126541162196582,-9.9197241661206,3.41699157662094e-23,4.32676558389626e-21,2437.73476348939,2914.31819071099,2572.80684619606,6444.77275546835,6107.5945503505,6707.11170448126
"17","SPT_1729",1099.63529116483,-2.21410026220822,0.225817100912885,-9.80483875338726,1.07318268430979e-22,1.27898124612449e-20,225.868281657541,406.183723113169,437.571024433775,1549.8743779351,2094.99290759768,1883.32143225169
"18","SPT_0066",3515.30334697082,1.3541450982917,0.138387236808469,9.78518777830554,1.30353094537804e-22,1.46719649740884e-20,4717.77239942152,4887.21056011781,5655.19007527702,2070.91854434099,2021.32125533324,1739.40724733435
