,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.C
1,SPT_2260,2299.578565,2.138866522,0.098454962,-21.72431421,1.21E-104,2.30E-101,4045.341617,3771.372031,3634.793191,858.9686383,758.6834909,728.3124214
2,SPT_1079,9602.034575,1.630592926,0.084951727,-19.19434704,4.13E-82,3.93E-79,14491.77902,14577.35103,15054.3342,4271.844031,4438.953486,4777.945681
3,SPT_2261,1188.71172,1.8918112,0.103834178,-18.2195423,3.61E-74,2.29E-71,1931.293958,1883.333529,1918.879526,441.9838628,431.1513716,525.6280741
4,SPT_1322,444.9089001,1.406570676,0.124963526,-11.25584977,2.17E-29,1.03E-26,731.0148069,598.8758653,670.0972102,225.9917489,198.9013234,244.5724458
5,SPT_0952,7886.420215,-1.030270877,0.093858276,10.97687832,4.94E-28,1.88E-25,4976.795968,5589.508076,4534.195343,10635.61168,10784.73942,10797.6708
6,SPT_1222,4789.664778,0.833599634,0.085249674,-9.778332246,1.39E-22,4.42E-20,6135.808154,6534.535536,5924.743889,3395.876014,3352.737876,3394.287203
7,SPT_2021,29693.39312,1.176997526,0.124143092,-9.480974783,2.52E-21,6.85E-19,41947.2803,52108.92167,33062.51888,15270.44246,17217.47024,18553.72515
8,SPT_0809,2709.535252,-0.837241476,0.091940434,9.106346792,8.52E-20,2.03E-17,1994.962989,1769.742035,1946.767964,3699.864915,3381.322497,3464.55111
9,SPT_1186,1595.696097,-0.832531562,0.094828835,8.779308162,1.64E-18,3.48E-16,1189.667645,1059.963232,1117.08691,2137.921943,1961.619638,2107.917212
10,SPT_0651,6888.793473,-0.743100446,0.085948837,8.645846463,5.34E-18,1.02E-15,5383.570336,4776.892003,5053.230176,8936.673714,8577.768449,8604.626159
11,SPT_0959,2121.156859,0.769592604,0.089649671,-8.584444271,9.13E-18,1.58E-15,2577.416722,2742.327195,2786.519844,1513.944725,1514.98493,1591.747741
12,SPT_1330,2786.051088,-0.751503124,0.088283764,8.512359299,1.70E-17,2.70E-15,2042.125235,2129.33641,1949.86668,3640.867069,3400.378912,3553.732223
13,SPT_0330,2555.726296,0.859773953,0.101298714,-8.487510999,2.11E-17,3.09E-15,3587.867835,3471.598029,2977.090843,1629.940489,1773.437548,1894.423033
14,SPT_1787,573.4016116,-1.112121519,0.132518729,8.392183734,4.77E-17,6.49E-15,366.6864596,301.1182802,342.4080542,783.9713765,659.8283422,986.397157
15,SPT_0757,9459.768357,0.725972194,0.089240098,-8.13504481,4.12E-16,5.22E-14,11155.05014,12424.48975,12154.71125,6723.75451,7520.13746,6780.467033
16,SPT_1187,3149.020873,-0.738427684,0.092114312,8.016427256,1.09E-15,1.29E-13,2158.851793,2449.946722,2336.431429,3743.863308,4166.208558,4038.823428
17,SPT_0745,1017.811261,0.800365656,0.100645375,-7.952334156,1.83E-15,1.94E-13,1287.529305,1358.392956,1289.065616,705.9742243,784.8860605,681.019407
18,SPT_RS06055,2837.751116,0.905487535,0.113843082,-7.953821334,1.81E-15,1.94E-13,4256.392666,3388.92493,3689.020711,2016.92636,2090.250434,1584.991596
19,SPT_2050,1560.334535,0.778449403,0.099063693,-7.858069655,3.90E-15,3.91E-13,1912.429059,2095.05732,1983.95255,1016.96287,1146.957931,1206.647481
20,SPT_0277,2533.443754,-0.721622291,0.09221309,7.82559496,5.05E-15,4.81E-13,1770.942323,1980.121548,1880.920262,3205.882951,3356.310954,3006.484485
21,SPT_0951,3312.084943,-0.766945864,0.099169493,7.733687474,1.04E-14,9.47E-13,2263.787789,2704.687409,2214.806849,4037.852575,4434.189383,4217.185653
22,SPT_1788,271.7041564,-0.971847496,0.131645791,7.38229069,1.56E-13,1.35E-11,188.6489824,180.1332569,149.5130192,373.9863454,370.4090513,367.5342832
23,SPT_1400,1862.919183,0.729249733,0.098926133,-7.371659139,1.69E-13,1.39E-11,2417.065087,2463.389502,2182.270337,1418.948193,1244.622053,1451.219927
24,SPT_0958,5873.259574,0.663780399,0.090774736,-7.312391407,2.62E-13,2.08E-11,6902.194645,7363.282945,7554.668201,4560.83348,4752.193295,4106.384877
25,SPT_0957,3752.67612,0.648201711,0.090220299,-7.184654886,6.74E-13,5.13E-11,4436.788256,4693.546765,4749.556064,2985.890983,2997.812161,2652.462492
26,SPT_1012,432.9092736,0.966040611,0.13508605,-7.15129807,8.60E-13,6.08E-11,629.6159789,591.4823361,551.5713453,223.9918219,254.8795401,345.9146194
27,SPT_1060,8069.474218,-0.616334213,0.086191785,7.150730317,8.63E-13,6.08E-11,6356.291652,6120.4979,6391.10056,10480.61734,9243.55192,9824.785929
28,SPT_0920,7733.027652,-0.705011142,0.098925394,7.12669534,1.03E-12,6.99E-11,5817.462996,6136.629237,5319.719702,9197.664186,9010.110846,10916.57895
29,SPT_1080,1368.886736,0.682502062,0.098289625,-6.943785417,3.82E-12,2.50E-10,1695.48273,1769.069896,1659.362109,1091.960132,1062.395092,935.0504557
30,SPT_0257,31624.64597,-0.605396126,0.088067166,6.874254641,6.23E-12,3.95E-10,25021.92941,24313.95685,24917.54539,42108.46258,37464.91035,35921.07126
31,SPT_0642,1421.730742,0.708899221,0.103364871,-6.858221898,6.97E-12,4.28E-10,1944.263575,1582.215249,1842.186319,1007.963198,1095.743817,1058.012293
32,SPT_0259,48493.74128,-0.644700922,0.095685528,6.737705666,1.61E-11,9.57E-10,39237.80929,38123.72512,34185.02855,64595.64156,61211.58451,53608.65864
33,SPT_0961,4962.463175,0.611949101,0.09174147,-6.670365106,2.55E-11,1.47E-09,5903.534094,5903.396997,6367.085515,4008.853633,4073.308538,3518.60027
34,SPT_1590,7122.973759,0.757390127,0.1137586,-6.657871394,2.78E-11,1.55E-09,9537.385118,7853.944428,9960.046048,5729.7908,4293.648328,5363.02783
35,SPT_0815,1127.902975,-0.661128386,0.101412732,6.51918526,7.07E-11,3.84E-09,845.3832525,906.7155356,815.7368351,1367.950055,1520.94006,1310.692113
36,SPT_1699,8815.420311,-0.579391479,0.089530328,6.471454898,9.71E-11,5.13E-09,7093.201739,7154.24771,6678.506415,10065.6325,10295.22778,11605.70573
37,SPT_0814,1354.499739,-0.628065302,0.099101741,6.337580936,2.33E-10,1.20E-08,1024.599786,1117.767187,992.3636142,1778.93505,1656.717011,1556.615787
38,SPT_1239,443.4040914,-0.716707585,0.114859745,6.239850055,4.38E-10,2.19E-08,319.524214,344.1351774,311.4209,528.9806865,584.7937112,571.5698595
39,SPT_1244,3015.913935,-0.658024522,0.106679712,6.168225529,6.91E-10,3.37E-08,2239.02761,2558.161104,2062.195114,3850.859402,4082.836746,3302.403632
40,SPT_1331,669.5569171,-0.661908576,0.107391802,6.163492595,7.12E-10,3.39E-08,519.9637578,524.2684342,475.6528174,853.9688209,770.5937498,872.8939225
41,SPT_1332,3202.321754,-0.546132978,0.089304204,6.115422967,9.63E-10,4.47E-08,2500.778073,2767.868477,2444.11179,3843.859657,3777.934118,3879.378408
42,SPT_0258,8303.148089,-0.507048762,0.08389536,6.043823702,1.51E-09,6.82E-08,6468.301985,6914.294081,6989.927315,9589.649874,9650.882774,10205.8325
43,SPT_0950,2885.400937,-0.599793852,0.10002068,5.996698373,2.01E-09,8.91E-08,2336.88927,2408.274102,2016.489061,3623.86769,3211.005795,3715.879701
44,SPT_0941,8372.690658,-0.529845831,0.089509469,5.919438854,3.23E-09,1.40E-07,7209.928297,6904.884135,6199.754882,9819.641477,9716.389198,10385.54596
45,SPT_0271,15544.38078,-0.459990212,0.079007403,5.822115344,5.81E-09,2.46E-07,12802.19157,13257.94214,12899.17763,18225.33458,18234.60635,17847.0324
46,SPT_1188,2411.514427,-0.552108462,0.095772612,5.764784458,8.18E-09,3.38E-07,1971.381866,2082.958818,1727.533848,2886.894597,2866.799313,2933.51812
47,SPT_1045,634.660928,0.62774293,0.109612551,-5.726925628,1.02E-08,4.14E-07,800.5791192,835.4687997,710.3805107,495.9818913,476.4103554,489.1448916
48,SPT_2115,3712.325512,0.604027294,0.105778878,-5.71028269,1.13E-08,4.47E-07,4660.808922,4112.146514,4844.066885,3225.88222,2929.923686,2501.124846
49,SPT_RS06605,192.5746952,-0.811839178,0.14274468,5.687351543,1.29E-08,5.01E-07,134.4124,139.1327768,120.8499015,270.9901059,264.4077472,225.65524
50,SPT_0276,24503.3002,-0.521781066,0.092649602,5.631767992,1.78E-08,6.79E-07,19103.06758,20045.20194,20448.42308,27265.00453,27635.37369,32522.73037
51,SPT_1789,448.6433456,-0.811866431,0.144457581,5.620102616,1.91E-08,7.12E-07,298.3012035,280.2819706,335.4359445,498.9817818,497.8488214,781.0103517
52,SPT_0270,12047.2348,-0.455244951,0.083057946,5.481052356,4.23E-08,1.55E-06,9803.851806,10400.67917,10021.24568,13333.51318,14247.05168,14477.06732
53,SPT_1242,11149.74969,-0.52153921,0.095487221,5.461874443,4.71E-08,1.69E-06,9957.129104,8946.170333,8197.651651,13135.52041,12520.06414,14141.96253
54,SPT_0260,8930.645457,-0.4576937,0.086094898,5.316153575,1.06E-07,3.73E-06,7054.292887,7885.534962,7426.071511,10157.62914,10185.6534,10874.69085
55,SPT_0804,1289.557299,0.502891376,0.095200314,-5.282455037,1.27E-07,4.41E-06,1603.516351,1469.968033,1505.201017,1073.960789,1006.416876,1078.280728
56,SPT_0779,6872.492131,-0.522017708,0.100444189,5.197092164,2.02E-07,6.88E-06,5486.14822,6277.106292,4906.815872,7939.710114,8692.106934,7933.065354
57,SPT_1588,3079.916783,0.501371592,0.097090065,-5.163984538,2.42E-07,8.07E-06,3611.448957,3579.812411,3742.473552,2650.903213,2686.954404,2207.908157
58,SPT_RS00290,258.2867143,-0.709879483,0.138800968,5.114369826,3.15E-07,1.02E-05,186.2908701,200.9695665,171.978706,296.9891567,389.4654655,304.026521
59,SPT_1591,1256.345876,-0.511523546,0.10003871,5.113256119,3.17E-07,1.02E-05,1037.569403,1003.503554,1020.252053,1386.949361,1439.950299,1649.850587
60,SPT_0666,890.0865014,0.512653739,0.100551491,-5.098420051,3.43E-07,1.08E-05,1003.376775,1058.618954,1108.565443,698.9744799,716.9975848,753.9857721
61,SPT_1353,824.0919312,0.562781307,0.110435563,-5.096015197,3.47E-07,1.08E-05,1067.045807,882.518531,1040.393703,616.9774736,633.6257727,703.9902997
62,SPT_0663,757.3599252,-0.542540233,0.1068895,5.075711218,3.86E-07,1.18E-05,639.048428,563.9246363,615.8696903,981.9641477,892.0783904,851.2742588
63,SPT_0261,20055.7199,-0.460728699,0.091066412,5.059260494,4.21E-07,1.27E-05,16393.59657,17999.21077,15715.13527,23710.13432,24811.45131,21704.79114
64,SPT_0266,10794.89236,-0.41124215,0.08158078,5.040919583,4.63E-07,1.38E-05,9428.911953,9252.665725,8918.102987,12691.53662,11969.81018,12508.32669
65,SPT_0744,102.5237035,0.840415477,0.167250111,-5.024902368,5.04E-07,1.47E-05,129.6961754,139.8049158,147.9636614,61.99773641,76.22565686,59.45407522
66,SPT_0918,958.6665323,-0.492116186,0.097973427,5.022955746,5.09E-07,1.47E-05,794.6838385,746.0743103,818.0608716,1133.958598,1105.272024,1153.949551
67,SPT_1938,38618.60487,-0.434467172,0.087773021,4.949894238,7.43E-07,2.11E-05,32465.31082,34422.25554,30760.948,44783.36492,47375.43676,41904.3132
68,SPT_1786,221.9972354,-0.728562726,0.147838546,4.928097223,8.30E-07,2.32E-05,172.1421965,171.3954497,129.3713689,332.9878423,247.7333848,278.3531703
69,SPT_1385,752.8389697,0.554550912,0.113531729,-4.884545628,1.04E-06,2.85E-05,1013.988281,831.4359656,883.1338955,607.9778022,535.9616498,644.5362245
70,SPT_2191,2840.90069,0.509145495,0.104280641,-4.882454608,1.05E-06,2.85E-05,3314.32681,3812.372512,2996.457814,2228.91862,2497.581288,2195.747096
71,SPT_1682,987.9730702,0.501982441,0.102901445,-4.878283695,1.07E-06,2.87E-05,1229.755554,1207.161677,1076.803609,821.9699892,840.8642772,751.2833141
72,SPT_0810,524.7034584,-0.565518157,0.116568809,4.851367734,1.23E-06,3.24E-05,430.3554912,440.251057,370.296493,682.975064,641.9629539,582.3796913
73,SPT_1493,11030.44617,-0.395655852,0.081616039,4.847770815,1.25E-06,3.25E-05,9354.631416,9843.475922,9184.592513,12679.53706,12820.20266,12300.23742
74,SPT_0960,5957.043054,0.423519294,0.087810833,-4.823087082,1.41E-06,3.64E-05,7127.394367,6590.323074,6893.092458,5080.814495,4720.035596,5330.598335
75,SPT_1241,3170.271245,-0.515820528,0.107711613,4.788903558,1.68E-06,4.25E-05,2658.771596,2603.194418,2427.843534,3438.874444,3432.536611,4460.40687
76,SPT_0921,6853.275092,-0.47334209,0.099256857,4.768860341,1.85E-06,4.64E-05,5324.617529,6208.548112,5452.964465,7494.726361,7666.633644,8972.160442
77,SPT_1802,2422.899303,-0.599133145,0.126986986,4.718067311,2.38E-06,5.88E-05,1951.337912,1458.54167,2193.115841,3259.880979,3149.072449,2525.446968
78,SPT_1525,437.1558195,-0.616651716,0.13113427,4.702445185,2.57E-06,6.27E-05,363.1492912,284.3148047,353.2535582,566.9792991,452.5898376,602.6481261
79,SPT_0812,356.7580087,-0.591039176,0.126001419,4.690734279,2.72E-06,6.56E-05,255.8551824,291.0361949,280.4337458,430.9842644,493.0847178,389.1539469
80,SPT_1134,881.3634367,0.525435661,0.112605606,-4.666158997,3.07E-06,7.30E-05,1047.001852,1160.784085,954.4043503,639.9766339,786.0770864,699.9366128
81,SPT_0251,805.8755471,0.517264018,0.111363527,-4.644824302,3.40E-06,8.00E-05,962.1098104,844.2066069,1078.352967,643.9764879,643.1539798,663.4534303
82,SPT_RS06650,239.1364608,-0.649900447,0.140357492,4.630322456,3.65E-06,8.47E-05,182.7537017,149.8870011,201.4165025,276.9898869,325.1500675,298.6216051
83,SPT_1165,1058.939372,0.460797679,0.100233322,-4.597250418,4.28E-06,9.82E-05,1269.843463,1301.933278,1144.20067,917.9664843,867.0668468,852.6254878
84,SPT_1778,1906.004562,-0.420749612,0.091754537,4.585600055,4.53E-06,0.000102555,1581.114284,1647.412734,1614.430735,2342.914458,2085.486331,2164.668829
85,SPT_0255,18543.19605,-0.407378972,0.089961824,4.528353826,5.94E-06,0.000131539,16138.92045,15886.0057,15375.82593,20954.23494,19579.27458,23324.91469
86,SPT_0452,4547.353929,0.497499417,0.109820756,-4.530103716,5.90E-06,0.000131539,4842.383568,6099.661591,5224.434203,3177.883973,3968.49826,3971.261979
87,SPT_0917,880.1306799,-0.446073594,0.098945333,4.508283339,6.54E-06,0.000141329,729.8357508,744.0578932,734.3955552,1033.962249,1068.350222,970.1824092
