,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
1,SPT_2255,4685.169397,-2.822798589,0.086039954,32.80799741,4.53E-236,8.80E-233,1129.066226,1008.736646,1141.206746,7912.268283,7481.362654,9438.375827
2,SPT_2256,10643.66306,-2.623483179,0.083247057,31.5144256,5.51E-218,5.35E-215,2799.632267,2645.993817,3026.303225,18138.81431,16384.0899,20867.14483
3,SPT_1414,2417.006843,-1.938935422,0.088445599,21.92235061,1.59E-106,1.03E-103,961.3142774,987.0100102,933.9109133,3470.312477,3669.949914,4479.543463
4,SPT_1413,5856.255995,-1.762109676,0.090912716,19.38243353,1.09E-83,5.27E-81,2719.667608,2405.448924,2582.560583,8851.891547,7893.62575,10684.34156
5,SPT_1415,2889.73721,-1.789372272,0.096674007,18.50934212,1.74E-76,6.75E-74,1240.321405,1174.790217,1311.793942,4402.20676,3837.010776,5372.300159
6,SPT_1156,1199.554767,-1.746774941,0.095397577,18.31047497,6.83E-75,2.21E-72,568.444428,494.2809564,524.7175767,1898.01691,1616.718024,2095.150709
7,SPT_1322,904.4024002,1.992329712,0.111540588,-17.8619259,2.33E-71,6.48E-69,1475.000297,1617.858389,1311.793942,284.8681575,421.6939512,315.1996642
8,SPT_0081,12067.14516,-1.381862082,0.078971399,17.49826011,1.48E-68,3.59E-66,6849.146931,6361.248478,6465.038785,17524.91239,15516.45123,19686.07315
9,SPT_0080,16341.28901,-1.599009204,0.092846458,17.22208091,1.81E-66,3.92E-64,7469.742224,7641.568067,8393.321896,23376.85516,21519.86416,29646.38253
10,SPT_1079,16916.77073,1.460372569,0.094393535,-15.471108,5.44E-54,1.06E-51,24414.42743,26454.50651,24440.39462,7683.711273,7905.751135,10601.83341
11,SPT_0465,1156.347574,-1.595248595,0.104800788,15.22172325,2.54E-52,4.48E-50,552.7991685,546.2696912,551.7092216,1639.648116,1508.936822,2138.722427
12,SPT_0058,235.6355555,-2.171723492,0.148119473,14.66197147,1.13E-48,1.83E-46,75.61875419,84.57868798,58.30195297,407.4277137,320.6490747,467.2371493
13,SPT_2115,3146.518875,1.234748522,0.086211927,-14.32224704,1.59E-46,2.37E-44,4462.375678,4744.16604,4166.430306,1719.146207,1673.303154,2113.691866
14,SPT_2021,42619.23571,0.909205245,0.064898115,-14.00973263,1.36E-44,1.89E-42,54933.98278,59656.68523,52983.51926,28388.54728,28885.36202,30867.3177
15,SPT_0328,17735.33575,-0.860814924,0.062483412,13.77669534,3.52E-43,4.56E-41,12053.80325,12107.1676,13368.42188,23336.00198,23214.72355,22331.89621
16,SPT_0048,607.4550847,-1.749128874,0.131299798,13.32164178,1.73E-40,2.10E-38,275.5304032,220.3701595,273.1554463,876.6872755,770.6355912,1228.351633
17,SPT_2002,615.0952245,-1.668207743,0.125749722,13.2660949,3.64E-40,4.16E-38,294.652387,259.9436741,267.7571173,842.458931,802.9699517,1222.789286
18,SPT_1656,3411.649133,-1.158145184,0.089448343,12.94764261,2.42E-38,2.62E-36,1999.985671,2136.193835,2066.480333,4371.290836,4293.733618,5602.210502
19,SPT_1655,5954.245329,-1.197963303,0.092851191,12.90197031,4.39E-38,4.49E-36,3509.753212,3377.71586,3703.253679,8071.264464,7133.768279,9929.716481
20,SPT_0757,12421.89839,0.809821964,0.065149183,-12.43027048,1.79E-35,1.74E-33,15329.74675,16156.08131,16157.19863,9105.84378,9465.884028,8316.635846
21,SPT_2114,5648.606001,0.935539845,0.075307602,-12.4229138,1.96E-35,1.82E-33,7442.797611,7891.424374,7056.695641,3748.555794,3528.487087,4223.6755
22,SPT_0330,3514.618598,0.782824113,0.06321434,-12.38364774,3.20E-35,2.83E-33,4498.881284,4346.878992,4541.074337,2473.273926,2582.707043,2644.896006
23,SPT_0952,11197.18616,-0.833800525,0.067966894,12.26774493,1.35E-34,1.14E-32,7703.551935,8576.589342,7669.945813,13845.91742,15299.54156,14087.57087
24,SPT_RS06055,4192.271264,1.116290065,0.092433785,-12.07664567,1.40E-33,1.14E-31,6331.984187,5644.269508,5402.647642,2668.706732,2932.995948,2173.023567
25,SPT_1241,4251.755169,-0.793643437,0.067011903,11.84332034,2.33E-32,1.81E-30,3010.84327,2925.336272,3332.928311,5464.38958,5391.754609,5385.278969
