,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.C
1,SPT_2042,3245.113353,4.681281474,0.116335887,-40.23935874,0,0,255.7058639,249.4666745,216.7136504,6875.287652,6041.491089,5832.015188
2,SPT_1116,11092.4525,3.680839763,0.101646735,-36.21208054,3.93E-287,4.23E-284,1673.811416,1574.780947,1530.977079,21775.29185,18718.83029,21281.02342
3,SPT_2048,3829.90854,4.68530247,0.130320215,-35.95223084,4.67E-283,3.35E-280,275.0148289,296.3996234,277.1837497,8586.659563,7315.601253,6228.59222
4,SPT_2047,5047.669014,4.672750211,0.130838615,-35.71384657,2.41E-279,1.30E-276,420.1079081,392.4316572,314.5843313,9974.488526,10395.55478,8788.846888
5,SPT_2041,10133.79156,4.951168256,0.138954915,-35.63147272,4.56E-278,1.97E-275,685.4682545,639.7321956,546.6776602,22831.06358,19466.90033,16632.90732
6,SPT_2043,2894.405749,4.567546741,0.132005376,-34.60121762,2.42E-262,8.70E-260,253.7749674,237.5529259,200.9844339,6343.144645,5251.292292,5079.685228
7,SPT_2045,2368.525794,4.414466661,0.1280078,-34.48591934,1.30E-260,4.01E-258,225.9148895,216.6136103,184.9056792,5129.858589,4167.33083,4286.531163
8,SPT_1247,2106.745507,4.417790272,0.13330159,-33.14131724,7.55E-241,2.03E-238,183.711009,193.1471358,182.4589122,4423.172675,4374.558757,3283.424551
9,SPT_1899,4498.572458,3.385595571,0.105730445,-32.02100939,5.56E-225,1.33E-222,750.2912081,834.3234222,760.2454673,8791.002478,8384.76072,7470.811455
10,SPT_1115,16127.06074,3.630575965,0.120693181,-30.08103625,8.58E-199,1.85E-196,2418.861619,2305.129836,2441.174411,34593.55261,29027.85032,25975.79565
11,SPT_2044,746.6584675,4.227031025,0.142287356,-29.70770663,6.11E-194,1.20E-191,73.09822432,79.78601311,69.55809103,1613.457598,1250.199249,1393.85163
12,SPT_1117,4241.557649,3.308694441,0.1119333,-29.55951838,4.96E-192,8.89E-190,693.4676828,813.7451292,807.433117,8156.688014,7063.967342,7914.04461
13,SPT_1864,1975.857262,3.119551755,0.107961253,-28.89510513,1.38E-183,2.28E-181,401.3506279,391.7096119,422.2420802,3205.629475,3602.5778,3831.633978
14,SPT_1857,8763.593763,4.816161343,0.168681346,-28.55183133,2.67E-179,4.10E-177,562.4425637,719.5182087,476.770031,20540.72008,14483.18256,15798.92914
15,SPT_2046,439.8342403,4.607076261,0.173098604,-26.61532874,4.51E-156,6.48E-154,35.58366391,35.01920032,30.40981869,1047.257438,761.7334223,729.0018985
16,SPT_0081,6310.438028,2.726632607,0.103245,-26.40934277,1.07E-153,1.44E-151,1625.539003,1751.321039,1564.183203,11468.74609,10022.08906,11430.74977
17,SPT_1245,1474.660769,3.27794971,0.129441733,-25.32374704,1.75E-141,2.22E-139,272.5322477,291.3453058,260.0563805,2843.77223,2952.428646,2227.829802
18,SPT_1047,9321.154183,-2.528807196,0.101218457,24.98365692,9.20E-138,1.10E-135,15131.33243,16158.29226,16376.91075,2882.086527,2532.279718,2846.023412
19,SPT_0962,956.0697378,4.103455214,0.164497939,-24.94532899,2.40E-137,2.72E-135,94.88977044,118.776463,95.07437568,2252.029206,1548.516374,1627.132237
20,SPT_0080,7296.13768,2.650035931,0.107224517,-24.71483205,7.41E-135,7.98E-133,2151.846219,2057.107252,1779.498701,13065.17511,12755.90363,11967.29517
21,SPT_1733,1346.30604,3.99553069,0.162275944,-24.62182996,7.37E-134,7.56E-132,135.9902815,185.2046368,149.9518646,2222.229198,3092.478288,2291.981969
22,SPT_1731,1486.429088,3.69417514,0.150526193,-24.54174291,5.30E-133,5.19E-131,212.1227717,244.0513342,176.5167637,3031.086569,2956.983106,2297.813984
23,SPT_1898,5169.86063,2.48765619,0.105381707,-23.60614829,3.33E-123,3.12E-121,1565.681212,1587.41674,1516.646015,9770.145611,8076.19606,8503.078144
24,SPT_1734,499.0858406,3.660269649,0.156049551,-23.45581653,1.15E-121,1.03E-119,73.64990903,80.86908116,63.61594255,1047.257438,982.6247286,746.497944
