,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.C
1,SPT_1802,612.7341498,4.448115449,0.130029005,-34.20864032,1.80E-256,3.88E-253,56.28892774,55.73853952,47.76737163,1264.673403,1209.933423,1042.003234
2,SPT_1047,10576.38043,-2.633519632,0.081558573,32.28991796,9.69E-229,1.04E-225,18109.31955,17373.36151,19180.39741,2867.82797,2941.23263,2986.143496
3,SPT_1864,2112.128882,2.910708071,0.09233455,-31.52349869,4.14E-218,2.97E-215,478.3130205,497.8551183,514.1412796,3787.284265,3982.444182,3412.735424
4,SPT_0280,4873.43188,-2.846054039,0.092643481,30.72049966,3.03E-207,1.63E-204,8144.179226,8946.983528,8552.92766,1185.526066,1117.212395,1293.762405
5,SPT_1340,12279.09924,-2.553750272,0.085674954,29.80743084,3.13E-195,1.35E-192,20410.02232,20374.90083,22159.43779,3603.729803,3350.117167,3776.387559
6,SPT_1116,5312.342049,2.744137112,0.092842306,-29.55696862,5.34E-192,1.92E-189,1298.074105,1473.469147,1358.545139,10009.61213,9048.660387,8685.691386
7,SPT_1815,594.0598224,3.720143199,0.127216203,-29.24268375,5.56E-188,1.71E-185,79.43310616,84.93491737,80.1259137,973.343844,1080.73199,1265.789163
8,SPT_1865,1335.375118,2.894898129,0.100547247,-28.79142099,2.75E-182,7.40E-180,288.0164425,315.4725502,345.6714097,2342.424372,2419.866846,2300.799087
9,SPT_2096,382.8058019,3.790058546,0.134669395,-28.14342891,2.88E-174,6.91E-172,52.28869938,48.91341224,53.93090345,710.6420453,773.6885834,657.3711677
10,SPT_0746,10126.97373,-2.460383028,0.087613126,28.08235645,1.61E-173,3.47E-171,17302.41634,17138.65297,16938.92633,2866.143984,3074.994114,3440.708665
11,SPT_2098,385.2819163,3.817053614,0.13871785,-27.51667216,1.11E-166,2.17E-164,48.57420161,48.5342385,53.4172758,644.9665956,753.9283642,762.2708221
12,SPT_1008,3487.303262,-3.171276217,0.115787468,27.3887691,3.73E-165,6.70E-163,6777.244047,5656.513827,6407.504958,621.3907932,747.8482967,713.3176501
13,SPT_1800,721.3290458,4.012265075,0.146908295,-27.31135829,3.11E-164,5.15E-162,70.57545763,73.93887896,104.780041,1291.617177,1290.494317,1496.568403
14,SPT_1477,4522.38482,-2.738151589,0.100603041,27.21738384,4.04E-163,6.23E-161,8265.61473,7194.063336,8121.480432,1096.274814,1184.093136,1272.782474
15,SPT_0281,4630.477451,-2.559425223,0.096038202,26.65007438,1.79E-156,2.57E-154,8458.482883,7957.719245,7325.357572,1338.768782,1282.894233,1419.64199
16,SPT_1057,2420.222109,-3.40544755,0.127835945,26.639202,2.39E-156,3.22E-154,4668.552236,4481.075239,4065.876493,368.7929098,384.5642664,552.4715133
17,SPT_0920,3822.02548,-2.5291462,0.096212623,26.28705187,2.70E-152,3.42E-150,6854.962769,6179.015239,6503.039701,1172.054179,1041.211551,1181.86944
18,SPT_0318,20464.7291,-1.96239098,0.074832591,26.22374751,1.42E-151,1.71E-149,32995.31223,31893.81982,32824.91598,7971.9892,8367.692832,8734.644558
19,SPT_0282,9057.184649,-2.679178325,0.103339458,25.92599556,3.39E-148,3.85E-146,16922.39465,15152.54093,14933.21035,2155.501938,2577.9486,2601.51143
20,SPT_1117,2138.479041,2.441162029,0.09539785,-25.58927709,2.01E-144,2.16E-142,670.6097128,676.445949,632.2756395,3731.712731,3266.516239,3853.313972
21,SPT_0316,6026.627403,-2.642120278,0.104956454,25.17349029,7.82E-140,8.02E-138,9389.678901,11270.18102,10505.73999,1517.271286,1714.579022,1762.314194
22,SPT_0583,1700.567181,-2.760472405,0.110407078,25.00267613,5.72E-138,5.60E-136,3082.175957,2826.740219,3005.749019,405.8405993,477.2852951,405.6119971
23,SPT_0283,5267.220369,-2.667060523,0.109052571,24.45664968,4.28E-132,4.01E-130,9976.855279,8821.477021,8468.692725,1326.980881,1358.895076,1650.42123
24,SPT_0921,3389.460524,-2.456006773,0.100601803,24.4131486,1.24E-131,1.11E-129,5367.735008,5784.295377,6038.720304,1089.53887,951.5305564,1104.943027
25,SPT_0438,3975.024408,-2.522962548,0.103459382,24.3860198,2.41E-131,2.07E-129,7020.400785,6193.044667,7069.571001,1158.582292,1086.812057,1321.735646
26,SPT_2097,330.779176,3.711528183,0.152253707,-24.3772599,2.98E-131,2.47E-129,43.71678145,50.05093345,41.09021215,532.139541,597.3666273,720.3109604
27,SPT_2095,258.8729745,3.678131795,0.151304061,-24.30953779,1.55E-130,1.24E-128,39.14509188,36.02150513,35.44030798,456.360176,510.7256661,475.5451001
28,SPT_2045,1303.207117,3.24393548,0.133687573,-24.26504871,4.59E-130,3.53E-128,257.4432685,286.6553461,195.1785077,2387.891991,2482.187538,2209.886053
29,SPT_0259,10972.05701,-1.924140951,0.079379312,24.23982907,8.46E-130,6.29E-128,16398.36473,17659.63769,18083.80237,4622.541266,4578.290792,4489.705209
30,SPT_1565,2176.832152,-2.79448042,0.115750948,24.14218162,9.02E-129,6.48E-127,3510.771854,3681.776998,4203.015076,511.9317104,538.0859696,615.411306
31,SPT_0410,3518.468556,2.2162127,0.091907631,-24.11347864,1.81E-128,1.25E-126,1294.931069,1192.880581,1224.488322,5437.590437,5583.021939,6377.898989
32,SPT_2042,1579.98061,3.417591662,0.142570512,-23.97123789,5.55E-127,3.74E-125,288.8736343,310.9224654,199.8011566,2871.195941,2983.793103,2825.297359
33,SPT_2041,4730.506152,3.507711429,0.14875947,-23.57975207,6.22E-123,4.06E-121,882.9075469,810.6734524,568.5858107,9686.286835,8623.055665,7811.527599
34,SPT_1821,397.3774277,3.083095157,0.132933381,-23.19278371,5.38E-119,3.41E-117,82.86187333,92.89756587,70.88061597,712.3260312,684.0075885,741.2908913
35,SPT_1478,2730.888506,-2.596099706,0.112140852,23.15034768,1.44E-118,8.88E-117,4363.677688,4566.010156,5097.240818,697.1701582,766.0884991,895.1437177
36,SPT_0539,2888.968018,-2.117417107,0.091506363,23.13956131,1.85E-118,1.11E-116,4453.397096,4802.614569,4819.881886,1092.906842,1032.09145,1132.916268
37,SPT_1732,1571.59537,3.039808304,0.132741187,-22.90026453,4.62E-116,2.69E-114,404.0230651,331.3978472,275.8180491,2716.269239,2974.673001,2727.391015
38,SPT_0788,1565.672053,-3.095463921,0.135295996,22.87919823,7.49E-116,4.25E-114,2662.72344,2622.365574,3127.9924,367.1089239,278.163086,335.6788942
39,SPT_0125,2021.697849,-2.633147281,0.115447207,22.80823723,3.80E-115,2.10E-113,3480.19868,3607.458946,3393.024269,648.3345674,504.6455986,496.5250309
40,SPT_1817,227.0460285,3.570714137,0.157748355,-22.63550785,1.94E-113,1.04E-111,37.4307083,36.02150513,32.35854207,442.8882889,449.9249915,363.6521353
41,SPT_0256,3499.737425,-1.917961391,0.084945146,22.57882264,7.00E-113,3.68E-111,5697.182387,5347.487231,5550.774034,1409.496189,1475.936374,1517.548334
42,SPT_1247,1067.373719,3.488451834,0.155075458,-22.49518966,4.63E-112,2.37E-110,186.2963497,188.0701742,144.8429978,2418.203737,1886.340927,1580.488127
43,SPT_2048,1761.839898,3.000909142,0.133477537,-22.48250319,6.16E-112,3.09E-110,382.8790009,462.5919607,320.5036548,3367.971779,3211.795632,2825.297359
44,SPT_2043,1544.181905,3.34165577,0.150237928,-22.24242453,1.34E-109,6.54E-108,285.4448671,332.5353685,200.8284119,2797.100562,2837.871484,2811.310739
45,SPT_0272,6349.802919,-1.713962746,0.077771766,22.03836722,1.24E-107,5.89E-106,9787.415893,9704.951831,9676.744962,2925.08349,2857.631703,3146.989633
46,SPT_1733,1040.667017,3.270410008,0.148401646,-22.03755892,1.26E-107,5.89E-106,240.0137021,183.8992631,151.5201573,1958.475589,1779.939747,1930.153641
47,SPT_0787,676.6774456,-3.362859363,0.153093777,21.96600954,6.09E-107,2.79E-105,1287.216343,1143.967168,1291.259917,129.6669135,117.0412985,90.91303383
48,SPT_0258,2939.601178,-2.075648358,0.094848884,21.88374036,3.71E-106,1.67E-104,4761.986141,4489.796235,5000.165192,1165.318235,1059.451754,1160.889509
49,SPT_0670,1768.095706,2.043346318,0.093386902,-21.88043795,3.99E-106,1.75E-104,685.4677039,700.3338946,664.1205539,2751.632943,2660.029511,3146.989633
50,SPT_1059,1042.07487,-2.832927604,0.1296415,21.85201191,7.44E-106,3.21E-104,1908.680393,1812.450469,1719.625379,227.3380951,241.6826813,342.6722044
51,SPT_1426,46234.86899,-2.428468962,0.111309125,21.81733942,1.59E-105,6.71E-104,73480.76635,79318.21678,81280.54866,12789.87283,13664.9516,16874.85774
52,SPT_1402,4486.36068,-1.72778819,0.079444754,21.74829794,7.17E-105,2.97E-103,6841.2477,6865.698879,6976.090769,2003.943208,2140.183743,2090.999778
53,SPT_0263,5842.321903,-1.966518659,0.090588103,21.70835461,1.71E-104,6.96E-103,9027.372503,9372.416462,9465.643997,2206.021515,2318.025716,2664.451222
54,SPT_2047,2794.073825,3.398189775,0.156639087,-21.69439213,2.32E-104,9.25E-103,545.459711,522.5014113,365.7028882,5592.517138,5598.222107,4140.039695
55,SPT_2044,434.8909887,3.219205247,0.149252895,-21.56879605,3.53E-103,1.38E-101,85.71917931,97.44765073,63.68982884,739.2698054,798.0088532,825.2106148
56,SPT_1818,209.6463832,3.705124904,0.171935009,-21.54956652,5.34E-103,2.06E-101,35.14486352,25.7838142,26.7086379,415.9445147,390.6443339,363.6521353
57,SPT_1153,2751.258151,-2.007700201,0.093209481,21.53965657,6.62E-103,2.50E-101,4195.668096,4459.841509,4534.818539,1030.599364,1083.772024,1202.849371
58,SPT_1819,253.8580085,3.168751612,0.147222095,-21.52361449,9.36E-103,3.48E-101,52.28869938,51.5676284,45.19923337,479.9359785,425.6047217,468.5517898
59,SPT_1056,685.5446666,-3.41603521,0.162114728,21.07171411,1.45E-98,5.28E-97,1228.927301,1391.188446,1149.498685,101.0391534,130.7214502,111.8929647
60,SPT_0266,3400.442423,-1.970108008,0.09390607,20.97955978,1.01E-97,3.62E-96,5628.321313,5460.481005,5170.689572,1470.119681,1281.374216,1391.668749
61,SPT_2060,655.4627756,2.247348995,0.108342183,-20.74306537,1.42E-95,5.00E-94,210.0119893,236.6044127,235.7550922,1128.270546,1038.171518,1083.963096
62,SPT_RS09270,906.3257883,2.889028304,0.139284858,-20.74186914,1.45E-95,5.05E-94,255.7288849,176.3157883,206.4783161,1475.171639,1694.818803,1629.441299
63,SPT_0262,8631.33292,-2.111687489,0.10186962,20.72931553,1.88E-95,6.45E-94,13525.34357,13282.83522,15235.73704,2908.243631,3283.236425,3552.60163
64,SPT_1060,1761.149712,-2.123890351,0.103144028,20.59150104,3.27E-94,1.10E-92,3081.890227,2829.015261,2698.599683,656.7544968,664.2473693,636.3912368
65,SPT_0317,7117.508826,-2.263234266,0.110146969,20.54740399,8.12E-94,2.69E-92,12180.69538,12262.85787,10866.82023,2147.082009,2415.306796,2832.290669
66,SPT_0268,4804.908319,-1.743410998,0.084934305,20.52658215,1.25E-93,4.07E-92,7655.579904,7260.797914,7246.772541,2116.770263,2150.823862,2398.705431
67,SPT_1735,316.3054959,2.858293571,0.13982233,-20.44232537,7.03E-93,2.26E-91,82.86187333,73.55970522,70.88061597,611.2868778,513.7656998,545.478203
68,SPT_2094,245.8548524,2.994271892,0.147540851,-20.29452769,1.44E-91,4.55E-90,52.57442997,58.01358195,52.3900205,405.8405993,472.7252445,433.5852383
69,SPT_0277,820.732674,-2.880218111,0.143728278,20.03932806,2.50E-89,7.81E-88,1410.651961,1595.563091,1310.26414,195.3423632,174.8019393,237.77255
70,SPT_1731,1082.477883,2.890186305,0.144348697,-20.02225424,3.52E-89,1.08E-87,315.1608492,241.5336713,203.9101778,1833.860633,1956.261703,1944.140262
71,SPT_0265,4182.760766,-2.271701349,0.114276794,19.87893837,6.19E-88,1.88E-86,6569.803633,6507.75887,7686.951439,1264.673403,1437.935953,1629.441299
72,SPT_0270,4262.044881,-1.848963397,0.093145537,19.85026283,1.10E-87,3.28E-86,6596.376578,6215.795091,7196.950659,1796.812944,1836.180371,1930.153641
73,SPT_1244,1522.263114,-2.341613942,0.118133715,19.82172442,1.93E-87,5.71E-86,2454.425834,2654.595342,2478.767048,510.2477245,427.1247386,608.4179957
74,SPT_1899,3187.670227,2.160178428,0.10907817,-19.80394823,2.75E-87,8.02E-86,1148.922733,1312.320308,1025.200793,5584.097209,5104.216627,4951.263689
75,SPT_1479,931.8395029,-2.516646953,0.127919359,19.67369897,3.62E-86,1.04E-84,1611.23484,1504.940567,1684.185071,267.7537564,313.1234738,209.7993088
76,SPT_0273,3501.216547,-1.636303308,0.083421656,19.61485052,1.15E-85,3.27E-84,5367.163547,5165.104663,5363.813569,1626.730369,1757.139494,1727.347643
77,SPT_0257,6509.293471,-1.838310092,0.093926841,19.57172272,2.69E-85,7.54E-84,10446.59638,9448.25121,10696.29585,2923.399504,2974.673001,2566.544878
78,SPT_1332,1170.837071,-2.060428751,0.10575789,19.48250628,1.55E-84,4.27E-83,1818.389524,1979.286914,1881.931717,466.4640913,445.3649409,433.5852383
79,SPT_1156,565.4814635,-2.9932583,0.154504006,19.37333779,1.30E-83,3.53E-82,926.3385977,1003.672885,1066.291005,126.2989417,109.4412142,160.8461368
80,SPT_1010,1228.245469,-2.065476061,0.107093248,19.28670666,6.95E-83,1.87E-81,2059.831879,1986.491215,1930.726344,515.2996821,457.5250758,419.5986177
81,SPT_1151,1919.49335,-1.86310398,0.097388689,19.13059932,1.40E-81,3.74E-80,2896.165338,3190.367834,2929.218499,815.0491704,798.0088532,888.1504075
82,SPT_0279,709.0207239,-2.874257326,0.150553026,19.0913288,2.98E-81,7.83E-80,1099.205609,1360.854547,1269.173928,170.0825748,152.0016863,202.8059986
83,SPT_0269,2385.010763,-1.73339603,0.091194116,19.0077617,1.47E-80,3.82E-79,3731.641606,3817.142023,3467.500278,1114.798659,1102.012226,1076.969785
84,SPT_1173,5382.537875,-1.901362172,0.10003398,19.00716316,1.49E-80,3.82E-79,8837.361656,8099.909397,8487.18332,2136.978094,2111.303423,2622.491361
85,SPT_0486,511.4523919,2.443334107,0.128687483,-18.98657159,2.20E-80,5.58E-79,156.0089063,173.6615721,145.3566255,975.0278299,793.4488026,825.2106148
86,SPT_1734,348.5930955,2.811080337,0.14871134,-18.90293192,1.08E-79,2.70E-78,96.86267262,86.07243858,81.153169,708.9580594,642.9671332,475.5451001
87,SPT_0945,1092.731129,-1.987058454,0.105835263,18.77501317,1.21E-78,3.00E-77,1761.529135,1768.466315,1715.00273,469.8320631,414.9646037,426.591928
88,SPT_1046,1639.154267,-3.247131417,0.173039716,18.76523776,1.45E-78,3.56E-77,2462.426291,3125.149951,3266.671866,282.9096294,243.2026981,454.5651692
89,SPT_0271,5968.49056,-1.727434399,0.092116847,18.75264368,1.84E-78,4.46E-77,9819.989181,8735.404582,9014.678919,2839.200209,2891.072074,2510.598396
90,SPT_1435,1944.778444,-2.180868528,0.11671194,18.68590763,6.45E-78,1.54E-76,3207.325959,2937.079777,3388.915247,604.5509343,726.5680606,804.2306839
91,SPT_0987,1891.499729,-1.704182435,0.091304374,18.66484983,9.56E-78,2.26E-76,2881.307347,2946.938294,2835.224639,890.8285355,843.6093591,951.0902001
92,SPT_1058,499.7989333,-2.985898438,0.160094233,18.65088073,1.24E-77,2.91E-76,942.3395112,888.4040687,813.5862007,102.7231392,104.8811636,146.8595162
93,SPT_0536,2062.251799,-1.717000138,0.092596621,18.5427947,9.32E-77,2.16E-75,3149.894109,3017.085435,3320.089142,949.7680416,957.6106239,979.0634413
94,SPT_2084,2257.272323,1.861804314,0.100621742,-18.50300212,1.95E-76,4.48E-75,898.9084603,1016.943966,1012.360102,3524.582466,3866.9229,3223.916046
95,SPT_1242,3540.758177,-1.94122653,0.105231738,18.44715826,5.50E-76,1.25E-74,5793.759329,5255.348012,5770.606669,1486.95954,1287.454283,1650.42123
96,SPT_1303,1417.992145,-2.221862995,0.120965469,18.36774584,2.38E-75,5.34E-74,2066.403682,2519.609491,2449.490272,503.5117809,521.3657841,447.5718589
97,SPT_0919,1040.339076,1.776339317,0.096796319,-18.35131058,3.22E-75,7.16E-74,439.7393898,482.6881688,475.105578,1547.583032,1562.577335,1734.340953
98,SPT_0406,2626.890547,1.798285163,0.098021594,-18.34580617,3.57E-75,7.84E-74,1062.632093,1291.465753,1152.580451,3957.36684,4087.325345,4209.972798
99,SPT_0248,3059.423223,1.993665106,0.10890489,-18.30647918,7.35E-75,1.60E-73,1295.216799,1234.968866,1157.2031,5297.819608,5224.297959,4147.033005
100,SPT_RS02065,3145.253723,1.809844477,0.099082437,-18.2660473,1.54E-74,3.32E-73,1491.227989,1417.351434,1254.278726,4605.701407,4823.013507,5279.949273
101,SPT_2255,3489.936843,-1.742773252,0.095618036,18.22640708,3.19E-74,6.80E-73,5281.444368,5173.446485,5628.33181,1594.734637,1471.376324,1790.287435
102,SPT_1857,3693.342319,2.691394294,0.148639215,-18.10689257,2.81E-73,5.94E-72,1014.629352,1144.725516,783.7957968,7609.932234,5739.583676,5867.387337
103,SPT_0267,3321.73495,-1.912011549,0.106159861,18.01068255,1.61E-72,3.36E-71,5471.740946,4977.413662,5263.656177,1438.123949,1212.973457,1566.501506
104,SPT_0498,7775.607925,-1.899758606,0.105608623,17.98866938,2.39E-72,4.95E-71,13797.93056,11018.03049,11977.28322,3128.845782,3220.915733,3510.641768
105,SPT_0067,435.1689699,2.09472805,0.116900961,-17.91882667,8.41E-72,1.73E-70,166.866669,174.0407459,157.1700615,705.5900876,756.9683979,650.3778574
106,SPT_0027,398.5019634,2.081605636,0.116224084,-17.91027788,9.80E-72,1.99E-70,146.8655272,156.5987539,149.4656467,655.070511,618.6468634,664.364478
107,SPT_0191,697.8620382,2.370423443,0.133050209,-17.81600685,5.31E-71,1.07E-69,262.5864193,201.341255,215.2099862,1170.370193,1302.654452,1035.009924
108,SPT_2058,1373.698861,2.008316217,0.11313885,-17.7508983,1.70E-70,3.38E-69,519.172496,565.7272175,532.1182474,1971.947476,2065.702917,2587.524809
109,SPT_0694,469.9075351,-3.206825942,0.181544126,17.66416798,7.92E-70,1.57E-68,887.4792364,736.3553997,925.5570288,75.77936502,103.3611467,90.91303383
110,SPT_0119,3203.772358,-2.014905933,0.114163895,17.64923959,1.03E-69,2.02E-68,5066.860689,5026.706248,5270.846964,1069.33104,1278.334182,1510.555024
111,SPT_1598,1450.855745,-1.657471136,0.093976947,17.63699702,1.28E-69,2.49E-68,2261.843411,2199.586856,2157.749766,693.8021864,706.8078414,685.3444089
112,SPT_1061,1007.51114,-2.32435199,0.132188129,17.58366658,3.29E-69,6.32E-68,1642.093745,1517.832474,1855.736706,296.3815165,334.4037099,398.6186868
113,SPT_0261,5703.393384,-2.202163064,0.125270045,17.57932681,3.55E-69,6.77E-68,9605.976964,9062.252344,9405.549562,1662.094073,2001.862209,2482.625155
114,SPT_0469,768.1636333,-2.164515287,0.123145916,17.57683371,3.71E-69,7.01E-68,1226.641456,1233.072997,1275.33746,279.5416576,244.722715,349.6655147
115,SPT_1224,1153.393291,-2.084930766,0.120804345,17.25873992,9.62E-67,1.80E-65,2068.118066,1794.629303,1727.329793,410.892557,443.8449241,475.5451001
116,SPT_0388,506.958544,1.843135569,0.107636235,-17.12374626,9.87E-66,1.83E-64,213.1550259,219.1624207,229.0779328,772.9495232,810.1689881,797.2373736
