,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.C
1,SPT_1079,21613.07299,3.488460506,0.091845937,-37.9816531,0,0,3616.765926,3616.59619,3276.224823,41572.67963,41502.55696,36093.61442
2,SPT_2058,5974.452829,2.908831876,0.086013356,-33.81837453,1.06E-250,1.14E-247,1347.913211,1388.467219,1449.276585,10013.48193,10721.7861,10925.79193
3,SPT_0633,2302.165827,4.707933131,0.143427816,-32.82440789,2.64E-236,1.90E-233,170.305202,149.6742186,171.9480695,3776.785558,3999.68314,5544.598773
4,SPT_2260,2881.266554,3.31280103,0.102261616,-32.39535171,3.19E-230,1.72E-227,489.930131,598.6968744,476.9511927,5304.883649,5241.880161,5175.257313
5,SPT_2048,3990.932566,3.094646997,0.096492601,-32.07133993,1.11E-225,4.77E-223,804.712258,871.5073295,811.6358279,6536.708288,7192.841438,7728.190256
6,SPT_1322,1508.149604,4.175612872,0.131104746,-31.8494409,1.34E-222,4.81E-220,172.726603,145.4281415,143.2900579,2439.349247,3210.160139,2937.943436
7,SPT_1862,6751.756756,3.052888535,0.095937262,-31.82171841,3.24E-222,9.98E-220,1410.062502,1439.420145,1469.746594,11023.80244,11751.46011,13416.04875
8,SPT_1864,4540.930211,2.723078276,0.085819487,-31.73030244,5.94E-221,1.60E-218,1174.379474,1151.74842,1236.388499,8216.214263,7787.905879,7678.944728
9,SPT_0131,3365.39705,2.901652108,0.091928627,-31.56418411,1.15E-218,2.74E-216,746.5986346,772.7860364,847.4583423,5903.97287,5742.371861,6179.194555
10,SPT_0635,1158.116644,4.225478285,0.141629348,-29.8347647,1.38E-195,2.98E-193,104.9273757,124.1977559,114.6320463,1873.906222,2141.169375,2589.86709
11,SPT_0892,2403.509544,2.909570581,0.098728715,-29.4703581,6.91E-191,1.35E-188,510.1084725,553.0515453,618.1942497,4250.636159,4121.883873,4367.182966
12,SPT_0634,996.6458704,3.95197006,0.135051719,-29.26264159,3.10E-188,5.57E-186,123.4914498,110.3980052,119.7495484,1780.444565,1677.869202,2167.922451
13,SPT_2041,8904.248096,3.108351639,0.107410581,-28.93897042,3.86E-184,6.40E-182,2005.727143,1881.012166,1600.754647,14154.76795,16689.43236,17093.79432
14,SPT_2042,3100.481973,2.945576378,0.101836108,-28.92467561,5.84E-184,9.00E-182,748.2129019,733.509823,634.5702563,5752.564986,5722.182175,5011.851697
15,SPT_2043,2894.70284,2.900360476,0.104370442,-27.78909839,5.88E-170,8.44E-168,742.5629663,698.4796868,588.5127377,4908.606224,4978.351623,5451.7038
16,SPT_0132,2371.078795,2.832385437,0.102493614,-27.63475033,4.26E-168,5.73E-166,535.1296159,555.1745839,646.8522613,3896.416479,4357.78442,4235.115413
17,SPT_2047,4908.479793,2.965830818,0.107778037,-27.51795162,1.07E-166,1.36E-164,1229.264563,1153.871458,921.1503721,8582.583959,9137.427024,8426.581382
18,SPT_0141,3251.031637,2.352430695,0.087159634,-26.98991007,1.94E-160,2.32E-158,1017.795544,1073.195993,1087.98094,5465.637699,5239.754931,5621.824715
19,SPT_RS09270,2066.208181,2.880161151,0.108341679,-26.58405487,1.04E-155,1.18E-153,513.3370071,412.9310002,539.3847179,3615.096891,3505.56713,3810.932342
20,SPT_2261,2460.82374,2.734381767,0.107777424,-25.37063576,5.32E-142,5.73E-140,620.6857838,723.9561495,567.0192291,4456.251804,4462.983312,3934.046162
21,SPT_1660,1847.002288,2.710115862,0.107941401,-25.10728816,4.14E-139,4.25E-137,516.5655418,438.407463,498.4447014,3260.877211,2890.313002,3477.405811
22,SPT_0950,1825.96118,-2.451056501,0.098692206,24.83536036,3.72E-136,3.65E-134,2939.580786,2983.930698,3349.916853,544.8814601,561.0607592,576.3965217
23,SPT_1244,2443.494369,-2.556831772,0.104399302,24.49088959,1.85E-132,1.73E-130,3989.661676,4107.018097,4454.273799,772.9279031,721.5156354,615.5691008
24,SPT_0329,7986.0086,-2.085069022,0.085474687,24.39399435,1.98E-131,1.78E-129,13245.06334,12125.73474,13443.67793,2930.022946,3022.077271,3149.475363
25,SPT_2044,827.504307,2.710033073,0.111216249,-24.36724034,3.81E-131,3.28E-129,213.8904196,234.5957611,203.6765823,1478.563413,1399.464053,1434.835613
26,SPT_2046,517.0879814,3.212115509,0.133409445,-24.07712218,4.34E-128,3.60E-126,104.120242,102.9673702,89.04453597,892.558824,966.9797176,946.8571987
27,SPT_1247,1585.987917,2.254538873,0.095066648,-23.71535041,2.50E-124,2.00E-122,537.5510169,567.9128152,534.2672158,2685.153404,2498.20804,2692.835012
28,SPT_2045,2501.229438,2.818656656,0.119262458,-23.63406478,1.72E-123,1.32E-121,661.0424667,636.9115685,541.4317187,4471.205669,4970.913317,3725.871885
29,SPT_0327,19154.83244,-2.032669144,0.088193785,23.04775956,1.55E-117,1.15E-115,30871.24819,32660.82523,28922.07468,6973.174226,7764.528348,7737.143989
30,SPT_0133,721.1127695,2.820963253,0.122443891,-23.03882407,1.90E-117,1.33E-115,172.726603,160.2894114,196.5120794,1253.32082,1179.502732,1364.324971
31,SPT_1187,2022.574608,-2.282528129,0.099073705,23.03868741,1.91E-117,1.33E-115,3317.319338,3109.189973,3653.896476,709.3739763,686.449338,659.2185461
32,SPT_1899,6239.337098,2.142983134,0.094966387,-22.56570137,9.42E-113,6.34E-111,2195.403552,2453.171058,2226.113399,9277.938687,10982.12679,10301.2691
