,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.C
1,SPT_1322,2511.479455,4.732772609,0.121061267,-39.09402833,0,0,191.1317471,161.8141152,182.2108011,4949.863841,5399.938409,4183.917815
2,SPT_1802,2729.589968,5.196228161,0.115750781,-44.8915172,0,0,150.6118167,147.7433226,124.6000331,5314.982829,4880.990778,5758.611029
3,SPT_1864,7095.960301,3.284866894,0.084585239,-38.83498961,0,0,1279.818179,1319.639337,1341.125088,13650.97933,13036.1567,11948.04317
4,SPT_2058,7680.987767,3.280112832,0.082938277,-39.548842,0,0,1389.145538,1499.544472,1388.017573,13844.71594,14700.63318,13263.8699
5,SPT_1243,4339.784623,-3.108178458,0.085874839,36.19428591,7.49E-287,3.23E-284,7967.135748,7368.070054,8011.916109,949.5222679,885.0940158,856.9695413
6,SPT_1800,2318.330601,4.324783236,0.121550705,-35.58007542,2.85E-277,1.02E-274,188.8381662,195.9860402,273.3162017,4705.031866,4494.663097,4052.148235
7,SPT_1242,8279.165994,-3.090074724,0.086899663,35.55911047,6.01E-277,1.85E-274,15502.31375,13930.0847,15052.48787,1663.792943,1876.8606,1649.456096
8,SPT_1865,3916.503456,3.058822825,0.090610374,-33.75797603,8.17E-250,2.20E-247,770.6432045,836.2071048,901.6755086,6775.458784,6810.707155,7404.328981
9,SPT_0633,1742.316006,4.169160557,0.12507024,-33.33455322,1.22E-243,2.92E-241,194.1898551,184.9304174,158.0946657,3604.352465,2798.473153,3513.85548
10,SPT_1156,1429.829856,-3.568283767,0.107903484,33.0692174,8.24E-240,1.77E-237,2478.596497,2660.384863,2781.394288,202.252501,214.3061515,242.0448323
11,SPT_2114,11369.83527,2.771771105,0.084699299,-32.72484096,6.92E-235,1.36E-232,3046.640049,2950.846226,2667.512537,21007.64793,18944.47159,19601.89327
12,SPT_2115,6086.764821,2.777120431,0.088268356,-31.46224278,2.85E-217,5.13E-215,1600.154987,1623.166435,1396.056285,10416.0038,11235.21622,10249.9912
13,SPT_1244,3683.893627,-3.287189597,0.109720814,29.95958084,3.30E-197,5.47E-195,6567.286832,7036.401371,6465.80387,672.7556876,795.7197015,565.3942993
14,SPT_1340,33746.26006,-2.201576829,0.074290937,29.63452755,5.37E-193,8.26E-191,54610.92732,54006.71728,57802.3573,11938.21999,12410.5365,11708.80194
15,SPT_0951,2713.79214,-2.565663536,0.087805574,29.21982549,1.09E-187,1.56E-185,4480.128153,4523.75983,4937.10884,811.1389778,774.5773906,756.0396499
16,SPT_2096,904.6297536,3.590692167,0.123102691,-29.16826714,4.90E-187,6.60E-185,139.9084389,129.6523035,140.6774568,1817.079049,1514.558272,1685.903002
17,SPT_0920,10215.73812,-2.420376322,0.083306774,29.05377558,1.38E-185,1.75E-183,18341.76698,16378.40262,16963.02171,3215.814766,3372.19859,3023.224063
18,SPT_1186,1638.843008,-2.752235469,0.09532752,28.87136321,2.73E-183,3.25E-181,2962.542081,2678.475882,2928.770671,420.4723047,435.3394019,407.4577099
19,SPT_1241,2209.422751,-3.087228236,0.106936685,28.86968333,2.87E-183,3.25E-181,4091.748443,3512.672874,4269.895759,428.9881995,441.1054867,512.1257455
20,SPT_0921,9006.522061,-2.396153939,0.083281187,28.77185132,4.83E-182,5.20E-180,14362.40401,15332.13868,15751.8558,2802.793869,3070.440153,2719.499853
21,SPT_1415,3199.21951,-2.486363791,0.08734899,28.46471152,3.20E-178,3.29E-176,5284.410545,5709.726637,5306.889583,999.5531498,897.5871995,997.1499461
22,SPT_1413,8488.22985,-2.285467186,0.080541055,28.37642473,3.95E-177,3.87E-175,13129.9865,14764.28169,14397.33286,2824.083606,2881.120368,2932.574068
23,SPT_RS09270,3185.873762,3.34191721,0.118189459,-28.27593291,6.83E-176,6.40E-174,684.2516548,467.3513266,538.5936916,6044.15632,5397.055367,5983.834213
24,SPT_1188,1550.500332,-2.709236798,0.096783339,27.9928016,1.99E-172,1.79E-170,2536.700548,2728.728713,2812.20935,393.8601336,432.4563595,399.0468856
25,SPT_1862,10975.83545,3.544117965,0.126651418,-27.98324749,2.60E-172,2.24E-170,1782.11241,1283.457299,2063.269366,21168.38545,19225.08772,20332.70045
26,SPT_1187,2283.824392,-2.740018995,0.097947547,27.97435045,3.33E-172,2.76E-170,3648.322789,4045.352881,4237.740912,564.1780292,641.9574403,565.3942993
27,SPT_1047,29624.25394,-2.11663566,0.07843037,26.98744977,2.07E-160,1.66E-158,48454.95601,46050.6891,50031.60255,11168.596,11585.02536,10454.65459
28,SPT_1414,3159.210097,-2.533848871,0.094017726,26.95075692,5.59E-160,4.30E-158,5169.731497,5730.832826,5277.414306,997.4241761,832.2382385,947.6195364
29,SPT_0952,7080.440675,-2.152788936,0.080237062,26.83035599,1.43E-158,1.06E-156,11457.96598,11146.07787,12103.62042,2687.82929,2459.235164,2627.915322
30,SPT_2098,734.63238,3.31573061,0.126582625,-26.19420003,3.09E-151,2.22E-149,129.9695881,128.6472469,139.3376715,1484.959152,1246.43533,1278.445292
31,SPT_0132,2033.654906,2.406512046,0.092742549,-25.94830596,1.90E-148,1.32E-146,676.6063849,618.109819,629.6990922,3554.321584,3193.449961,3529.742593
32,SPT_0950,2235.749514,-2.450084635,0.095483307,25.65982174,3.29E-145,2.21E-143,3473.246109,3818.210085,4059.549466,712.1417009,644.8404827,706.5092402
33,SPT_1164,1848.251607,-2.292855431,0.08947397,25.62594952,7.84E-145,5.12E-143,3046.640049,3078.488416,3092.224478,658.9173586,584.2965924,628.9427495
34,SPT_1332,3044.193817,-2.204098398,0.087083162,25.31027058,2.46E-141,1.56E-139,4865.449755,5246.395537,4908.973348,1044.261597,1159.944058,1040.138604
35,SPT_1189,1321.963228,-2.524562548,0.101161286,24.95581717,1.85E-137,1.14E-135,2157.495162,2237.256028,2370.0802,392.7956467,419.9631758,354.1891561
36,SPT_1153,7107.017605,-2.160442262,0.086868376,24.87029655,1.56E-136,9.34E-135,11226.3143,11821.47592,11828.96444,2481.318841,2855.172987,2428.859147
37,SPT_2097,580.4961809,3.104995019,0.126566031,-24.53260953,6.63E-133,3.86E-131,116.9726293,132.6674734,107.1828242,1037.874676,1070.569743,1017.709739
38,SPT_2094,695.1835203,3.09416615,0.127536299,-24.26106275,5.05E-130,2.87E-128,140.6729659,153.7736623,136.6581009,1382.768415,1232.981132,1124.246846
39,SPT_2095,508.9955893,3.205202769,0.133137846,-24.07431739,4.65E-128,2.57E-126,104.7401974,95.48037855,92.44518587,948.4577811,876.4448886,936.405104
40,SPT_0892,1452.249815,2.495448572,0.103957357,-24.00454031,2.49E-127,1.34E-125,407.4928849,404.0327598,498.4001325,2596.283421,2375.626935,2431.662755
41,SPT_2041,9485.880652,3.063874861,0.127956622,-23.94463695,1.05E-126,5.52E-125,2362.388395,2148.811046,1483.14233,18061.14834,16064.31223,16795.48157
42,SPT_1333,3506.422336,-2.191157478,0.09189609,23.84385972,1.17E-125,6.02E-124,5314.227098,6283.613965,5678.010112,1211.386032,1323.31646,1227.980346
43,SPT_0635,816.220236,3.387275497,0.14218271,-23.82339943,1.91E-125,9.58E-124,154.4344517,143.7230961,117.9011066,1577.569508,1224.332004,1679.361249
44,SPT_0634,713.4977464,3.491825844,0.147900268,-23.60932729,3.09E-123,1.51E-121,111.6209403,118.5966807,112.5419654,1338.059967,1061.920616,1538.246309
45,SPT_1330,3162.469052,-2.482162544,0.105598519,23.5056567,3.57E-122,1.71E-120,5245.419669,5973.051471,4894.23571,917.5876625,1076.335828,868.1839737
46,SPT_1179,2401.382496,-2.038724809,0.086800049,23.48759975,5.46E-122,2.56E-120,3975.540341,3838.311218,3782.213909,991.037255,941.7938496,879.3984061
47,SPT_2042,3058.365273,2.913507731,0.125177847,-23.27494687,7.95E-120,3.65E-118,772.9367854,824.1464254,521.1764827,5387.367935,5434.534918,5410.029089
48,SPT_1278,2083.93193,-1.965442324,0.085152141,23.08153747,7.10E-118,3.19E-116,3194.958285,3376.990231,3390.996601,864.3633201,838.0043233,838.2788207
49,SPT_0131,2934.740658,2.48907765,0.107948745,-23.05795818,1.22E-117,5.38E-116,901.3773195,782.9391041,961.9658472,5233.017342,4330.32968,5398.814657
50,SPT_1133,1806.273389,-1.971735709,0.086239405,22.86351242,1.07E-115,4.62E-114,2830.278912,2836.269771,2977.002942,737.6893853,726.526684,729.872641
51,SPT_1057,7268.22398,-2.012368293,0.088966831,22.61930963,2.80E-113,1.18E-111,12491.60647,11877.75909,10605.74045,3018.884699,2907.06775,2708.285421
52,SPT_1331,826.3224833,-2.431115279,0.107596254,22.59479487,4.88E-113,2.02E-111,1329.512433,1468.387716,1389.357359,268.2506856,258.5128016,243.9139043
53,SPT_2048,3920.559631,2.708718448,0.120536762,-22.47213548,7.78E-112,3.16E-110,1024.466165,1226.169072,836.0260287,6976.646798,6068.804245,7391.245477
54,SPT_1190,742.3439158,-2.6233619,0.117424194,22.3408976,1.48E-110,5.91E-109,1159.022915,1351.801149,1327.727235,192.6721194,219.1112222,203.728855
55,SPT_0945,2921.39855,-1.920014949,0.085974071,22.33248855,1.79E-110,7.00E-109,4713.308885,4687.584059,4473.543125,1296.54498,1137.840733,1219.569522
56,SPT_1198,3239.792662,-1.82010141,0.081799193,22.25084806,1.11E-109,4.26E-108,5131.505147,5198.15282,4829.926015,1384.897389,1425.183958,1469.090642
57,SPT_1258,1368.18058,-2.075074274,0.093561013,22.17883498,5.50E-109,2.08E-107,2248.473873,2274.443123,2116.860778,547.1462396,500.6883629,521.4711058
58,SPT_1060,4768.663176,-1.961609292,0.088770159,22.09762064,3.33E-108,1.24E-106,8246.188099,7498.727414,7039.231979,2049.137181,1878.782629,1899.911753
59,SPT_2045,2383.583436,2.635824868,0.120015123,-21.96243944,6.59E-107,2.41E-105,688.8388167,759.8228019,509.1184149,3806.604967,4278.434917,4258.680698
60,SPT_1079,16972.33804,1.988179633,0.090759039,-21.90613362,2.27E-106,8.16E-105,6718.663176,7369.075111,6335.844695,29076.45824,27642.6105,24691.3765
61,SPT_1163,979.0447678,-2.197348048,0.101454193,21.65852368,5.05E-104,1.78E-102,1646.791133,1652.313077,1528.69503,343.8292517,334.432918,368.2071966
62,SPT_2047,4678.472227,2.655853323,0.12273585,-21.63877406,7.75E-104,2.70E-102,1459.482021,1384.968017,953.9271353,8366.866621,7827.460107,8078.12946
63,SPT_1115,4032.921351,-1.771788413,0.082407905,21.50022408,1.55E-102,5.30E-101,6009.946657,6261.50272,6459.104943,1915.011839,1824.004823,1727.957123
