"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.c"
"1","SP_0515",2434.87772716465,1.72761484908898,0.0709775084889081,24.3403140779302,7.34188992536435e-131,1.27822303600593e-127,925.109613617543,1101.9454715408,1009.17259410413,3678.01229554535,3954.32266381879,3940.7037243613
"2","SP_0517",16434.85055226,1.68639346928421,0.0723588470298431,23.3059748532019,3.85605818721197e-120,3.35669865196802e-117,6019.64803365224,7272.54897730228,7632.88505399523,25797.2263955075,25602.8666628655,26283.9281902376
"3","SP_0519",3034.33927453394,1.5526333265685,0.0717516567139571,21.6389892258262,7.71764966755244e-104,4.4788093570696e-101,1267.80239222717,1377.79575800973,1555.46864554961,4607.74343476969,4526.33963294724,4870.88578370018
"4","SP_0516",1579.2867656662,1.53901528740334,0.0773741255633541,19.89056776019,4.91158388765164e-88,2.13776688710038e-85,620.225662694892,758.406328497696,778.242978316187,2456.78129418797,2346.80176173682,2515.26256856363
"5","SP_0338",717.853520080595,1.42639148693075,0.0804987510077548,17.7194238304809,2.96938042100071e-70,1.03393826259245e-67,336.25723347142,370.469118239278,326.556857567969,1029.96617953675,1141.4802910733,1102.39144059485
"6","SP_RS02535",1137.95891284322,1.25247707452374,0.0914268317954463,13.6992286610781,1.02608513452143e-42,2.97735703200301e-40,499.559191353473,621.572941014427,615.473205073586,1395.10811210341,1810.5358531789,1885.50417433555
"7","SP_1906",3423.60781810665,0.897260808800782,0.0683178417147503,13.1336234617473,2.11298868862172e-39,5.25530472412915e-37,2067.41887564964,2414.23588447875,2390.68104450071,4399.09090187446,4604.22587204732,4665.99433008905
"8","SP_0520",626.72974463589,0.835606755693848,0.0981608877614785,8.51262427173939,1.70040366782197e-17,3.70050348209757e-15,399.003798568958,344.994817378031,458.807298327582,683.234764578502,900.16063222223,974.177156740035
"9","SP_2110",3285.24520163474,0.510701189954913,0.0668632308152367,7.63799750218673,2.20626140802485e-14,4.26789012374586e-12,2784.98215855994,2435.34316233521,2742.67067913783,3984.8542556854,3748.75406553825,4014.86688855184
"10","SP_1472",1501.16794817442,0.559510628202219,0.0807183674225483,6.93163955203982,4.15990800263755e-12,7.24239983259197e-10,1189.77140742639,1250.4242537035,1060.03814824244,1600.69222539724,1980.35339088891,1925.72826338804
"11","SP_2026",42336.7812907623,0.441854257331437,0.0639595513840449,6.90833890748115,4.90361393772458e-12,7.76108351416226e-10,37077.5888706488,35527.91565543,33396.2882250507,46733.0533358628,53140.1210673149,48145.7205902669
"12","SP_0877",602.426617466159,0.509502936647702,0.0792403944618048,6.42983846948529,1.27739617019911e-10,1.85328894359722e-08,489.101430503884,488.378739368478,465.928475906946,745.625963140312,734.173565287634,691.351530589703
"13","SP_0715",2385.19846460893,0.406938512384829,0.0673117354644623,6.0455804560213,1.48873034894184e-09,1.99375349039057e-07,1982.14790256837,1925.85714511027,2146.5263846368,2719.64257337461,2909.88096572264,2627.13581624087
"14","SP_0409",2431.12127407809,0.40647167461537,0.0683776655800194,5.94450938281439,2.77286087624564e-09,3.44825056110261e-07,1892.05027063344,2104.90508830647,2171.95916170596,2941.59159120924,2718.35742695195,2757.86410566147
"15","SP_2106",4683.18792501598,0.327068559711856,0.0598281095495657,5.46680418576306,4.58221762317306e-08,5.31842725462953e-06,4311.01079945775,4054.05302277559,3977.68633361607,5364.6202697818,5270.72778696931,5121.02933749536
