"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.c"
"1","SP_0338",1414.15439817975,2.55953391367513,0.0835137268669941,30.6480624167509,2.80454582608383e-206,5.60909165216765e-203,344.534642719055,329.250138617527,325.190257031772,2601.69533340375,2520.83866042572,2363.4173568807
"2","SP_0515",4510.43351994513,1.62061753844336,0.0765890697344868,21.1599062903048,2.2366662422327e-99,2.2366662422327e-96,1923.12973299545,2096.70830031711,2032.92015712466,6506.27281531529,7549.54020904286,6954.02990487544
"3","SP_RS02535",2783.75220155219,1.59420755500524,0.078028874877719,20.4309950323334,8.86764023740525e-93,5.91176015827017e-90,1255.98537936674,1189.46135242321,1336.35877815719,4074.66016088601,4258.41252416324,4587.63501431678
"4","SP_0516",2981.24260181429,1.53527290901946,0.0773377610161776,19.8515303371443,1.06895404274477e-87,5.34477021372383e-85,1293.57097675427,1514.18882430148,1387.35014982194,4447.37722772959,4758.56956301233,4486.39886926614
"5","SP_0519",6475.88470747069,1.39369229165059,0.0736187700222861,18.9312085929809,6.30979906781842e-80,2.52391962712737e-77,3348.25030060609,3250.89285217415,3401.02827990329,9727.26441043948,10241.4231398297,8886.44926187144
"6","SP_0517",33275.0002167659,1.39659650664517,0.0851184301866876,16.4076863680646,1.68505411833085e-60,5.61684706110283e-58,15380.3396642902,17068.5442739361,17283.1886902922,52199.1065907153,54863.9242379036,42854.8978434579
"7","SP_1906",6573.46958851403,0.811717614389891,0.0787295869191448,10.3101978068744,6.33707541646602e-25,1.81059297613315e-22,4297.2866346413,4771.41340991058,4659.45684853512,8963.92683686028,9048.83170993246,7699.90209120441
"8","SP_0820",3512.37929978007,0.464427100325275,0.0744480487999714,6.23827095285072,4.42433837227974e-10,1.10608459306993e-07,2909.7516644182,3022.95044851586,2757.3824753049,4206.49458190929,4309.13599744274,3868.56063108945
"9","SP_1648",1331.86736543152,-0.457013229002032,0.0788931462901538,-5.79281281698699,6.92172387489571e-09,1.53816086108794e-06,1561.36835814044,1610.06935917362,1523.0064404772,1173.48910565161,1064.01332321198,1059.25760593425
"10","SP_0913",300.575289705396,0.566069788793957,0.101738714831985,5.56395655015682,2.63725637228912e-08,5.27451274457823e-06,225.5135843252,245.128537267444,216.472804237126,384.1101649567,364.50123821785,367.725409228053
"11","SP_0287",1382.12817403515,-0.417976336134043,0.0760776346563664,-5.49407638686445,3.92760473171103e-08,7.14109951220188e-06,1570.76475748733,1559.415491694,1673.09425141494,1163.72359298322,1168.99911674398,1156.77183388744
"12","SP_1907",279.855419619547,0.644854243071577,0.118106236832115,5.45995080673191,4.76266529601982e-08,7.93777549336636e-06,155.040589223575,186.333869657172,237.639033984756,435.379106465751,369.219700848502,295.520217537524
"13","SP_0871",2333.94201142956,-0.406712935323888,0.0756020771979551,-5.37965291957466,7.46295792051963e-08,1.14814737238763e-05,2657.61494861016,2652.99630924507,2770.85189423521,2115.86107815131,1941.64737251321,1864.68046582241
"14","SP_0386",330.824407872157,0.508446211246623,0.0989501738091749,5.13840644916056,2.77078072894997e-07,3.95825818421424e-05,261.533115154919,247.842137310995,274.198885367026,400.386019404018,397.530476632413,403.455813363572
"15","SP_2194",2737.12778134092,0.366766703731336,0.0719047551591698,5.10072947080418,3.38346887615049e-07,4.51129183486732e-05,2352.23196983646,2345.45497097595,2380.23874525622,3184.37092261773,3209.73420450088,2950.7358748583
"16","SP_1242",4611.72406182394,-0.388190666874997,0.076853144386325,-5.05107071382326,4.39340375541294e-07,5.49175469426617e-05,5727.10540192538,4957.74727956776,5200.15780845185,4138.13599323055,3944.63475922489,3702.56312854319
"17","SP_1587",373.762986572075,-0.502222865977617,0.102013445320332,-4.92310463979122,8.51818741301792e-07,0.000100213969564917,441.630769303516,504.729608100494,413.703581430952,301.917099997745,264.2339073165,316.362953283244
"18","SP_1848",555.671138289943,-0.506217060751434,0.104593073002347,-4.83987176416622,1.29922935483448e-06,0.000144358817203831,566.916093928627,666.641077365706,792.771514183964,391.434299457993,423.482021100998,492.78182370237
"19","SP_2003",651.765505766752,-0.469822808011576,0.0988466039336376,-4.75304956685208,2.00371200094828e-06,0.000210917052731397,906.75253697424,751.667212063639,684.054061389319,510.248036923413,482.462803984145,575.408383265759
"20","SP_1650",3673.32149718212,-0.375006866661292,0.0808397889772334,-4.63888972751901,3.50285880682878e-06,0.000350285880682878,4731.08707115575,3907.5840627135,3981.17539525879,3076.13649054306,3265.17614041104,3078.76982301058
"21","SP_0869",2496.28646382945,-0.334806869487712,0.0740618456408893,-4.52063902256935,6.16532407027626e-06,0.000587173720978691,2956.73366115262,2763.34937768281,2718.8984212183,2211.07482666812,2253.06590613623,2074.59659011859
"22","SP_0502",7502.94028461623,-0.310276976598846,0.0699171214787508,-4.43778247783192,9.08904007397161e-06,0.000826276370361055,8376.89001774647,8053.9649292595,8694.50991951515,6972.57604523095,6452.49764741632,6467.20314852899
"23","SP_0501",830.032708766177,-0.361666132765147,0.0824610432489507,-4.38590294902373,1.15505616513653e-05,0.00100439666533612,925.545335668006,962.42348211277,949.59403458686,722.64793746091,739.619017354667,680.366445413846
"24","SP_1243",4630.11745160186,-0.294413250266729,0.0683920072639056,-4.30479031169053,1.67143975149071e-05,0.00139286645957559,5139.83044274517,5078.05021483185,5196.30940304319,4121.04634606087,4274.92714337052,3970.54115955958
"25","SP_1229",1118.84854005469,-0.337760654918685,0.0790338169340274,-4.27362195097608,1.9232301686981e-05,0.00153858413495848,1235.62651411516,1263.63308694694,1291.14001460544,924.468532607651,1001.49369335584,996.72939869709
