"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.c"
"1","SP_0338",9578.22633654457,6.70627446044985,0.200299653636318,33.4812084729131,9.0485696311559e-246,1.92191618965751e-242,17614.5432627007,20309.6361529902,19040.6806433034,240.792481109744,111.29213020861,152.413348954709
"2","SP_0515",5256.63068632067,4.55090596190403,0.157821501138709,28.8357792130253,7.63989038938433e-183,8.11356359352616e-180,9926.50259094766,11266.5829144505,9096.76900143487,497.792148448028,348.773762386038,403.363700256881
"3","SP_0516",3385.6593811954,4.33621694685409,0.175730589213349,24.6753679383026,1.96654555795564e-134,1.39231425503259e-131,6744.19261044242,6195.46688471973,6449.26279853826,409.810280350237,266.400059711949,248.823653409781
"4","SP_0517",28644.9425998839,4.20979997896624,0.172362193035568,24.4241495470966,9.47501777038733e-132,5.03123443607567e-129,60701.1225354945,51454.7841370349,51221.7156934745,3688.29252315213,2353.78473811281,2449.95597203476
"5","SP_0165",1981.75466641357,-4.29976438431234,0.183206193347669,-23.4695361862178,8.35211696869386e-122,3.54797928830115e-119,166.063034126472,182.497246985142,198.804052220871,3603.78362353189,3011.02172753374,4728.3583140833
"6","SP_0166",1527.92752615911,-3.77622367528852,0.163895482109841,-23.0404378856382,1.83427583962548e-117,6.4933364722742e-115,174.535637908434,217.108793827152,209.93114469592,2935.81601968418,2445.79791663174,3184.37564420722
"7","SP_0044",795.498687202471,-4.70899308591618,0.218576811183916,-21.5438822645917,6.04243318304919e-103,1.83344686868521e-100,79.6424755504506,57.6859114033495,34.1230835901495,1633.45284060504,1494.99507193613,1473.0927401297
"8","SP_1059",7053.29852505904,-3.71869119061476,0.180628924879666,-20.5874623518472,3.5550761158374e-94,9.43872708754831e-92,803.202838530077,1302.65276296291,775.187442428397,13440.3880080968,12824.884453567,13173.4756447691
"9","SP_0167",862.58669626129,-3.60984928346826,0.176281059178128,-20.4778057285247,3.39616302278306e-93,8.01494473376803e-91,113.532890678302,148.93453489592,115.721761740507,1707.54283479265,1404.73452538899,1685.05363007136
"10","SP_0519",4257.6893135259,3.71406783767677,0.191380176743437,19.4067530967736,6.7670462560071e-84,1.43732062477591e-81,9568.95871134883,8015.19518080721,6222.27011204727,737.42697339859,452.179048721597,550.10585483188
