"","Gene","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC45min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC45min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC45min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX45min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX45min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX45min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_1804",1,4429.00675334292,-1.06282617862928,0.069873843732749,-15.210644238985,3.00570598437872e-52,6.39313662877354e-49,6208.13810112933,6114.89406241714,5777.01973327843,2586.04208325025,3018.31407949467,2869.63246048768,"SPD_1590","SP_RS08955","SPT_RS08595","SPT_1728","SPD_RS08405","putative general stress protein 24","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","general stress protein 24"
"2","SP_1802",2,2179.24220940532,-1.16472338367538,0.085356131175255,-13.6454566021033,2.14863477443538e-42,2.28507308261202e-39,3317.5530958052,2900.99405019939,2928.67553638242,1184.39990998409,1455.08029907282,1288.75036498801,"SPD_1588","SP_RS08945","SPT_RS08585","SPT_1726","SPD_RS08395","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"3","SP_0004",3,3611.83272138125,0.85878304118362,0.0660207615999654,13.0077724093396,1.10516913490117e-38,7.83564916644929e-36,2639.03791325775,2443.95064795099,2544.11061330916,4665.18555217569,4470.8985289979,4907.813072596,"SPD_0004","SP_RS00020","SPT_RS00200","SPT_0038","SPD_RS00020","GTP-dependent nucleic acid-binding protein","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"ychF","GTP-dependent nucleic acid-binding protein EngD"
"4","SP_2230",4,5378.93750838646,0.9104504950383,0.0707359016729647,12.871123057816,6.54436096563194e-38,3.47996394347478e-35,3512.83307517252,3493.96453215838,4061.00558765371,7392.37373868829,6868.57801552041,6944.87010112543,"SPD_2057","SP_RS11385","SPT_RS11120","SPT_2248","SPD_RS10790","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter"
"5","SP_0013",5,18750.5870610394,0.629659299529133,0.0518147639347515,12.1521213591177,5.58961609289366e-34,2.37782268591696e-31,14956.0192107534,14566.0918237527,14464.7686398625,23206.8740911702,22340.3494974285,22969.4191032692,"SPD_0013","SP_RS00065","SPT_RS00245","SPT_0047","SPD_RS00065","cell division protein FtsH","PROTEIN TURNOVER","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"FtsH","cell division protein FtsH"
"6","SP_0034",6,6186.60063291079,0.860447034794441,0.0719091188316772,11.9657568994629,5.37056085704797e-33,1.90386382382351e-30,3894.56682015044,4527.55769532691,4603.66942354599,8190.15606147551,8300.36371861036,7603.29007835557,"SPD_0040","SP_RS00210","SPT_RS00365","SPT_0072","SPD_RS00210","membrane protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"7","SP_2210",7,856.375656618136,1.03157559648337,0.0870738429352159,11.8471352786264,2.22673464650028e-32,6.76609227586586e-30,547.225252916322,545.532843402275,557.191844097269,1192.9914119218,1144.76300258673,1150.54958478441,"SPD_2037","SP_RS11285","SPT_RS11020","SPT_2228","SPD_RS10690","cysteine synthase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"",""
"8","SP_2224",8,3189.28659913958,0.780810629254219,0.0692799280596701,11.2703729799158,1.83789688432494e-29,4.71590118235733e-27,2408.45307886357,2269.70855248304,2296.27988510638,3776.5787803327,4094.85719384586,4289.84210420594,"SPD_2051","SP_RS11355","SPT_RS11090","SPT_2242","SPD_RS10760","peptidase, M16 family","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
"9","SP_2229",9,2713.5405977565,0.817375303276706,0.0725708882528392,11.2631293753626,1.99544478802144e-29,4.71590118235733e-27,1973.76205134536,1958.62711502456,1898.896131264,3372.77818926041,3786.20379707284,3290.97630257181,"SPD_2056","SP_RS11380","SPT_RS11115","SPT_2247","SPD_RS10785","tryptophanyl-tRNA synthetase","AMINO ACID METABOLSIM","Membrane","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"trpS","tryptophanyl-tRNA synthetase II"
"10","SP_2228",10,5555.08858534989,0.780737481106833,0.0703818436650264,11.092881920267,1.35839678484079e-28,2.88930996135636e-26,3898.9799270288,4141.67075091359,4095.18913637134,7443.92275031454,6371.07200131483,7379.69694615626,"SPD_2055","SP_RS11375","SPT_RS11110","SPT_2246","SPD_RS10780","inosine-5-monophosphate dehydrogenase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"guaB","inosine 5'-monophosphate dehydrogenase"
