,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.C
1,SP_0045,13627.71907,-8.144386567,0.162678891,50.06418776,0,0,27807.74802,23441.35971,30253.04262,84.41991316,91.11812278,88.62603502
2,SP_0046,6112.922386,-7.828596993,0.182147154,42.97951859,0,0,12113.30165,11231.66173,13184.03145,47.59846167,35.43482553,65.5061998
3,SP_0047,4477.422343,-7.725136976,0.191008183,40.44401054,0,0,9103.715876,8175.752901,9467.443407,31.43294639,34.16929604,52.01962925
4,SP_0050,10426.66887,-6.907521925,0.148606998,46.48180769,0,0,23377.69773,18462.10077,20233.33834,167.9417421,145.5358906,173.3987642
5,SP_0287,12223.48845,-5.208310658,0.142516915,36.54521038,2.12E-292,9.41E-290,22827.68937,22371.82192,26278.67963,532.5639202,592.2677981,737.9080742
6,SP_0048,2736.111278,-8.093729635,0.237406068,34.09234523,9.58E-255,3.54E-252,5706.219605,5069.54853,5590.444328,13.47126274,17.71741276,19.26652935
7,SP_1587,3233.136684,-4.627788264,0.137531051,33.64904311,3.22E-248,1.02E-245,6401.460155,6099.092273,6161.060701,225.4191298,218.9366006,292.8512462
8,SP_0054,3260.752955,-6.344165567,0.188982966,33.57003917,4.59E-247,1.27E-244,7618.599607,5461.611392,6260.818808,55.68121932,73.40071002,94.40599383
9,SP_2239,6165.492735,3.919318928,0.119658643,-32.75416483,2.65E-235,6.52E-233,760.8292807,715.0450951,770.9306525,12418.70808,11858.01126,10469.43205
10,SP_1847,1958.646613,-5.683334078,0.174917992,32.49142073,1.41E-231,3.12E-229,4118.035331,4064.243604,3359.853051,76.33715552,54.41776777,78.99277035
11,SP_1848,10179.73771,-5.976996914,0.188795012,31.65865907,5.76E-220,1.16E-217,24536.7443,18422.7127,17235.80673,266.7310022,221.4676595,394.9638517
12,SP_1027,10736.83625,3.773083991,0.126882068,-29.73693647,2.56E-194,4.72E-192,1617.230712,1298.594609,1379.056074,20959.48865,20782.52517,18384.12231
13,SP_0049,1941.053025,-7.312423487,0.252679656,28.93950227,3.80E-184,6.48E-182,2850.298857,4074.545101,4663.891028,20.6559362,21.51400121,15.41322348
14,SP_0288,1647.414337,-4.529510425,0.160014282,28.30691349,2.84E-176,4.49E-174,2691.011939,3300.720876,3497.120206,117.6490279,135.4116547,142.5723172
15,SP_0577,958.2109504,5.179513144,0.191810678,-27.00325754,1.35E-160,2.00E-158,39.35323866,55.14330818,47.0858266,2317.057191,1597.098208,1693.52793
16,SP_0578,928.2731448,5.159841342,0.196888292,-26.20694857,2.21E-151,3.07E-149,36.54229304,53.93136734,47.88389146,2277.541487,1560.397853,1593.341977
17,SP_2084,779.4307665,3.78792879,0.146618852,-25.8352097,3.57E-147,4.65E-145,101.1940423,113.3164685,90.18132892,1412.686419,1427.517257,1531.689084
18,SP_1229,5315.691022,-3.510564395,0.136553869,25.70827483,9.45E-146,1.16E-143,10811.83383,9047.138365,9516.125363,769.6581444,774.5040436,974.8863853
19,SP_0044,1358.339077,-7.538521859,0.295143928,25.54184977,6.76E-144,7.89E-142,2315.282208,2252.39205,3552.984746,13.47126274,10.12423586,5.779958806
20,SP_2086,509.6754596,3.918580651,0.172211527,-22.75446204,1.30E-114,1.44E-112,52.47098487,67.26271658,59.85486433,917.8420346,864.3566369,1096.26552
21,SP_2026,23433.50711,3.334808509,0.150220272,-22.19945733,3.48E-109,3.67E-107,4991.302436,3595.82847,3745.318377,37076.50739,45241.41349,45950.67251
22,SP_RS04335,2436.765334,4.048716085,0.189903271,-21.31988596,7.42E-101,7.47E-99,340.1244198,224.2090553,224.256225,3649.814118,4396.449424,5785.738765
