,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.C
1,SP_1027,4698.86414,1.011230638,0.085126624,-11.87913478,1.52E-32,2.91E-29,3106.825065,2993.296458,2828.547349,6384.510907,6320.318052,6559.687007
2,SP_1923,8353.250609,-1.026359282,0.088128502,11.64616732,2.40E-31,1.74E-28,11385.84337,11355.88317,11698.95099,5696.980279,5016.315332,4965.530513
3,SP_1926,864.6250106,-1.349430008,0.115979585,11.63506494,2.73E-31,1.74E-28,1185.581489,1249.105719,1504.967478,481.7580639,406.7531419,359.5841715
4,SP_0419,3340.92284,-1.045092767,0.098901137,10.56704498,4.24E-26,2.03E-23,4757.365045,4827.596814,4365.395073,2292.695663,1831.309395,1971.175049
5,SP_2239,2632.425932,1.058128926,0.106358131,-9.948735633,2.55E-23,9.78E-21,1497.642579,1376.502074,1818.273344,3444.604916,3613.845223,4043.687455
6,SP_1925,1337.311659,-1.05335888,0.115921356,9.086840551,1.02E-19,3.25E-17,1749.547314,1717.261428,2230.517906,907.2067437,689.2717269,730.064833
7,SP_1924,1687.588877,-0.898247999,0.104537744,8.5925711,8.50E-18,2.33E-15,2173.148311,2325.242404,2327.257963,1281.90746,994.7967114,1023.180415
8,SP_2240,2346.756459,1.001229228,0.119463564,-8.381042699,5.25E-17,1.26E-14,1225.685726,1151.745904,1790.790374,3274.286408,3179.484401,3458.54594
9,SP_0421,5056.208586,-0.73978106,0.090181133,8.203279695,2.34E-16,4.97E-14,6147.227489,6924.97582,6307.891445,3849.893446,3436.235819,3671.027496
10,SP_1466,959.5948065,-0.888071219,0.114595853,7.749592976,9.22E-15,1.76E-12,1501.402351,1336.108108,1071.835859,578.3877477,672.7071194,597.1276544
11,SP_0420,6353.928129,-0.6170068,0.084843057,7.272331089,3.53E-13,6.15E-11,8257.71293,7767.034651,7425.898695,4859.291294,4835.024904,4978.606301
12,SP_RS02130,2318.780628,0.75199861,0.108709475,-6.917507546,4.60E-12,7.33E-10,1625.474832,1473.861889,1776.499229,3536.368356,2717.515901,2782.963557
13,SP_0800,3094.76543,0.707111726,0.109681055,-6.446981452,1.14E-10,1.68E-08,2173.148311,2436.066875,2043.633705,4729.988264,3548.507048,3637.248377
14,SP_0415,1245.208126,-0.649015757,0.101147038,6.416557194,1.39E-10,1.91E-08,1661.819297,1467.647433,1554.436825,1026.08211,850.316523,910.9465677
15,SP_0424,4560.204248,-0.568306592,0.090957363,6.248054833,4.16E-10,5.11E-08,6005.609404,5574.367314,5056.866617,3548.881553,3651.575718,3523.92488
16,SP_RS09580,1139.155373,0.662639554,0.106126225,-6.243881326,4.27E-10,5.11E-08,778.272838,820.3082336,921.2291794,1614.202344,1398.789085,1302.13056
17,SP_0422,13303.00433,-0.596170042,0.097800636,6.09576855,1.09E-09,1.23E-07,17444.08958,17695.66436,13983.33551,10297.66551,9997.660937,10399.6101
18,SP_1464,186.6705308,-0.774922283,0.13074559,5.926947754,3.09E-09,3.28E-07,255.6645072,279.6505342,218.7644471,126.5223198,114.1117412,125.3096355
19,SP_0283,13230.51801,-0.57318444,0.097171587,5.898683538,3.66E-09,3.69E-07,17420.27769,14903.30199,16170.97999,9233.348636,10320.67078,11334.52894
20,SP_0425,13776.48347,-0.487817854,0.08369882,5.828252456,5.60E-09,5.36E-07,16450.25648,16884.67781,15548.76553,11729.03615,11138.77835,10907.38653
21,SP_0799,2721.774155,0.553732051,0.098175946,-5.640200839,1.70E-08,1.55E-06,2130.53756,1944.089084,2334.953194,3596.848806,3220.89592,3103.320365
22,SP_1092,885.6327001,0.625593741,0.112349806,-5.568267221,2.57E-08,2.24E-06,676.7589896,571.729981,732.1463406,1251.319646,1085.902053,995.9391901
23,SP_1465,191.0022178,-0.742034567,0.136127766,5.451015517,5.01E-08,4.17E-06,271.9568532,297.2581604,202.2746647,109.1428803,126.9953249,138.3854236
24,SP_0423,4928.362784,-0.466009658,0.085610556,5.4433668,5.23E-08,4.17E-06,5962.998652,5942.05598,5475.707091,3965.292924,4200.04828,4024.073773
25,SP_RS04870,2803.669259,0.576568658,0.107747975,-5.351085785,8.74E-08,6.61E-06,2001.452049,1890.230462,2572.406062,3676.09905,3332.246894,3349.58104
26,SP_1127,354.2432475,0.672724117,0.125830251,-5.346282893,8.98E-08,6.61E-06,229.346102,261.0071652,260.5385627,533.8963825,369.9429028,470.7283699
27,SP_0441,32418.64292,0.538811362,0.108429063,-4.969252209,6.72E-07,4.76E-05,25037.5761,30322.40385,20747.44427,39839.23683,39038.17881,39527.01764
28,SP_0285,2756.497007,0.419294091,0.087044081,-4.817031628,1.46E-06,9.78E-05,2342.338058,2216.489419,2397.614368,3275.676763,3090.219572,3216.643861
29,SP_1531,890.8915024,0.517993705,0.107609103,-4.813660647,1.48E-06,9.78E-05,636.6547531,776.8070394,701.3654134,1182.497066,973.6308239,1074.393918
30,SP_1922,5121.988013,-0.479102274,0.099734475,4.803777959,1.56E-06,9.93E-05,6023.155007,6141.954325,6091.325636,4823.837237,3882.559968,3769.095906
31,SP_0981,6192.528394,0.495594656,0.104633743,-4.736470681,2.17E-06,0.000134272,4555.590606,4643.23461,5706.564045,7110.97148,6823.698071,8315.111553
32,SP_RS09370,1329.192211,0.460581802,0.107133915,-4.299122306,1.71E-05,0.00102564,1027.671058,1033.671234,1187.264336,1772.007655,1583.760537,1370.778448
33,SP_RS04240,810.9012203,0.500825057,0.121241075,-4.130820006,3.61E-05,0.002096535,552.6865081,554.1223547,802.5027458,1051.803681,1008.600551,895.6914816
