,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.C
1,SP_2026,25358.71017,-3.161742554,0.11587,27.28698168,6.05E-164,1.34E-160,44941.2705,46479.31264,45915.05191,5033.278753,5592.582018,4190.765195
2,SP_0862,33450.25678,-1.762613919,0.097726895,18.03611912,1.01E-72,1.12E-69,52659.52148,53970.11593,48849.12984,14465.99616,14950.30419,15806.47307
3,SP_0730,21187.30165,-1.620087072,0.091173653,17.76924603,1.22E-70,9.03E-68,32543.95515,32125.56731,31500.06118,10274.09334,10316.01486,10364.11807
4,SP_0553,3104.117136,-2.01963686,0.114948685,17.56989966,4.19E-69,2.32E-66,5083.019576,5324.263403,4604.920084,1230.773051,1310.17494,1071.551763
5,SP_1498,5717.306392,-1.86337996,0.106141915,17.55555242,5.39E-69,2.39E-66,9274.931993,9643.948806,8085.912895,2432.66225,2417.431111,2448.951297
6,SP_1220,7932.61602,-2.085609906,0.126800342,16.44798323,8.67E-61,3.20E-58,13200.21392,13209.36356,12321.06349,3018.897479,3444.927304,2401.230368
7,SP_0552,780.221206,-2.095471305,0.129159017,16.22396448,3.41E-59,1.08E-56,1251.960452,1332.740147,1238.297838,302.2106796,313.1752095,242.9429099
8,SP_1577,1456.01069,-1.890619702,0.117172415,16.13536522,1.44E-58,3.99E-56,2340.534551,2432.753058,2141.223345,595.8631807,663.8845264,561.805479
9,SP_1128,13480.79317,-1.619916855,0.10421457,15.54405351,1.75E-54,4.30E-52,20451.36036,21506.3407,19284.76897,6381.191873,7126.788662,6134.308474
10,SP_1177,4377.665299,-1.85550872,0.119615434,15.51228511,2.86E-54,6.35E-52,6040.283172,7459.828803,7182.127459,1918.636651,2005.72887,1659.38684
11,SP_1714,675.958075,-2.543436472,0.166135691,15.3093923,6.62E-53,1.33E-50,1324.13111,1180.379151,973.4396892,163.1402784,163.0387795,251.6194424
12,SP_0284,7235.120046,-1.667419906,0.11059345,15.07702219,2.29E-51,4.23E-49,11591.40966,11016.03492,10549.60963,3548.434776,3705.320175,2999.91111
13,SP_0283,8581.547322,-1.566084003,0.106816351,14.6614633,1.14E-48,1.94E-46,13932.94658,12045.72738,12649.55638,4060.855716,4635.462277,4164.735598
14,SP_1588,4402.047093,1.429643888,0.097750305,-14.62546733,1.93E-48,3.06E-46,2327.503738,2427.730168,2336.42724,6154.935028,6580.198221,6585.488164
15,SP_RS08480,907.1954346,-1.757720639,0.121111041,14.51329814,9.98E-48,1.47E-45,1422.363395,1348.645966,1448.120527,381.3738311,445.7175266,396.9513616
16,SP_0435,1738.02396,-1.682940514,0.116212282,14.48160633,1.58E-47,2.19E-45,2661.293034,2490.516293,2832.606304,756.8639145,897.2997575,789.564457
17,SP_RS09580,1419.774013,1.674269235,0.117966261,-14.19278038,1.02E-45,1.32E-43,622.4719299,663.0214804,720.6205473,2352.964212,2176.978235,1982.587675
18,SP_1572,54018.90901,1.48550271,0.104874384,-14.16459057,1.52E-45,1.87E-43,26705.1484,30930.95664,26838.38578,81113.8813,83726.86443,74798.21751
19,SP_RS09370,1704.163777,1.54141393,0.11382339,-13.5421545,8.82E-42,1.03E-39,821.9436112,835.4740372,928.7233783,2768.570757,2469.040509,2401.230368
20,SP_1894,3167.943538,1.599408232,0.118311762,-13.5185902,1.21E-41,1.35E-39,1686.989143,1653.367959,1313.971595,4961.604008,4641.326981,4750.401541
21,SP_1759,1653.827929,1.439430996,0.107585414,-13.37942517,7.98E-41,8.41E-39,907.145083,882.3543438,855.6294088,2385.057381,2307.174671,2585.606683
22,SP_1882,446.5779913,-2.020822275,0.151720582,13.3193681,1.79E-40,1.80E-38,699.6544397,823.7539605,648.3865067,188.2799278,165.3846612,154.0084518
23,SP_1758,1208.357019,1.549847548,0.116474744,-13.30629716,2.13E-40,2.05E-38,633.4980027,634.558437,557.234027,1854.985198,1893.126547,1676.739905
24,SP_0745,740.4443607,-1.61393726,0.123475483,13.07091275,4.83E-39,4.46E-37,1101.604913,1081.595647,1178.962733,338.0480523,382.3787202,360.0760985
25,SP_1648,6033.619794,1.822489341,0.139970386,-13.0205352,9.35E-39,8.29E-37,2875.800269,2508.096408,2413.820855,9445.554675,7531.453258,11426.9933
26,SP_1650,13242.76192,1.497017166,0.115888064,-12.91778559,3.57E-38,3.04E-36,7252.148813,6049.23386,7238.882777,20964.86299,17479.16469,20472.27842
27,SP_1757,1196.080363,1.506059647,0.119002463,-12.65570152,1.04E-36,8.54E-35,624.4766704,658.8357387,561.5336723,1676.868107,1925.968891,1728.7991
