,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.C
1,SP_1220,9866.210881,-3.043507199,0.121013624,25.15012039,1.41E-139,3.12E-136,19379.11228,15456.46213,18053.33732,2189.868718,2049.005377,2069.479453
2,SP_1498,4452.231173,-2.933098179,0.130822683,22.42040983,2.49E-111,2.76E-108,9164.526287,7000.62783,7505.922903,1036.501453,967.4189608,1038.389602
3,SP_0775,1764.643325,-3.198825891,0.144153833,22.19036311,4.26E-109,3.14E-106,3343.557805,2965.35297,3257.479526,323.2923394,283.9164342,414.2608782
4,SP_2026,12682.19284,-3.477558353,0.157825616,22.03418208,1.35E-107,7.50E-105,30197.49952,20201.73124,19608.04346,1922.278775,2212.745542,1950.858497
5,SP_0862,23807.27547,-2.156960342,0.100450124,21.47294859,2.79E-102,1.23E-99,39028.0081,38628.47686,39192.99387,8574.89242,8612.131836,8807.149771
6,SP_0730,23269.31622,-2.984881182,0.151286759,19.72995653,1.19E-86,4.40E-84,52743.01852,35589.87051,35974.22917,5270.975776,4694.385485,5343.417847
7,SP_2012,34086.69056,-2.470105369,0.126541435,19.52013078,7.40E-85,2.34E-82,66808.27422,51009.70595,55817.95766,9915.026543,11039.69246,9929.486512
8,SP_1074,2711.211317,2.265915176,0.117422675,-19.29708357,5.68E-83,1.57E-80,950.6657783,943.1372034,879.5738087,4241.027547,4933.235819,4319.627747
9,SP_0516,745.7099277,-2.71607267,0.143431951,18.9363155,5.73E-80,1.41E-77,1290.092678,1384.770532,1221.894426,209.7031391,190.7798261,177.0189656
10,SP_1539,12249.76476,-2.205757275,0.116887337,18.87079764,1.98E-79,4.39E-77,19176.26752,18671.86268,22673.98645,4201.708208,4389.438204,4385.325508
11,SP_1923,4458.733104,-2.265541826,0.120356895,18.82353169,4.84E-79,9.76E-77,7503.227697,7585.246112,7105.869642,1652.504424,1332.454376,1573.096374
12,SP_0486,1564.261115,2.213292495,0.117765973,-18.79398982,8.46E-79,1.56E-76,563.2322854,535.3131252,550.8373427,2483.671553,2776.071801,2476.44058
13,SP_0955,293.384622,3.225643809,0.176180909,-18.30870229,7.05E-75,1.20E-72,53.41578697,50.00951564,60.44947411,468.5554513,560.3218515,567.5556525
14,SP_1176,18340.97971,-1.98386184,0.108797554,18.2344342,2.75E-74,4.35E-72,31338.16322,27057.26104,29595.79084,7396.404467,7201.562885,7456.695807
15,SP_0960,3887.240394,-2.155082077,0.120698836,17.85503614,2.64E-71,3.90E-69,6474.128611,6057.490627,6559.107545,1447.1701,1542.762846,1242.782635
16,SP_0783,2912.833077,2.060448867,0.116042777,-17.75594245,1.55E-70,2.15E-68,1122.407676,1063.582657,1164.84099,4431.071016,4565.195997,5129.900126
17,SP_1926,504.4450936,-2.711018639,0.15720483,17.24513583,1.22E-66,1.59E-64,856.00489,956.5200315,822.5203724,129.9722581,141.2071154,120.4458941
18,SP_0962,1433.12051,-2.304195815,0.136741648,16.85072432,1.04E-63,1.28E-61,2599.793682,2230.001782,2345.303754,548.2863323,444.6521932,430.6853183
19,SP_1894,811.98257,2.367487274,0.141444739,-16.73789556,6.94E-63,8.09E-61,277.2211729,281.7437501,220.7424616,1369.623627,1470.657085,1251.907323
20,SP_0502,4745.069419,-1.953185169,0.11696857,16.698376,1.35E-62,1.49E-60,8075.249922,7590.176627,7008.742959,1924.463182,2076.045037,1795.738785
21,SP_0961,9448.799954,-1.822580108,0.109365753,16.66499845,2.35E-62,2.48E-60,14506.78113,13905.46279,15864.25131,4177.679723,4234.711259,4003.91351
22,SP_1073,5364.851028,1.98679197,0.12015016,-16.53590788,2.02E-61,2.04E-59,2415.881099,2047.572704,1967.664343,8885.078314,8768.360985,8104.548722
23,SP_0517,6877.62945,-2.321088896,0.142565633,16.28084451,1.35E-59,1.30E-57,14191.01946,10058.95624,10233.62052,2172.393456,2361.463675,2248.323356
24,SP_1924,948.5334709,-2.042976701,0.127413379,16.03424005,7.37E-58,6.80E-56,1618.70119,1475.632891,1495.615079,358.2428626,372.5464321,370.4623712
25,SP_0221,8043.429598,-1.751239788,0.109681753,15.96655546,2.19E-57,1.94E-55,12298.47784,12204.43489,12771.14002,3544.201491,3965.816858,3476.506489
26,SP_1540,6042.117651,-2.085296478,0.132210038,15.77260324,4.80E-56,4.09E-54,11437.7399,9061.583362,8917.316243,2349.33048,2424.556216,2062.179702
27,SP_0209,5774.375462,-1.908712418,0.122293843,15.60759207,6.46E-55,5.30E-53,8954.243885,8879.154284,9584.298081,2442.167807,2100.080291,2686.308426
28,SP_1758,646.5943654,2.000066018,0.129478912,-15.44704063,7.90E-54,6.25E-52,244.7660112,271.1783595,252.6652176,1065.990957,1023.000485,1021.965162
29,SP_0419,1851.767096,-1.923364501,0.125061586,15.37933879,2.25E-53,1.72E-51,2980.465683,3042.832501,2789.505508,724.1311521,863.7669293,709.9008
30,SP_1714,695.1398892,-2.922638626,0.190847261,15.31401924,6.16E-53,4.55E-51,1595.712117,1086.122157,1023.565814,190.0434698,136.7005053,138.695272
31,SP_1997,2703.63601,1.663601502,0.108661465,-15.3099492,6.56E-53,4.69E-51,1329.309332,1226.289672,1314.945864,4095.764435,4173.120921,4082.385835
32,SP_0400,8642.232453,-1.875123234,0.122550607,15.30080736,7.55E-53,5.23E-51,13347.8614,13172.92904,14317.01646,3567.137772,4183.636345,3264.813705
33,SP_0501,631.3489811,-2.550877254,0.166783158,15.29457339,8.31E-53,5.58E-51,920.2390642,1156.558094,1167.55782,144.1709081,204.2996563,195.2683435
34,SP_0227,5477.196092,-1.68310521,0.110084566,15.28920238,9.02E-53,5.88E-51,8069.840728,8230.439299,8801.171747,2531.728523,2481.639943,2748.356311
35,SP_1925,835.5088148,-2.215281557,0.146208396,15.15153454,7.40E-52,4.68E-50,1181.908805,1462.954422,1490.181418,270.8665546,291.4274509,315.7142376
36,SP_1759,833.3485132,1.881371138,0.124198517,-15.14809665,7.80E-52,4.80E-50,347.5406899,358.518922,351.8295235,1234.19035,1368.507257,1339.504337
37,SP_0837,676.7774942,1.958017278,0.129828868,-15.0815247,2.14E-51,1.28E-49,265.0504873,285.265547,272.3622373,1049.607899,1035.018112,1153.360683
38,SP_0219,5275.429552,-1.580406488,0.105210713,15.02134565,5.32E-51,3.10E-49,7865.643669,7726.822346,8165.433458,2619.10483,2583.789771,2691.783239
39,SP_0435,1691.123235,-2.006886535,0.135876614,14.76991869,2.29E-49,1.30E-47,3010.216248,2568.798641,2568.763046,717.577929,567.8328683,713.5506756
40,SP_1906,2878.059991,-1.718966677,0.116480356,14.75756723,2.75E-49,1.52E-47,4754.68119,4367.732486,4147.920656,1337.949715,1260.348615,1399.727284
41,SP_0225,9275.504151,-1.676402215,0.114218247,14.67718392,9.03E-49,4.88E-47,14435.10932,13260.97396,14772.76474,4324.035039,4076.979906,4783.161946
42,SP_0905,917.4846101,-1.928791555,0.131962317,14.61622982,2.21E-48,1.17E-46,1481.442902,1462.954422,1428.373529,411.7608512,333.4891449,386.8868113
43,SP_0776,2760.153868,-2.590257887,0.178258564,14.53090288,7.72E-48,3.98E-46,4008.212471,4664.972142,5585.803091,682.6274058,591.868122,1027.439975
44,SP_0218,6518.200026,-1.820127305,0.126164156,14.42665941,3.52E-47,1.77E-45,11274.78795,9042.565659,10233.62052,2816.793727,3133.596199,2607.836101
45,SP_0370,928.395122,-2.215653398,0.155261224,14.27048781,3.34E-46,1.65E-44,1784.357745,1384.770532,1431.090359,353.8740472,265.8899939,350.3880555
46,SP_0519,1507.148998,-1.929646532,0.13530193,14.26178127,3.79E-46,1.82E-44,2771.53558,2117.304282,2293.004771,620.3717864,612.898969,627.7785995
47,SP_1072,6541.76598,1.796322304,0.126102534,-14.24493425,4.82E-46,2.27E-44,3338.148611,2706.853079,2658.418446,10509.18544,10659.63501,9378.355299
48,SP_0421,2596.379916,-1.609679749,0.113532937,14.17808601,1.25E-45,5.78E-44,4000.774829,3959.908407,3793.374302,1202.516438,1362.498443,1259.207075
49,SP_0366,5348.740242,1.700080916,0.120142796,-14.15050231,1.85E-45,8.38E-44,2783.030116,2362.421344,2356.171075,8784.59556,8203.532524,7602.69083
