"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.d","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.d"
"1","SP_0107",7106.3321321377,2.20778617621821,0.0485501578330715,45.4743357129585,0,0,2587.21539167778,2556.1906872475,2432.52593953701,2531.87077720822,11835.9472793664,11874.765676897,11401.0440707269,11631.0972344408
"2","SP_0189",5942.08112347191,2.00269558285855,0.0517147678038947,38.7257966709411,0,0,2362.52194638802,2373.88871575388,2263.59066856829,2484.85460710597,9574.67731700082,9647.96238415269,9215.01591620331,9614.13743260232
"3","SP_0236",17286.2258788897,-2.20567417359802,0.0515230052900413,-42.809501526192,0,0,28743.4768859133,26966.8209788769,28818.3697534878,29159.0285597955,5876.05073837563,6375.18111265619,6257.10957273064,6093.76942928151
"4","SP_0284",5987.6217127772,-3.13434141541994,0.0642312546880378,-48.7977610065846,0,0,10496.8567686568,10386.2585172153,10730.9387668283,11408.9238301303,1202.93059670299,1175.35853013098,1152.05699843142,1347.64969412153
"5","SP_RS04335",6796.32453054217,4.8029563109613,0.0672381144889244,71.4320493289926,0,0,466.671001755658,500.33965002325,481.252578641988,417.143466651848,13523.985734057,12417.7995404304,13481.9470241437,13081.4572486336
"6","SP_0961",7984.77871764563,-2.12874077959349,0.0566272005660848,-37.5921952403283,0,0,12663.8522073648,13003.8770426835,13376.4083252334,12964.4588196833,2766.91148629976,3003.99773166035,2914.70420603149,3184.0199222084
"7","SP_1027",21862.6494341639,3.69914238960486,0.0541797829764928,68.2753268171971,0,0,3242.93135942242,3167.49675470165,2979.79104002812,3076.05793754061,39302.2921911417,38953.5684020852,41965.1162391125,42213.9415492791
"8","SP_2063",20278.7852175199,2.78246462379134,0.0596343029413432,46.6587934553069,0,0,5211.15951960485,5508.69000817677,5072.31700143901,4736.62905179017,33803.5475645342,34979.2165350841,35719.5272363661,37199.1948231636
"9","SP_2106",10325.4736173642,2.85787118613616,0.054467866891283,52.4689390139038,0,0,2474.8686690329,2487.82744793739,2560.29211085789,2464.8477262114,19023.5859300789,18829.425878827,17483.9050224448,17279.036153523
"10","SP_2107",5610.24325548461,3.06713263555185,0.0638280585249874,48.0530460495071,0,0,1134.26979593389,1282.05842996057,1227.26505674336,1121.38567414082,10301.0557498606,10293.0428797595,9333.10175854253,10189.7666989356
"11","SP_2156",5096.39664293014,2.34115071875225,0.0525754587130431,44.52934460411,0,0,1631.18799224779,1664.49626146349,1731.23162139795,1678.57730705468,8352.0686237657,8759.61000672811,8221.36675505621,8732.63457572719
