,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.d
1,SP_0054,1606.131541,-4.039949779,0.101042912,-39.98251517,0,0,3080.68721,2703.924824,2684.997711,3653.42912,155.9266277,192.7096122,195.4089952,181.9682299
2,SP_0085,19641.73647,-2.409693742,0.051372196,-46.90657484,0,0,33992.50428,31684.28115,32349.47403,34244.27179,6094.742818,6557.164973,6345.177144,5866.275604
3,SP_0107,15610.92134,2.857723372,0.062985927,45.37082307,0,0,3905.057566,4147.398526,3613.091775,3403.223296,28027.02647,26349.57573,26480.53928,28961.45808
4,SP_0208,21971.44314,-2.052554846,0.050223725,-40.86823206,0,0,36848.11215,34106.32448,36260.41925,34458.43101,8053.767296,8844.48952,8383.869458,8816.131957
5,SP_0210,25324.71554,-2.282969783,0.048335623,-47.2316198,0,0,42429.52752,40898.86686,41505.22989,43270.76498,8792.587424,8398.612378,9097.374334,8204.760941
6,SP_0211,12523.64352,-2.268828545,0.057973317,-39.13573824,0,0,22273.18902,20637.46575,19384.93524,20711.95337,4575.243064,3971.329458,4289.26488,4345.767377
7,SP_0212,44888.702,-2.133820672,0.050205373,-42.50183872,0,0,76321.22939,68819.82972,72197.08476,75212.29503,16305.32072,16636.00364,17520.17585,16097.67691
8,SP_0214,22157.13227,-2.300687431,0.058239259,-39.50406416,0,0,38425.0484,34537.16231,35540.96649,38913.36693,6895.305706,7365.78962,7922.674282,7656.744434
9,SP_0215,34513.14697,-2.21400302,0.044310703,-49.96542328,0,0,58481.96536,56485.1766,55656.86574,56576.20185,11608.68511,12450.55239,12362.42655,12483.30214
10,SP_0218,18919.17145,-2.338255928,0.053530337,-43.68094925,0,0,32008.21583,30594.16126,32450.19742,31345.70092,5764.052789,6588.653472,6549.570461,6052.819437
11,SP_0219,11969.38685,-2.009386466,0.044865446,-44.78694961,0,0,19500.43244,18976.90322,19075.57056,19172.55143,4700.821556,4630.068851,5002.769755,4695.977027
12,SP_0220,11203.43706,-2.162266573,0.049644796,-43.55474822,0,0,17977.34952,19147.23446,17948.90753,18216.25628,4139.904291,3923.46694,3967.326689,4307.050733
13,SP_0221,18571.75292,-1.902582574,0.04877575,-39.00673136,0,0,29912.07814,27966.38452,29570.94746,29821.1417,7702.147518,7635.331169,7641.914231,8324.0786
14,SP_0226,20198.51215,-1.998210294,0.051183792,-39.03990343,0,0,32938.91201,32258.73158,30972.44144,33105.62325,7634.125834,8562.352571,7794.647699,8321.262844
15,SP_0234,22180.45718,-2.2608048,0.048036832,-47.06398574,0,0,36743.16718,37295.86031,37512.26706,35304.46596,7720.984292,7441.362017,7344.682924,8080.867678
16,SP_0235,18501.74003,-2.325580634,0.056040089,-41.49851753,0,0,30855.20202,28878.82555,32038.67044,31684.96306,5780.796588,5859.379841,6462.722019,6453.360725
17,SP_0236,37911.89762,-2.379721954,0.055605265,-42.79670204,0,0,62643.86193,64278.33148,63530.55678,64063.2931,11549.03533,11586.50799,12096.64037,13546.95396
18,SP_0237,22051.00367,-2.325536904,0.050097349,-46.42035901,0,0,36832.92274,35792.93767,35700.685,38796.74557,7311.807705,7134.034269,7075.153276,7763.743161
19,SP_0271,20391.17784,-2.072465427,0.049937342,-41.50131619,0,0,32773.20943,32170.56012,34640.21163,32238.38441,8207.600949,7651.705188,8022.250513,7425.500475
20,SP_0272,26965.68617,-1.974890935,0.049893842,-39.58185734,0,0,43331.22575,41477.32509,41677.89855,45535.33973,11061.37218,10858.4939,11383.13549,10400.69863
21,SP_0273,87219.90507,-1.676719216,0.040469744,-41.43142613,0,0,132528.9268,128900.6652,133759.2188,136423.6658,40713.59364,41419.97121,42108.76674,41904.43239
22,SP_0282,24428.7736,-3.10457592,0.067641287,-45.89764706,0,0,43722.00768,39806.07511,42030.43041,49593.76303,4685.124244,5138.922991,5405.566841,5048.298493
23,SP_0283,13782.65403,-3.209355214,0.0577134,-55.60849323,0,0,25871.6968,22818.3735,24275.77513,26579.06792,2575.405576,2621.102633,2741.715481,2778.095239
24,SP_0284,13846.46048,-3.322951177,0.055250814,-60.14302678,0,0,26074.68247,24132.92983,25059.97864,25484.94753,2572.266114,2303.698566,2458.70935,2684.471352
25,SP_0287,8886.657761,-4.26086538,0.067128242,-63.47351356,0,0,16842.28682,15524.18894,16171.8592,19047.44851,927.1878669,847.6703855,875.2226645,857.3976943
26,SP_0288,1064.538687,-3.554399012,0.086416044,-41.13123956,0,0,1825.490135,2017.256168,1915.183255,2086.462133,195.6931502,161.2211134,164.712563,150.2909752
27,SP_0358,7228.727317,-1.916583394,0.050118936,-38.24070416,0,0,11998.24795,11512.38744,11116.98409,11112.95532,3062.022233,2888.125102,2997.768647,3141.327759
28,SP_0360,8467.229854,-1.915618832,0.047704424,-40.15599982,0,0,13091.885,13687.28349,13315.63174,13468.70677,3538.174016,3558.200355,3371.366688,3706.590771
29,SP_0581,6918.249234,-1.833014132,0.047319579,-38.73690666,0,0,10958.46423,10650.71179,10691.06806,10917.87959,3071.44062,3054.384376,3125.046537,2876.998667
30,SP_0775,3582.513737,-2.942958968,0.069339097,-42.442995,0,0,6916.702032,6127.916585,6256.361226,6087.634942,844.5153596,725.4950104,801.8507046,899.6340339
