Gene.NewLT,mean_CTRL,Total_CTRL,sd_CTRL,se_CTRL,M_CTRL,mean.EXPT,Total_EXPT,sd_EXPT,se_EXPT,M_EXPT,Value,Df,tstat,pval,Sig,Gene
SPT_RS00035,0.385595273,6,0.601224529,0.245448886,NA,0.339905532,6,0.526579386,0.214975134,NA,0.045689741,10,-0.099234053,0.922913549,FALSE,SPT_0001
SPT_RS00040,0.265014166,7,0.452770378,0.171131117,NA,0.405730512,7,0.507377334,0.191770606,NA,-0.140716346,12,0.387753313,0.704988849,FALSE,SPT_0002
SPT_RS00060,0.904948582,13,0.536628473,0.14883396,NA,0.848727133,13,0.382461174,0.106075644,NA,0.056221449,24,-0.220554456,0.827304833,FALSE,SPT_0006
SPT_RS00065,0.594757158,14,0.540966755,0.144579447,NA,0.63943032,14,0.50297562,0.134425889,NA,-0.044673162,26,0.160115799,0.874027338,FALSE,SPT_0007
SPT_RS00080,0.955034259,6,0.063721911,0.026014361,NA,0.995767802,6,0.037590608,0.015346302,NA,-0.040733543,10,0.984837779,0.347931736,FALSE,SPT_0010
SPT_RS00085,0.685435356,140,0.465221906,0.039318427,NA,0.673552304,140,0.463177681,0.039145659,NA,0.011883052,278,-0.151445745,0.879733946,FALSE,SPT_0011
SPT_RS00110,0.707521113,8,0.442763774,0.156540633,NA,0.757069499,8,0.467655155,0.165341066,NA,-0.049548386,14,0.15393353,0.879859075,FALSE,SPT_0016
SPT_RS00115,0.226390051,5,0.506223543,0.226390051,NA,0.202742327,5,0.453345625,0.202742327,NA,0.023647724,8,-0.055105896,0.957405459,FALSE,SPT_0017
SPT_RS00120,0.470259956,18,0.488405779,0.115118346,NA,0.648024658,18,0.473476692,0.111599527,NA,-0.177764702,34,0.784078907,0.43842248,FALSE,SPT_0019
SPT_RS00125,0.565193582,14,0.510963314,0.13656069,NA,0.55824342,14,0.504513595,0.13483693,NA,0.006950162,26,-0.02560878,0.979764927,FALSE,SPT_0022
SPT_RS00130,0,2,0,0,NA,0,2,0,0,NA,0,2,NA,NA,FALSE,SPT_0023
SPT_RS00135,0.502103027,2,0.71008091,0.502103027,NA,0.455891349,2,0.644727728,0.455891349,NA,0.046211678,2,-0.048237943,0.965910448,FALSE,SPT_0024
SPT_RS00140,0.912322277,3,0.126058838,0.072780104,NA,0.950611012,3,0.066836781,0.038588234,NA,-0.038288735,4,0.343802698,0.748306632,FALSE,SPT_0025
SPT_RS00145,0.993817599,2,0.036651606,0.025916599,NA,0.487349507,2,0.689216283,0.487349507,NA,0.506468092,2,-0.98675538,0.427781446,FALSE,SPT_0026
SPT_RS00160,0.526223655,8,0.47358208,0.16743655,NA,0.577934765,8,0.489474237,0.173055276,NA,-0.05171111,14,0.151871811,0.881454902,FALSE,SPT_0029
SPT_RS00165,0.60161103,27,0.45228879,0.087043018,NA,0.488305002,27,0.464741949,0.08943963,NA,0.113306029,52,-0.642023623,0.523678222,FALSE,SPT_0030
SPT_RS00170,0.68884952,41,0.484424941,0.075654465,NA,0.683539689,41,0.47568815,0.074290008,NA,0.005309831,80,-0.035411982,0.971839441,FALSE,SPT_0031
SPT_RS00175,0.595886302,28,0.494340714,0.093421614,NA,0.685928306,28,0.483851963,0.091439426,NA,-0.090042004,54,0.487079398,0.628173464,FALSE,SPT_0032
SPT_RS00180,0.796087134,17,0.475732362,0.115382046,NA,0.590471912,17,0.510151407,0.12372989,NA,0.205615222,32,-0.859911996,0.396234314,FALSE,SPT_0034
SPT_RS00185,0.632839727,11,0.512061623,0.154392388,NA,0.639189908,11,0.511206368,0.154134519,NA,-0.006350182,20,0.020582262,0.98378285,FALSE,SPT_0035
SPT_RS00190,0.593560536,20,0.5027758,0.112424087,NA,0.50226231,20,0.516148805,0.115414381,NA,0.091298225,38,-0.400714708,0.690874386,FALSE,SPT_0036
SPT_RS00200,0.735933768,24,0.402905865,0.082242815,NA,0.72288967,24,0.379992818,0.077565709,NA,0.013044098,46,-0.081623292,0.935300402,FALSE,SPT_0038
SPT_RS00205,0,1,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,FALSE,SPT_0039
SPT_RS00210,0.634602846,130,0.480703389,0.042160476,NA,0.718161036,130,0.463067471,0.040613704,NA,-0.08355819,258,1.009471677,0.313694266,FALSE,SPT_0040
