Gene,Value,AveExpr,t,P.Value,padj,B
Rv0251c,5.69150217,12.18570086,27.87323652,2.11E-09,8.50E-06,11.84040671
Rv1954c,5.224836555,11.64592098,25.36424804,4.53E-09,9.12E-06,11.26127029
Rvnt11,-4.457925821,11.17257167,-22.1565425,1.35E-08,1.46E-05,10.37568497
Rv0173,-4.868994627,10.65418604,-21.54889516,1.69E-08,1.46E-05,10.18617375
Rv2641,5.149425519,11.94929557,21.36064722,1.81E-08,1.46E-05,10.12589259
Rv2466c,5.91408401,10.99975965,20.1694119,2.88E-08,1.65E-05,9.726159861
Rv1219c,4.01636711,9.535834992,19.88681205,3.22E-08,1.65E-05,9.626462147
Rvnt02,5.686775008,9.757165826,19.8474974,3.27E-08,1.65E-05,9.612437605
Rv0280,-4.057635574,10.43307891,-19.4129248,3.91E-08,1.70E-05,9.454835602
Rv1955,5.322315005,11.50628341,19.07162836,4.51E-08,1.70E-05,9.32765955
Rv0166,-5.085931589,10.28431765,-18.99838313,4.65E-08,1.70E-05,9.299965893
Rv3054c,6.403267502,10.25030947,18.46688803,5.84E-08,1.96E-05,9.094640222
Rv2642,4.729181905,10.91516121,17.79484479,7.86E-08,2.43E-05,8.82355591
Rv1632c,-3.886887586,9.757917161,-17.34783569,9.63E-08,2.77E-05,8.635760423
Rv2694c,3.85634516,11.71487645,16.56266218,1.39E-07,3.73E-05,8.290462589
Rv0654,4.436565365,10.99731178,16.31995427,1.57E-07,3.73E-05,8.179539431
Rv2617c,4.443119203,11.56381521,16.27369376,1.60E-07,3.73E-05,8.158164417
Rv1956,4.713336225,11.11524568,16.08807625,1.76E-07,3.73E-05,8.071635904
Rv0118c,-4.769676759,10.10024722,-15.98235518,1.85E-07,3.73E-05,8.021800055
Rv3463,5.04447333,9.708820395,15.98175431,1.85E-07,3.73E-05,8.021515652
Rv0678,4.102415315,11.09082463,15.70826119,2.12E-07,4.07E-05,7.89068972
Rv0991c,3.993187406,11.82291473,15.42029643,2.46E-07,4.31E-05,7.749909614
Rvnt33,4.401253566,10.61739446,15.27590501,2.65E-07,4.31E-05,7.678118365
Rv3018A,4.816614601,9.92263473,15.26294062,2.67E-07,4.31E-05,7.671632583
Rv1957,4.519629266,11.12812943,15.25695147,2.68E-07,4.31E-05,7.668634116
Rvnt19,4.540053815,9.922386569,15.13134115,2.86E-07,4.42E-05,7.605420293
Rv2662,6.447709961,10.18967277,15.04594574,2.99E-07,4.46E-05,7.562085341
Rv3251c,3.891723711,10.02456261,14.83209393,3.35E-07,4.69E-05,7.452266587
Rv3145,-3.166055857,11.42484393,-14.81404581,3.38E-07,4.69E-05,7.442912533
Rv0967,4.444601038,12.02435353,14.71559705,3.56E-07,4.70E-05,7.391649895
Rv1025,-3.85164537,9.322548192,-14.6855469,3.62E-07,4.70E-05,7.375922016
Rv3797,-3.540067536,9.106059146,-14.44115766,4.14E-07,4.77E-05,7.246590648
