source,target
SPT_0399,SPT_0398
SPT_1493,SPT_1743
SPT_1834,SPT_1990
SPT_1240,SPT_1239
SPT_1993,SPT_1837
SPT_1993,SPT_1521
SPT_1993,SPT_2063
SPT_1993,SPT_1834
SPT_1993,SPT_1990
SPT_0637,SPT_1019
SPT_0637,SPT_1020
SPT_0637,SPT_1857
SPT_0637,SPT_1478
SPT_0996,SPT_0995
SPT_1426,SPT_0470
SPT_1426,SPT_0318
SPT_1324,SPT_1557
SPT_0954,SPT_0953
SPT_1521,SPT_2063
SPT_1521,SPT_1834
SPT_1521,SPT_1990
SPT_2264,SPT_2072
SPT_0609,SPT_0611
SPT_0934,SPT_1833
SPT_0934,SPT_1889
SPT_0934,SPT_2258
SPT_0934,SPT_0980
SPT_2245,SPT_0074
SPT_2245,SPT_1611
SPT_1880,SPT_0888
SPT_1880,SPT_0887
SPT_1880,SPT_0889
SPT_1039,SPT_0519
SPT_1039,SPT_0517
SPT_1039,SPT_1038
SPT_2232,SPT_1426
SPT_2232,SPT_0470
SPT_2232,SPT_0318
SPT_2258,SPT_0980
SPT_2175,SPT_0098
SPT_2175,SPT_2174
SPT_2175,SPT_0099
SPT_2175,SPT_0329
SPT_2175,SPT_0327
SPT_2175,SPT_2176
SPT_2175,SPT_2177
SPT_2175,SPT_0328
SPT_2175,SPT_0100
SPT_2175,SPT_0101
SPT_0221,SPT_1689
SPT_0221,SPT_1493
SPT_0221,SPT_1743
SPT_0751,SPT_0608
SPT_0876,SPT_2096
SPT_1827,SPT_2067
SPT_1556,SPT_1962
SPT_1478,SPT_1857
SPT_1478,SPT_0319
SPT_1478,SPT_1183
SPT_1478,SPT_0002
SPT_1478,SPT_1336
SPT_1478,SPT_1304
SPT_1478,SPT_2221
SPT_1478,SPT_1115
SPT_1478,SPT_1163
SPT_1478,SPT_1211
SPT_1478,SPT_0070
SPT_1183,SPT_0002
SPT_1183,SPT_1336
SPT_1183,SPT_1304
SPT_1183,SPT_2221
SPT_1183,SPT_1115
SPT_1183,SPT_1163
SPT_1183,SPT_1211
SPT_1183,SPT_0070
SPT_1336,SPT_1304
SPT_1336,SPT_2221
SPT_1336,SPT_1115
SPT_1336,SPT_1163
SPT_1336,SPT_1211
SPT_1336,SPT_0070
SPT_2266,SPT_2264
SPT_2266,SPT_2072
SPT_0474,SPT_0475
SPT_2221,SPT_1115
SPT_2221,SPT_1163
SPT_2221,SPT_1211
SPT_2221,SPT_0070
SPT_1163,SPT_1211
SPT_1163,SPT_0070
SPT_1857,SPT_0319
SPT_1857,SPT_1183
SPT_1857,SPT_0002
SPT_1857,SPT_1336
SPT_1857,SPT_1304
SPT_1857,SPT_2221
SPT_1857,SPT_1115
