source,target
Rv0023,Rv0001
Rv0023,Rv0002
Rv0023,Rv0003
Rv0023,Rv0004
Rv0023,Rv0005
Rv0023,Rv0006
Rv0023,Rv0007
Rv0023,Rv0008c
Rv0023,Rv0013
Rv0023,Rv0014c
Rv0023,Rv0015c
Rv0023,Rv0033
Rv0023,Rv0034
Rv0023,Rv0035
Rv0023,Rv0046c
Rv0023,Rv0047c
Rv0023,Rv0056
Rv0023,Rv0057
Rv0023,Rv0058
Rv0023,Rv0059
Rv0023,Rv0060
Rv0023,Rv0061
Rv0023,Rv0062
Rv0023,Rv0063
Rv0023,Rv0064
Rv0023,Rv0065
Rv0023,Rv0072
Rv0023,Rv0073
Rv0023,Rv0092
Rv0023,Rv0093c
Rv0023,Rv0097
Rv0023,Rv0099
Rv0023,Rv0100
Rv0023,Rv0101
Rv0023,Rv0102
Rv0023,Rv0103c
Rv0023,Rv0104
Rv0023,Rv0105c
Rv0023,Rv0107c
Rv0023,Rv0115
Rv0023,Rv0116c
Rv0023,Rv0125
Rv0023,Rv0126
Rv0023,Rv0127
Rv0023,Rv0128
Rv0023,Rv0136
Rv0023,Rv0137c
Rv0023,Rv0138
Rv0023,Rv0139
Rv0023,Rv0145
Rv0023,Rv0146
Rv0023,Rv0147
Rv0023,Rv0148
Rv0023,Rv0149
Rv0023,Rv0150c
Rv0023,Rv0151c
Rv0023,Rv0152c
Rv0023,Rv0157
Rv0023,Rv0157A
Rv0023,Rv0158
Rv0023,Rv0159c
Rv0023,Rv0160c
Rv0023,Rv0169
Rv0023,Rv0170
Rv0023,Rv0171
Rv0023,Rv0172
Rv0023,Rv0173
Rv0023,Rv0174
Rv0023,Rv0175
Rv0023,Rv0176
Rv0023,Rv0177
Rv0023,Rv0178
Rv0023,Rv0179c
Rv0023,Rv0180c
Rv0023,Rv0186
Rv0023,Rv0187
Rv0023,Rv0196
Rv0023,Rv0197
Rv0023,Rv0198c
Rv0023,Rv0199
Rv0023,Rv0200
Rv0023,Rv0211
Rv0023,Rv0212c
Rv0023,Rv0213c
Rv0023,Rv0214
Rv0023,Rv0233
Rv0023,Rv0234c
Rv0023,Rv0235c
Rv0023,Rv0236c
Rv0023,Rv0240
Rv0023,Rv0241c
Rv0023,Rv0242c
Rv0023,Rv0243
Rv0023,Rv0244c
Rv0023,Rv0245
Rv0023,Rv0246
Rv0023,Rv0247c
Rv0023,Rv0248c
Rv0023,Rv0250c
Rv0023,Rv0251c
Rv0023,Rv0252
Rv0023,Rv0258c
Rv0023,Rv0268c
Rv0023,Rv0274
Rv0023,Rv0275c
Rv0023,Rv0276
Rv0023,Rv0296c
Rv0023,Rv0297
Rv0023,Rv0304c
Rv0023,Rv0305c
Rv0023,Rv0306
Rv0023,Rv0307c
Rv0023,Rv0308
Rv0023,Rv0309
Rv0023,Rv0312
Rv0023,Rv0313
Rv0023,Rv0320
Rv0023,Rv0321
Rv0023,Rv0322
Rv0023,Rv0323c
Rv0023,Rv0324
Rv0023,Rv0325
Rv0023,Rv0326
Rv0023,Rv0327c
Rv0023,Rv0328
Rv0023,Rv0329c
Rv0023,Rv0330c
Rv0023,Rv0331
Rv0023,Rv0332
Rv0023,Rv0335c
Rv0023,Rv0336
Rv0023,Rv0337c
Rv0023,Rv0338c
Rv0023,Rv0346c
Rv0023,Rv0347
Rv0023,Rv0348
Rv0023,Rv0349
Rv0023,Rv0354c
Rv0023,Rv0355c
Rv0023,Rv0362
Rv0023,Rv0363c
Rv0023,Rv0364
Rv0023,Rv0373c
Rv0023,Rv0374c
Rv0023,Rv0376c
Rv0023,Rv0377
Rv0023,Rv0379
Rv0023,Rv0387c
Rv0023,Rv0388c
Rv0023,Rv0389
Rv0023,Rv0396
Rv0023,Rv0397
Rv0023,Rv0402c
Rv0023,Rv0403c
Rv0023,Rv0404
Rv0023,Rv0405
Rv0023,Rv0407
Rv0023,Rv0408
Rv0023,Rv0409
Rv0023,Rv0418
Rv0023,Rv0419
Rv0023,Rv0423c
Rv0023,Rv0424c
Rv0023,Rv0425c
Rv0023,Rv0426c
Rv0023,Rv0433
Rv0023,Rv0434
Rv0023,Rv0435c
Rv0023,Rv0436c
Rv0023,Rv0449c
Rv0023,Rv0450c
Rv0023,Rv0454
Rv0023,Rv0456A
Rv0023,Rv0457c
Rv0023,Rv0462
Rv0023,Rv0463
Rv0023,Rv0470A
Rv0023,Rv0470c
Rv0023,Rv0471c
Rv0023,Rv0476
Rv0023,Rv0477
Rv0023,Rv0478
Rv0023,Rv0505c
Rv0023,Rv0506
Rv0023,Rv0507
Rv0023,Rv0515
Rv0023,Rv0516c
Rv0023,Rv0521
Rv0023,Rv0522
Rv0023,Rv0549c
Rv0023,Rv0550c
Rv0023,Rv0559c
Rv0023,Rv0560c
Rv0023,Rv0561c
Rv0023,Rv0564c
Rv0023,Rv0565c
Rv0023,Rv0567
Rv0023,Rv0568
Rv0023,Rv0573c
Rv0023,Rv0574c
Rv0023,Rv0578c
Rv0023,Rv0579
Rv0023,Rv0592
Rv0023,Rv0593
Rv0023,Rv0594
Rv0023,Rv0595c
Rv0023,Rv0596c
Rv0023,Rv0597c
Rv0023,Rv0598c
Rv0023,Rv0599c
Rv0023,Rv0621
Rv0023,Rv0622
Rv0023,Rv0623
Rv0023,Rv0634B
Rv0023,Rv0634c
Rv0023,Rv0635
Rv0023,Rv0636
Rv0023,Rv0637
Rv0023,Rv0638
Rv0023,Rv0639
Rv0023,Rv0640
Rv0023,Rv0641
Rv0023,Rv0657c
Rv0023,Rv0662c
Rv0023,Rv0663
Rv0023,Rv0667
Rv0023,Rv0668
Rv0023,Rv0669c
Rv0023,Rv0670
Rv0023,Rv0686
Rv0023,Rv0687
Rv0023,Rv0688
Rv0023,Rv0691c
Rv0023,Rv0692
Rv0023,Rv0693
Rv0023,Rv0694
Rv0023,Rv0703
Rv0023,Rv0704
