target,source
SP_0044,SP_1979
SP_0045,SP_1979
SP_0046,SP_1979
SP_0047,SP_1979
SP_0048,SP_1979
SP_0049,SP_1979
SP_0050,SP_1979
SP_0051,SP_1979
SP_0052,SP_1979
SP_0053,SP_1979
SP_0054,SP_1979
SP_0057,SP_1999
SP_0058,SP_0058
SP_0060,SP_0058
SP_0060,SP_1999
SP_0061,SP_1999
SP_0061,SP_0058
SP_0062,SP_1999
SP_0062,SP_0058
SP_0063,SP_1999
SP_0063,SP_0058
SP_0064,SP_0058
SP_0064,SP_1999
SP_0090,SP_1999
SP_0091,SP_1999
SP_0092,SP_1999
SP_0095,SP_1584
SP_0098,SP_0100
SP_0099,SP_0100
SP_0100,SP_0100
SP_0112,SP_1203
SP_0112,SP_2077
SP_0112,SP_0893
SP_0141,SP_1584
SP_0148,SP_0927
SP_0149,SP_0676
SP_0150,SP_0676
SP_0151,SP_0676
SP_0152,SP_0676
SP_0159,SP_1584
SP_0202,SP_1713
SP_0203,SP_1713
SP_0204,SP_1713
SP_0205,SP_1713
SP_0238,SP_1999
SP_0239,SP_1999
SP_0245,SP_0246
SP_0246,SP_0246
SP_0247,SP_0246
SP_0251,SP_0246
SP_0252,SP_0246
SP_0253,SP_0246
SP_0266,SP_1446
SP_0268,SP_2112
SP_0268,SP_1999
SP_0282,SP_1999
SP_0283,SP_1999
SP_0284,SP_1999
SP_0285,SP_1999
SP_0285,SP_1090
SP_0303,SP_0307
SP_0303,SP_0306
SP_0303,SP_1999
SP_0305,SP_0307
SP_0305,SP_0306
SP_0305,SP_1999
SP_0306,SP_0307
SP_0306,SP_1999
SP_0306,SP_0306
SP_0307,SP_0307
SP_0307,SP_0306
SP_0307,SP_1999
SP_0308,SP_0307
SP_0308,SP_0306
SP_0308,SP_1999
SP_0309,SP_0307
SP_0309,SP_1999
SP_0309,SP_0306
SP_0310,SP_1999
SP_0310,SP_0307
SP_0310,SP_0306
SP_0314,SP_0330
SP_0314,SP_1999
SP_0317,SP_0330
SP_0318,SP_0330
SP_0319,SP_0330
SP_0320,SP_0330
SP_0321,SP_0330
SP_0321,SP_1999
SP_0322,SP_1999
SP_0322,SP_0330
SP_0323,SP_0330
SP_0323,SP_1999
SP_0324,SP_0330
SP_0324,SP_1999
SP_0325,SP_1999
SP_0325,SP_0330
SP_0326,SP_0330
SP_0326,SP_1999
SP_0327,SP_1999
SP_0327,SP_0330
SP_0328,SP_0330
SP_0329,SP_0330
SP_0330,SP_0330
SP_0338,SP_2195
SP_0342,SP_2112
SP_0366,SP_1584
SP_0394,SP_0395
SP_0394,SP_1999
SP_0395,SP_0395
SP_0395,SP_1999
SP_0396,SP_0395
SP_0396,SP_1999
SP_0397,SP_0395
SP_0397,SP_1999
SP_0400,SP_1999
SP_0410,SP_1999
SP_0415,SP_0416
SP_0416,SP_0416
SP_0417,SP_0416
SP_0418,SP_0416
SP_0419,SP_0416
SP_0420,SP_0416
SP_0421,SP_0416
SP_0422,SP_0416
SP_0423,SP_0416
SP_0424,SP_0416
SP_0425,SP_0416
SP_0426,SP_0416
SP_0427,SP_0416
SP_0445,SP_1584
SP_0446,SP_1584
SP_0447,SP_1584
SP_0448,SP_1584
SP_0449,SP_1584
SP_0450,SP_1584
SP_0459,SP_1999
SP_0473,SP_1999
SP_0473,SP_0473
SP_0474,SP_1999
SP_0474,SP_0473
SP_0475,SP_0473
SP_0475,SP_1999
SP_0481,SP_0676
SP_0482,SP_0676
SP_0483,SP_0676
SP_0484,SP_0676
SP_0498,SP_1999
SP_0501,SP_0501
SP_0502,SP_0501
SP_0515,SP_0515
SP_0516,SP_0515
SP_0576,SP_1999
SP_0577,SP_1999
SP_0578,SP_1999
SP_0585,SP_0676
SP_0585,SP_0927
SP_0586,SP_0927
SP_0586,SP_0676
SP_0605,SP_1090
SP_0605,SP_1999
SP_0607,SP_0501
SP_0608,SP_0501
SP_0609,SP_0501
SP_0610,SP_0501
SP_0620,SP_0927
SP_0636,SP_1999
