Gene,Value,padj
Rv0001,-0.28,0.024
Rv0002,0.18,0.287
Rv0005,-0.02,0.886
Rv0006,-0.09,0.587
Rv0007,-0.39,0.036
Rv0008c,-0.07,0.637
Rv0009,-0.18,0.187
Rv0011c,-0.19,0.167
Rv0013,0.09,0.231
Rv0014c,0.19,0.292
Rv0015c,-0.69,0.003
Rv0016c,-0.15,0.416
Rv0017c,-0.13,0.753
Rv0018c,-0.08,0.448
Rv0019c,-0.25,0.088
Rv0020c,0.27,0.024
Rv0023,0.05,0.717
Rv0025,-1.01,0.001
Rv0027,-0.29,0.094
Rv0028,-0.25,0.111
Rv0029,-0.46,0.008
Rv0030,0.88,0.028
Rv0034,-0.30,0.094
Rv0035,-0.46,0.081
Rv0036c,0.24,0.048
Rv0038,0.20,0.105
Rv0041,-0.06,0.646
Rv0042c,-0.07,0.664
Rv0043c,-0.48,0.083
Rv0044c,-0.39,0.081
Rv0045c,-0.06,0.437
Rv0046c,0.88,0.001
Rv0047c,-0.05,0.871
Rv0048c,0.00,0.963
Rv0050,-0.13,0.435
Rv0051,-0.82,0.052
Rv0052,-0.05,0.847
Rv0053,-0.13,0.379
Rv0054,-0.33,0.060
Rv0055,0.40,0.380
Rv0056,-0.02,0.905
Rv0059,-0.32,0.100
Rv0060,-0.17,0.377
Rv0061c,-0.01,0.993
Rv0062,-0.94,0.003
Rv0063,-0.69,0.102
Rv0066c,0.16,0.044
Rv0067c,0.03,0.970
Rv0068,-0.26,0.108
Rv0069c,-0.25,0.081
Rv0070c,-0.01,0.952
Rv0072,-0.43,0.028
Rv0073,-0.61,0.359
Rv0074,-0.19,0.593
Rv0075,-0.19,0.267
Rv0077c,0.27,0.126
Rv0078,-0.27,0.359
Rv0078A,0.44,0.010
Rv0079,3.26,0.000
Rv0080,1.68,0.000
Rv0081,0.99,0.002
Rv0088,0.40,0.045
Rv0091,-0.13,0.408
Rv0092,-0.58,0.064
Rv0093c,0.27,0.266
Rv0097,-0.59,0.065
Rv0098,-0.40,0.698
Rv0099,0.77,0.052
Rv0103c,-0.36,0.637
Rv0108c,-0.45,0.111
Rv0110,0.03,0.933
Rv0112,-0.48,0.158
Rv0116c,-0.01,0.984
Rv0117,0.24,0.331
Rv0118c,-0.91,0.000
Rv0119,-0.34,0.063
Rv0120c,-0.08,0.711
Rv0121c,0.93,0.068
Rv0123,0.72,0.023
Rv0125,0.11,0.658
Rv0126,-0.03,0.673
Rv0127,0.01,0.933
Rv0129c,-0.40,0.330
Rv0130,-0.47,0.028
Rv0131c,0.00,0.988
Rv0133,-0.66,0.019
Rv0134,0.32,0.007
Rv0135c,-0.17,0.480
Rv0136,-0.36,0.197
Rv0137c,-0.05,0.711
Rv0138,0.04,0.857
Rv0139,0.00,0.995
Rv0140,-0.16,0.601
Rv0141c,0.00,0.994
Rv0144,-0.10,0.287
Rv0145,0.25,0.255
Rv0146,0.48,0.008
Rv0147,-0.43,0.048
Rv0148,-0.10,0.324
Rv0149,-0.02,0.886
Rv0153c,0.16,0.217
Rv0154c,0.02,0.894
Rv0155,0.18,0.237
Rv0157,-0.04,0.820
Rv0157A,-2.27,0.014
Rv0158,0.30,0.066
Rv0161,0.05,0.747
Rv0162c,0.54,0.124
Rv0164,0.27,0.287
Rv0166,-0.97,0.002
Rv0167,-0.54,0.078
Rv0169,-1.25,0.002
Rv0170,-1.48,0.000
Rv0171,-1.16,0.003
Rv0172,-1.54,0.000
Rv0173,-1.55,0.000
Rv0174,-1.46,0.001
Rv0175,-0.20,0.028
Rv0176,-0.43,0.002
Rv0177,-0.44,0.021
Rv0178,-0.28,0.060
Rv0179c,-1.21,0.001
