Pos size,Gene,mean-2394-Gluc_eII,var-2394-Gluc_eII,sd-2394-Gluc_eII,se-2394-Gluc_eII,gene,Total-2394-Gluc_eII,Blank-2394-Gluc_eII,Not Blank-2394-Gluc_eII,Blank Removed-2394-Gluc_eII,M,locus-2394,mean.2394.Vanc.eIV,var-2394-Vanc_eIV,sd-2394-Vanc_eIV,se-2394-Vanc_eIV,gene,Total-2394-Vanc_eIV,Blank-2394-Vanc_eIV,Not Blank-2394-Vanc_eIV,Blank Removed-2394-Vanc_eIV,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
1022,SP_0047,1.009,0.004,0.062,0.011,,33,0,33,0,,SP_0047,0.853602492,0.011027536,0.105012075,0.018280256,,33,0,33,0,,0.156,64,7.33,0,**,phosphoribosylformylglycinamide cyclo-ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,TRUE
1262,SP_0051,0.999,0.006,0.075,0.012,,40,0,40,0,,SP_0051,0.817742685,0.036895917,0.1920831,0.02999834,,41,1,40,0,,0.181,79,5.612,0,**,phosphoribosylamine--glycine ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,TRUE
266,SP_0201,0.878,0.013,0.116,0.021,,31,0,31,0,,SP_0201,0.663183661,0.062630528,0.250260921,0.044240299,,32,1,31,0,,0.215,61,4.403,0.00004,**,hypothetical protein,UNKNOWN,VIVO,TRUE
596,SP_0370,0.836,0.006,0.076,0.054,recU,2,0,2,0,,SP_0370,0.007010567,4.91E-05,0.007010567,0.004957219,recU,2,1,1,0,,0.829,2,15.343,0.00422,**,recombination protein U,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,TRUE
1364,SP_0413,0.907,0.003,0.053,0.009,,34,0,34,0,,SP_0413,0.748021482,0.014129915,0.118869317,0.02038592,,34,0,34,0,,0.159,66,7.136,0,**,aspartate kinase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
356,SP_0501,0.915,0.006,0.075,0.053,,2,0,2,0,,SP_0501,0.475122311,0.006791242,0.08240899,0.058271956,,2,0,2,0,,0.44,2,5.566,0.03079,**,"transcriptional regulator, MerR family",REGULATOR,PHENOTYPED,TRUE
332,SP_1288,0.89,0.007,0.085,0.035,,6,0,6,0,,SP_1288,0.403071689,0.15285222,0.390963195,0.130321065,,9,4,5,0,,0.487,13,3.613,0.00315,**,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
845,SP_1367,0.991,0,0.004,0.003,,2,0,2,0,,SP_1367,0.422025938,0.01823325,0.135030551,0.095481018,,2,0,2,0,,0.569,2,5.956,0.02705,**,licD3 protein,UNKNOWN,LIKELYESSENTIAL,TRUE
1391,SP_1479,0.951,0.005,0.069,0.011,,42,0,42,0,,SP_1479,0.769893958,0.044086495,0.209967843,0.032791468,,41,1,40,0,,0.182,81,5.267,0,**,peptidoglycan N-acetylglucosamine deacetylase A,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
1166,SP_1505,0.95,0.007,0.086,0.013,,47,0,47,0,,SP_1505,0.793406014,0.029927037,0.172994326,0.025233816,,47,0,47,0,,0.156,92,5.541,0,**,membrane protein,UNKNOWN,PHENOTYPED,TRUE
1268,SP_0010,0.771,0.026,0.162,0.035,,21,1,20,0,,SP_0010,0.478847646,0.032439613,0.180110002,0.039303225,,21,1,20,0,,0.292,40,5.522,0,***,conserved domain protein,UNKNOWN,CORE,TRUE
