"label","id","Degree","Betweenness","Pagerank","Cluster","Strain","Diameter","Count","N","Essential","Var","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.new","TAIWAN.19F.old","TAIWAN.19F.new","D39.old","D39.new"
"SP_0044",1,1,0,1.45079635841739e-08,3404,"TIGR4",0.00623828513454599,372,371,FALSE,3.39590693544979,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purC","phosphoribosylaminoimidazole-succinocarboxamide synthase",0,"Nonessential","SP_RS00265","SPT_0082","SPT_RS00420","SPD_0051","SPD_RS00275"
"SP_1979",2,13,3426,2.04754630044226e-07,3083,"TIGR4",0.00156726927944471,372,371,FALSE,0.998768668240137,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Nucleotide metabolism",NA,2,"purR","Pur operon repressor; PurR",0,"Nonessential","SP_RS09945","SPT_1958","SPT_RS09705","SPD_1776","SPD_RS09390"
"SP_0045",3,1,0,1.45079635833373e-08,3327,"TIGR4",0.0065582786875268,372,371,FALSE,1.68290631144571,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"","phosphoribosylformylglycinamidine synthase",0,"Nonessential","SP_RS00270","SPT_0084","SPT_RS00430","SPD_0052","SPD_RS00280"
"SP_0046",4,1,0,1.45079635838331e-08,3788,"TIGR4",0.00422970098739231,372,371,FALSE,0.784176408447286,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purF","amidophosphoribosyltransferase",0,"Nonessential","SP_RS00275","SPT_0085","SPT_RS00435","SPD_0053","SPD_RS00285"
"SP_0047",5,1,0,1.45079635845614e-08,2397,"TIGR4",0.00430158072650431,372,371,FALSE,0.883863578549729,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purM","phosphoribosylaminoimidazole synthetase",0,"Nonessential","SP_RS00280","SPT_0086","SPT_RS00440","SPD_0054","SPD_RS00290"
"SP_0048",6,1,0,1.45079635856764e-08,377,"TIGR4",0.00726143084560369,372,371,FALSE,0.748337818992549,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purN","phosphoribosylglycinamide formyltransferase",0,"Nonessential","SP_RS00285","SPT_0087","SPT_RS00445","SPD_0055","SPD_RS00295"
"SP_0049",7,1,0,1.45079635839884e-08,554,"TIGR4",0.00403225392249781,370,370,FALSE,0.716574377602023,"Cell Wall","CELLULAR PROCESSES",NA,NA,"Antibiotic response/sensing",NA,NA,1,"vanZ","vanZ protein",0,"Nonessential","SP_RS00290","SPT_0088","SPT_RS00450","SPD_0056","SPD_RS00300"
"SP_0050",8,1,0,1.4507963581276e-08,3456,"TIGR4",0.00759489067199023,372,371,FALSE,0.769987592773747,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purH","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase",0,"Nonessential","SP_RS00295","SPT_0089","SPT_RS00455","SPD_0057","SPD_RS00305"
"SP_0051",9,1,0,1.45079635840939e-08,3480,"TIGR4",0.0166047820974662,372,371,FALSE,1.10552789536528,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purD","phosphoribosylamine--glycine ligase",0,"Nonessential","SP_RS00300","SPT_0090","SPT_RS00460","SPD_0058","SPD_RS00310"
"SP_0052",10,1,0,1.45079635836608e-08,1056,"TIGR4",0,177,177,FALSE,2.53636986871669,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","n.p","n.p.","n.p","n.p.","n.p"
"SP_0053",11,1,0,1.4507963584462e-08,2897,"TIGR4",0.00655555683869795,372,371,FALSE,0.860563217220127,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purE","phosphoribosylaminoimidazole carboxylase catalytic subunit",0,"Nonessential","SP_RS00305","SPT_0091","SPT_RS00465","SPD_0059","SPD_RS00315"
"SP_0054",12,1,0,1.4507963583907e-08,2739,"TIGR4",0.0155437778260835,372,371,FALSE,0.721744537501654,"Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purK","phosphoribosylaminoimidazole carboxylase ATPase subunit",0,"Nonessential","SP_RS00310","SPT_0092","SPT_RS00470","SPD_0060","SPD_RS00320"
"SP_0057",13,1,0,0.0708553627323107,1332,"TIGR4",0.0128458110259878,388,371,FALSE,1.54838053109118,"Cell Wall","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"","beta-N-acetylhexosaminidase",0,"Nonessential","SP_RS00325","SPT_0095","SPT_RS00485","SPD_0063","SPD_RS00335"
"SP_1999",14,172,36708.7833333333,1,2367,"TIGR4",0.0024048122838643,372,371,FALSE,0.931758715235489,"Intracellular","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Transcription","Carbohydrate metabolism",NA,2,"ccpA","Catabolite control protein A",11,"Evolvable.Essential","SP_RS10050","SPT_1980","SPT_RS09805","SPD_1797","SPD_RS09495"
"SP_0058",15,7,5,0.02776685805365,3027,"TIGR4",0.00400922939816562,372,371,FALSE,2.00165878881969,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","GntR family transcriptional regulator",0,"Nonessential","SP_RS00330","SPT_0096","SPT_RS00490","SPD_0064","SPD_RS00340"
"SP_0060",16,2,57.4000000000004,0.0728227935316386,383,"TIGR4",0.00501042225430382,372,371,FALSE,2.63610816923251,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"GanA","Beta-galactosidase 3",0,"Nonessential","SP_RS00335","SPT_0097","SPT_RS00495","SPD_0065","SPD_RS00345"
"SP_0061",17,2,57.4000000000004,0.0728227935316386,1129,"TIGR4",0.00261589445777414,372,371,FALSE,1.62659197295268,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIB",0,"Nonessential","SP_RS00340","SPT_0098","SPT_RS00500","SPD_0066","SPD_RS00350"
"SP_0062",18,2,57.4000000000004,0.0728227935316386,1254,"TIGR4",0.000152280237937873,372,371,FALSE,2.06300336422291,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManY","PTS system transporter subunit IIC",0,"Nonessential","SP_RS00345","SPT_0099","SPT_RS00505","SPD_0067","SPD_RS00355"
"SP_0063",19,2,57.4000000000004,0.0728227935316385,448,"TIGR4",0.000309444331722146,372,371,FALSE,2.36869642317799,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManZ","PTS system transporter subunit IID",0,"Nonessential","SP_RS00350","SPT_0100","SPT_RS00510","SPD_0068","SPD_RS00360"
"SP_0064",20,2,57.4000000000004,0.0728227935316386,1988,"TIGR4",0.00836027200624396,372,371,FALSE,1.4233149082242,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManX","PTS system transporter subunit IIA",0,"Nonessential","SP_RS00355","SPT_0101","SPT_RS00515","SPD_0069","SPD_RS00365"
"SP_0090",21,1,0,0.0708553627323106,928,"TIGR4",0.000989713696659489,372,371,FALSE,2.0290792277707,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"LplB","ABC transporter permease",0,"Nonessential","SP_RS00460","SPT_0122","SPT_RS00615","SPD_0088","SPD_RS00460"
"SP_0091",22,1,0,0.0708553627323106,1569,"TIGR4",0.000801036269430055,372,371,FALSE,1.44162134886062,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"UgpE","ABC transporter permease",0,"Nonessential","SP_RS00465","SPT_0123","SPT_RS00620","SPD_0089","SPD_RS00465"
"SP_0092",23,1,0,0.0708553627323106,2939,"TIGR4",0.00117266709428216,372,371,FALSE,1.18960044311796,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"UgpB","ABC transporter substrate-binding protein",0,"Nonessential","SP_RS00475","SPT_0124","SPT_RS00630","SPD_0090","SPD_RS00475"
"SP_0095",24,1,0,0.0103995791743156,1145,"TIGR4",0.00195247698738098,372,371,FALSE,1.15746974705186,"Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","",0,"Nonessential","SP_RS00480","SPT_0125","SPT_RS00635","SPD_0091","SPD_RS00480"
