Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Levo,var-2394-Levo,sd-2394-Levo,se-2394-Levo,gene,Total-2394-Levo,Blank-2394-Levo,Not Blank-2394-Levo,Blank Removed-2394-Levo,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
1391,SP_0023,1.027,0.006,0.074,0.013,radA,31,0,31,0,,SP_0023,0.918,0.003,0.054,0.01,radA,30,0,30,0,,0.109,59,6.517,0,**,"DNA repair protein RadA, authentic point mutation","DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,TRUE
992,SP_0037,0.713,0.018,0.133,0.027,,24,0,24,0,,SP_0037,0.477,0.042,0.204,0.042,,24,2,22,0,,0.236,46,4.75,0.00002,**,fatty acid/phospholipid synthesis protein PlsX,CELL WALL METABOLISM,PHENOTYPED,TRUE
326,SP_0100,1.022,0.004,0.062,0.012,,26,0,26,0,,SP_0100,0.903,0.002,0.047,0.009,,25,0,25,0,,0.119,49,7.793,0,**,conserved hypothetical protein,UNKNOWN,VIVO,TRUE
1394,SP_0374,0.799,0.013,0.114,0.015,,61,0,61,0,,SP_0374,0.685,0.02,0.141,0.018,,62,0,62,0,,0.114,121,4.923,0,**,hypothetical protein,UNKNOWN,CORE,TRUE
2366,SP_0401,0.987,0.003,0.059,0.008,,58,0,58,0,,SP_0401,0.886,0.021,0.145,0.019,,58,0,58,0,,0.101,114,4.902,0,**,putative helicase,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,TRUE
389,SP_0434,0.771,0.019,0.137,0.097,,2,0,2,0,,SP_0434,1.068,0.012,0.11,0.063,,3,0,3,0,,-0.297,3,2.562,0.08304,**,conserved hypothetical protein,TRANSCRIPTION AND TRANSLATION,LIKELYESSENTIAL,TRUE
845,SP_0457,0.849,0.007,0.082,0.02,uppP,17,0,17,0,,SP_0457,0.701,0.011,0.103,0.024,uppP,18,0,18,0,,0.147,33,4.688,0.00005,**,bacitracin resistance protein,CELL WALL METABOLISM,CORE,TRUE
527,SP_0500,0.968,0.003,0.053,0.013,,18,0,18,0,,SP_0500,1.262,0.016,0.128,0.027,,23,0,23,0,,-0.294,39,9.977,0,**,conserved domain protein,UNKNOWN,PHENOTYPED,TRUE
635,SP_0550,0.846,0.009,0.097,0.026,trmB,14,0,14,0,,SP_0550,0.415,0.078,0.279,0.075,trmB,14,5,9,0,,0.431,26,5.455,0.00001,**,trmB tRNA (guanine-N(7)-)-methyltransferase,TRANSCRIPTION AND TRANSLATION,NO-PHENOTYPE,TRUE
254,SP_0563,0.732,0.002,0.043,0.018,,6,0,6,0,,SP_0563,0.948,0.001,0.034,0.014,,6,0,6,0,,-0.216,10,9.697,0,**,hypothetical protein,UNKNOWN,NO-PHENOTYPE,TRUE
