Gene,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,SequenceDiameter,SequencePrevalence,Essential,ExpressionPlasticity,Location.Tag,Gene.Name,Gene.Description
SPT_0001,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.001152389,371,TRUE,0.391487739,Intracellular,dnaA,chromosomal replication initiator protein DnaA
SPT_0002,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.001040796,371,TRUE,0.343077682,Intracellular,dnaN,DNA polymerase III beta sliding clamp subunit
SPT_0003,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.008358329,371,FALSE,0.481591638,NA,,
SPT_0007,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.002425102,13,FALSE,0.944125293,NA,,
SPT_0038,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003677591,371,FALSE,0.709888231,Intracellular,ychF,GTP-dependent nucleic acid-binding protein EngD
SPT_0039,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.005749252,371,TRUE,0.821963031,Intracellular,pth,Peptidyl-tRNA hydrolase
SPT_0040,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.004992108,371,FALSE,0.873479713,Intracellular,mfd,Transcription-repair coupling factor
SPT_0041,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,371,FALSE,0.717892739,Intracellular,,
SPT_0042,CELLULAR PROCESSES,NA,NA,Cell division,NA,NA,1,0.001956434,371,TRUE,0.842149926,Membrane,FtsB,
SPT_0043,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.00556701,370,FALSE,0.697054735,NA,,
SPT_0044,METABOLISM,NA,NA,Antibiotic response/sensing,NA,NA,1,0.002070978,371,FALSE,0.88661007,Cell Wall,penP,
SPT_0045,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.00702076,371,TRUE,0.703574371,Intracellular,tilS, tRNA(Ile)-lysidine synthetase 
SPT_0046,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.003173061,371,FALSE,0.584365029,Intracellular,HptA,Hypoxanthine-guanine phosphoribosyltransferase
SPT_0047,CELLULAR PROCESSES,NA,NA,Cell division,NA,NA,1,0.002060333,371,FALSE,0.608836133,Cell Wall,FtsH,cell division protein FtsH
SPT_0048,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Transcription,Cellular community,NA,2,0.005639503,328,FALSE,1.35113691,Intracellular,comX1,transcriptional regulator ComX1
SPT_2002,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.005639503,328,FALSE,2.187255523,Intracellular,comX,Competence-specific sigma factor ComX
SPT_0058,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Transcription,Cellular community,NA,2,0.010521992,371,FALSE,1.386427755,Intracellular,comW,
SPT_0059,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.003299779,371,FALSE,0.796900288,Intracellular,purA,adenylosuccinate synthetase
SPT_0060,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004794061,370,FALSE,0.562735864,Intracellular,tadA,cytidine/deoxycytidylate deaminase
SPT_0061,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004174775,371,FALSE,0.541919463,Intracellular,dut,deoxyuridine 5'-triphosphate nucleotidohydrolase
SPT_0062,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.007339971,371,FALSE,0.707335759,Intracellular,,
SPT_0064,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.001438471,371,FALSE,0.945078064,Intracellular,,
SPT_0065,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.325749808,369,FALSE,1.260029064,NA,,
SPT_1140,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.235507739,371,FALSE,0.711661162,Intracellular,,Ribose-phosphate pyrophosphokinase 2 (RPPK 2) (EC 2.7.6.1)
SPT_0066,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.235507739,371,TRUE,1.00698165,Intracellular,prsA,ribose-phosphate pyrophosphokinase
SPT_0070,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.00480076,371,TRUE,0.294056296,Intracellular,polA,DNA polymerase I
SPT_0071,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.004217479,369,FALSE,1.651160448,Intracellular,,
SPT_0072,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.021193139,371,FALSE,0.502661459,Membrane,,
SPT_0073,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.004889852,371,FALSE,0.409044413,Intracellular,araT,aromatic amino acid aminotransferase
SPT_0074,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.006861809,371,FALSE,0.453330383,Intracellular,recO,DNA repair protein RecO
SPT_0075,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.007001738,371,FALSE,0.440213387,Intracellular,plsX,glycerol-3-phosphate acyltransferase PlsX
