Pos size,Gene,2394 - mean - Gluc,2394 - var - Gluc,2394 - sd - Gluc,2394 - se - Gluc,2394 - Total - Gluc,2394 - Blank - Gluc,2394 - Not Blank - Gluc,2394 - Blank Removed - Gluc,mean.2394.PennG,2394 - var - PennG,2394 - sd - PennG,2394 - se - PennG,2394 - Total - PennG,2394 - Blank - PennG,2394 - Not Blank - PennG,2394 - Blank Removed - PennG,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,gene,M,locus,Sig
188,SP_0441,0.89,0.02,0.13,0.07,3,0,3,0,1.14,0.03,0.18,0.11,3,0,3,0,-0.25,4,1.952,0.12269,*,ribosomal protein L28,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,rpmB,,SP_0441,TRUE
1439,SP_0479,1,0,0.07,0.01,66,0,66,0,1.13,0.01,0.07,0.01,68,0,68,0,-0.14,132,11.154,0,*,"potassium uptake protein, Trk family",TRANSPORT,PHENOTYPED,,,SP_0479,TRUE
1349,SP_0480,0.99,0,0.06,0.01,63,0,63,0,1.11,0.01,0.11,0.01,64,0,64,0,-0.12,125,7.741,0,*,"potassium uptake protein, Trk family",TRANSPORT,PHENOTYPED,trkA,,SP_0480,TRUE
266,SP_0192,0.95,0,0.07,0.02,8,0,8,0,1.16,0.01,0.1,0.03,10,0,10,0,-0.21,16,5.453,0.00005,**,conserved hypothetical protein,UNKNOWN,VIVO,,,SP_0192,TRUE
2213,SP_0588,0.95,0.01,0.08,0.01,49,0,49,0,1.14,0,0.07,0.01,51,0,51,0,-0.19,98,12.69,0,**,polyribonucleotide nucleotidyltransferase,NUCLEOTIDE METABOLSIM,PHENOTYPED,,,SP_0588,TRUE
1334,SP_0799,0.94,0.11,0.33,0.1,11,2,9,0,0.48,0.08,0.29,0.08,13,4,9,0,0.46,22,3.581,0.00167,**,sensor histidine kinase CiaH,REGULATOR,PHENOTYPED,,,SP_0799,TRUE
230,SP_0822,1.01,0.01,0.11,0.03,14,0,14,0,1.23,0.01,0.11,0.03,14,0,14,0,-0.22,26,5.124,0.00002,**,conserved hypothetical protein,UNKNOWN,VIVO,,,SP_0822,TRUE
1571,SP_1287,0.58,0.06,0.24,0.12,4,1,3,0,0,0,0,0,5,5,0,0,0.58,7,4.825,0.00191,**,signal recognition particle protein,TRANSPORT,LIKELYESSENTIAL,,,SP_1287,TRUE
332,SP_1288,0.83,0.07,0.27,0.1,7,2,5,0,0.37,0.14,0.37,0.13,8,4,4,0,0.45,13,2.725,0.01736,**,conserved hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_1288,TRUE
935,SP_1298,0.79,0.01,0.09,0.03,13,0,13,0,1,0.02,0.12,0.03,19,0,19,0,-0.21,30,5.466,0.00001,**,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,,,SP_1298,TRUE
