"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_2230",1,6100.53110444859,1.85583239300908,0.0677650229810994,27.3862873702072,3.99486465476088e-165,8.67684603014063e-162,2604.05971489798,2518.72679609259,2758.43219084521,9501.72585566859,9177.56837843926,10042.6736907479,"SPD_2057","SP_RS11385","SPT_RS11120","SPT_2248","SPD_RS10790","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter"
"2","SP_0034",2,8581.57533244016,1.75468808951253,0.0660449852689023,26.5680745081298,1.58801453331144e-155,1.72458378317623e-152,3776.26966174811,3903.05376364199,4043.05501107154,13370.0515081852,13862.9313682649,12534.0906817292,"SPD_0040","SP_RS00210","SPT_RS00365","SPT_0072","SPD_RS00210","membrane protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"3","SP_2240",3,2825.63018460774,1.942333679837,0.0790139632628565,24.582157376101,1.96035670667484e-133,1.41929825563258e-130,1128.79476363345,1242.15284655784,1110.20204937664,4860.42522887569,4401.30769392568,4210.89852527714,"SPD_2069","SP_RS11455","SPT_RS11185","SPT_2261","SPD_RS10860","spspoJ protein","UNKNOWN","Intracellular","CELLULAR PROCESSES","GENETIC INFORMATION PROCESSING",NA,"Cell division","Replication",NA,2,"","Chromosome segregation protein Spo0J "
"4","SP_2239",4,3823.64057121338,1.86609482653977,0.0790132033434334,23.6175062847247,2.54746938198261e-123,1.38327587441656e-120,1525.06472024836,1830.30473655451,1567.01835398299,5930.16738077591,5802.9914631482,6286.29677257028,"SPD_2068","SP_RS11450","SPT_RS11180","SPT_2260","SPD_RS10855","serine protease","PROTEIN TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"htrA","Serine protease"
"5","SP_2224",5,2733.3435132954,1.6534146552721,0.0744902336893324,22.1963950625769,3.72124201689124e-109,1.4740757004997e-106,1273.51204102235,1358.88528274039,1308.61721198344,4251.3623585196,3855.92152579784,4351.7626597088,"SPD_2051","SP_RS11355","SPT_RS11090","SPT_2242","SPD_RS10760","peptidase, M16 family","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
"6","SP_2227",6,2096.30175064997,1.73393016011205,0.0781319058749095,22.1923443527424,4.07203232182239e-109,1.4740757004997e-106,890.436894992903,999.708556024866,1007.76445379825,3374.86395018844,3152.49732031476,3152.53932858059,"SPD_2054","SP_RS11370","SPT_RS11105","SPT_2245","SPD_RS10775","DNA replication and repair protein RecF","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recF","Recombinational DNA repair ATPase RecF"
"7","SP_2228",7,7428.2264022029,1.59955480560744,0.0722287645079181,22.1456758468033,1.14826068171933e-108,3.56288885813483e-106,3692.41876867277,3712.98941242169,3602.85020845088,11156.3754099788,10273.5053564386,12131.2192572547,"SPD_2055","SP_RS11375","SPT_RS11110","SPT_2246","SPD_RS10780","inosine-5-monophosphate dehydrogenase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"guaB","inosine 5'-monophosphate dehydrogenase"
"8","SP_2206",8,1227.60395006979,1.72981800071255,0.0791278869092011,21.8610412621976,6.10359673011334e-106,1.65712651222577e-103,557.16151794728,580.669041523425,562.022483849023,1849.61868844684,1908.85158844747,1907.3003802047,"SPD_2033","SP_RS11265","SPT_RS11000","SPT_2224","SPD_RS10670","ribosomal subunit interface protein","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"raiA","Ribosome-associated translation inhibitor"
"9","SP_2231",9,2037.08277131513,1.83757669723894,0.0844313873142262,21.7641419345637,5.07508095373618e-105,1.22478620350166e-102,815.098782940444,963.790883353313,883.178188905608,3433.5272294862,3000.65685305189,3126.24469015334,"SPD_2058","SP_RS11390","SPT_RS11125","SPT_2249","SPD_RS10795","putative ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","H+-transporting ATP synthase subunit c"
"10","SP_0036",10,1780.5777489359,1.58987872746635,0.073683281565596,21.5771976177659,2.94165147548639e-103,6.38926700475643e-101,864.472912873129,881.479550147673,909.018303105563,2586.36046080393,2709.37105871088,2732.76420797423,"SPD_0042","SP_RS00220","SPT_RS00375","SPT_0074","SPD_RS00220","DNA repair protein","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recO","DNA repair protein RecO"
"11","SP_2225",11,2230.75369097088,1.52612368648025,0.0719772935730964,21.2028489919588,8.98869379660689e-100,1.77485844783911e-97,1153.48182859979,1104.46843465023,1172.03375121225,3367.96238791812,3171.09003059184,3415.48571285302,"SPD_2052","SP_RS11360","SPT_RS11095","SPT_2243","SPD_RS10765","conserved hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
"12","SP_0004",12,3650.59449526688,1.54836409513527,0.073352370077571,21.1085762259332,6.6341227627971e-99,1.20077622006627e-96,1851.95551152683,1725.54485792915,1972.15443018943,5360.78849347418,5252.44065327672,5740.68302520498,"SPD_0004","SP_RS00020","SPT_RS00200","SPT_0038","SPD_RS00020","GTP-dependent nucleic acid-binding protein","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"ychF","GTP-dependent nucleic acid-binding protein EngD"
"13","SP_0287",13,5709.92353887457,-1.82764246457185,0.0918712439098683,-19.8935203964897,4.63073133022814e-88,7.73688342250424e-86,9236.36740982122,8145.82884796908,9409.49301366936,2593.26202307425,2116.47018654159,2758.11975217193,"SPD_0267","SP_RS01410","SPT_RS01685","SPT_0333","SPD_RS01430","xanthine/uracil permease family protein","VARIOUS METABOLISM AND BIOSYNTHESIS","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","xanthine/uracil permease"
"14","SP_2221",14,1577.38547597928,1.52341255495224,0.0768645318089134,19.8194475280156,2.02317522622097e-87,3.13881185096568e-85,814.247504838157,824.609901751049,792.737789205765,2355.15812474807,2232.15816159901,2445.40137373364,"SPD_2048","SP_RS11340","SPT_RS11075","SPT_2239","SPD_RS10745","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"cbiO1","cobalt transporter ATP-binding subunit"
"15","SP_0027",15,3713.36430844225,1.43082782961385,0.073949732879293,19.3486544697784,2.09233369938987e-83,3.02969919671654e-81,2040.51361118355,1948.5337424317,2011.83746271079,5219.30646693254,5151.21367510147,5908.78089229343,"SPD_0033","SP_RS00175","SPT_RS00335","SPT_0066","SPD_RS00180","ribose-phosphate pyrophosphokinase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"prsA","ribose-phosphate pyrophosphokinase"
