Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Levo,var-19F-Levo,sd-19F-Levo,se-19F-Levo,Total-19F-Levo,Blank-19F-Levo,Not Blank-19F-Levo,Blank Removed-19F-Levo,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
717,SPT_0654,0.845,0.009,0.094,0.01,,86,1,85,0,,SPT_0654,0.731,0.014,0.12,0.019,42,1,41,0,0.114,126,5.364,0,***,D-alanyl-D-alanine carboxypeptidase,TRUE
1275,SPT_1015,1.021,0.006,0.079,0.008,,92,0,92,0,,SPT_1015,0.914,0.006,0.079,0.012,47,0,47,0,0.107,137,7.517,0,***,hypothetical protein,TRUE
1341,SPT_1019,0.98,0.023,0.151,0.021,xseA,51,2,49,0,,SPT_1019,0.752,0.051,0.227,0.044,27,4,23,0,0.228,76,4.708,0.00001,***,"exodeoxyribonuclease VII, large subunit",TRUE
2451,SPT_1397,1.057,0.006,0.074,0.006,,146,0,146,0,,SPT_1397,0.923,0.007,0.083,0.009,81,0,81,0,0.133,225,12.01,0,***,"DnaQ family exonuclease/DinG family helicase, putative",TRUE
2223,SPT_0637,0.945,0.013,0.112,0.022,recJ,26,0,26,0,,SPT_0637,0.704,0.013,0.113,0.038,9,0,9,0,0.241,33,5.499,0,****,single-stranded-DNA-specific exonuclease RecJ,TRUE
936,SPT_0928,0.974,0.004,0.064,0.01,,39,0,39,0,,SPT_0928,0.761,0.006,0.079,0.019,17,0,17,0,0.213,54,9.773,0,****,DHH subfamily 1 protein,TRUE
1974,SPT_2223,0.767,0.014,0.119,0.01,,151,1,150,0,,SPT_2223,0.599,0.05,0.224,0.026,72,7,65,0,0.168,221,5.98,0,****,DHH subfamily 1 protein,TRUE
1362,SPT_0001,,,,,dnaA,,,,,,SPT_0001,,,,,,,,,,,,,,chromosomal replication initiation protein,FALSE
1137,SPT_0002,,,,,dnaN,,,,,,SPT_0002,,,,,,,,,,,,,,DNA polymerase III subunit beta,FALSE
195,SPT_0003,0.953,0.006,0.079,0.035,,5,0,5,0,,SPT_0003,0.982,0.003,0.05,0.036,2,0,2,0,-0.029,5,0.573,0.59161,,hypothetical protein,FALSE
420,SPT_0004,0.992,0.005,0.071,0.007,,98,0,98,0,,SPT_0004,0.98,0.004,0.062,0.009,52,0,52,0,0.012,148,1.064,0.28886,,phage protein,FALSE
192,SPT_0005,1.015,0.002,0.041,0.012,,11,0,11,0,,SPT_0005,0.963,0.007,0.081,0.031,7,0,7,0,0.052,16,1.584,0.13271,,hypothetical protein,FALSE
252,SPT_0006,0.988,0.008,0.09,0.011,,64,0,64,0,,SPT_0006,1.009,0.011,0.106,0.018,35,0,35,0,-0.021,97,1.001,0.31909,,hypothetical protein,FALSE
342,SPT_0007,1.027,0.006,0.076,0.009,,76,0,76,0,,SPT_0007,1.029,0.009,0.092,0.015,39,0,39,0,-0.002,113,0.134,0.89331,,phage replication protein,FALSE
126,SPT_0008,1.006,0.006,0.075,0.015,,25,0,25,0,,SPT_0008,1.007,0.007,0.086,0.021,16,0,16,0,-0.001,39,0.025,0.98036,,hypothetical protein,FALSE
525,SPT_0009,1.005,0.006,0.076,0.01,,59,0,59,0,,SPT_0009,1.005,0.01,0.101,0.019,29,0,29,0,-0.001,86,0.029,0.97673,,phage protein,FALSE
198,SPT_0010,0.997,0.003,0.057,0.011,,29,0,29,0,,SPT_0010,0.997,0.005,0.07,0.017,18,0,18,0,0.001,45,0.026,0.97904,,hypothetical protein,FALSE
1566,SPT_0011,0.994,0.007,0.082,0.004,,414,1,413,0,,SPT_0011,0.99,0.006,0.078,0.005,217,0,217,0,0.004,629,0.543,0.58746,,"prophage Sa05, DNA primase, P4 family",FALSE
861,SPT_0012,0.993,0.004,0.065,0.008,,60,0,60,0,,SPT_0012,0.978,0.008,0.088,0.015,33,0,33,0,0.015,91,0.879,0.38191,,phage protein,FALSE
