Gene,mean.Gluc,var.Gluc,sd.Gluc,se.Gluc,gene,Ins1,Blank.Gluc,Not.Blank.Gluc,Blank.Removed.Gluc,M,locus,mean.PennG,var.PennG,sd.PennG,se.PennG,gene.1,Is2,Blank.PennG,Not.Blank.PennG,Blank.Removed.PennG,M.1,Value,Df,TDIST,p.value,locus.19F,Common.Name,Sig
SPT_0412,0.963300592,0.006542873,0.080888028,0.003965862,,416,0,416,0,,SPT_0412,0.77171297,0.016768081,0.129491624,0.006507199,,396,4,392,0,,0.192,810,25.141,0,SPT_0412,penicillin-binding protein 1a,TRUE
SPT_0247,0.811882488,0.008650239,0.093006662,0.005257047,,313,0,313,0,,SPT_0247,0.86556914,0.010777927,0.103816796,0.005776521,,323,1,322,0,,-0.054,634,6.874,0,SPT_0247,cardiolipin synthetase,FALSE
SPT_2256,0.904412347,0.007831958,0.088498348,0.00510096,,301,1,300,0,,SPT_2256,0.956552925,0.010353277,0.101751055,0.00589428,,298,0,298,0,,-0.052,597,6.689,0,SPT_2256,histidine protein kinase,FALSE
SPT_2052,1.018648125,0.006581021,0.081123495,0.00490085,,274,0,274,0,,SPT_2052,0.984910694,0.006978208,0.083535668,0.00509326,,269,0,269,0,,0.034,541,4.773,0,SPT_2052,acyltransferase,FALSE
SPT_0674,0.842228447,0.012311174,0.110955732,0.013869466,,64,0,64,0,,SPT_0674,0.921097489,0.01051746,0.102554668,0.012819333,,64,0,64,0,,-0.079,126,4.176,0.00005,SPT_0674,integral membrane protein,FALSE
SPT_0141,0.96547338,0.005399354,0.073480295,0.00766085,,92,0,92,0,,SPT_0141,0.9267926,0.007037806,0.08389163,0.008794232,,91,0,91,0,,0.039,181,3.317,0.0011,SPT_0141,LysM domain-containing protein,FALSE
SPT_1793,0.966095068,0.00681028,0.082524419,0.0094662,scpA,76,0,76,0,,SPT_1793,0.920503359,0.00772762,0.087906883,0.010083611,scpA,76,0,76,0,,0.046,150,3.296,0.00122,SPT_1793,ScpA/B protein,FALSE
SPT_2255,0.916352366,0.007330829,0.085620262,0.008277223,,107,0,107,0,,SPT_2255,0.960194674,0.012067831,0.10985368,0.010619956,,107,1,106,0,,-0.044,212,3.256,0.00131,SPT_2255,response regulator ComE,FALSE
SPT_0413,0.949618223,0.004578456,0.067664292,0.027623831,recU,6,0,6,0,,SPT_0413,0.77811526,0.004570705,0.06760699,0.027600438,recU,6,0,6,0,,0.172,10,4.392,0.00135,SPT_0413,Holliday junction-specific endonuclease,TRUE
SPT_0060,0.942274009,0.004215196,0.06492454,0.009091254,,51,0,51,0,,SPT_0060,0.890865178,0.008776442,0.093682665,0.013383238,,49,0,49,0,,0.051,98,3.177,0.00199,SPT_0060,tRNA-specific adenosine deaminase,FALSE
SPT_1004,0.933100816,0.007430277,0.086199053,0.025989992,,11,0,11,0,,SPT_1004,1.036034716,0.002123913,0.046085927,0.013303861,,12,0,12,0,,-0.103,21,3.525,0.00201,SPT_1004,hypothetical protein,TRUE
SPT_0751,1.023328072,0.005606875,0.074879069,0.010189751,,54,0,54,0,,SPT_0751,1.068888268,0.005929007,0.077000048,0.010382684,,55,0,55,0,,-0.046,107,3.132,0.00224,SPT_0751,6-phospho-beta-glucosidase AscB,FALSE
SPT_2035,0.89565265,0.009329761,0.096590688,0.009611133,,101,0,101,0,,SPT_2035,0.854231874,0.010505639,0.102497018,0.010353762,,98,0,98,0,,0.041,197,2.932,0.00377,SPT_2035,"jag protein, putative",FALSE
SPT_0641,0.82266065,0.027755131,0.166598712,0.021507801,,60,2,58,0,,SPT_0641,0.730758842,0.029104207,0.170599551,0.023215658,,54,2,52,0,,0.092,112,2.904,0.00444,SPT_0641,beta-lactam resistance factor,FALSE
SPT_1486,1.020803424,0.006902889,0.083083629,0.002816799,,870,0,870,0,,SPT_1486,1.032574409,0.00898743,0.094802054,0.003245961,,853,0,853,0,,-0.012,1721,2.739,0.00623,SPT_1486,G5 domain family,FALSE
SPT_0478,0.910527968,0.014985736,0.12241624,0.03060406,rpmB,16,0,16,0,,SPT_0478,1.015294166,0.006763962,0.082243309,0.020560827,rpmB,16,0,16,0,,-0.105,30,2.842,0.008,SPT_0478,50S ribosomal protein L28,TRUE
SPT_1504,0.9670509,0.007288835,0.085374676,0.009666778,,78,0,78,0,,SPT_1504,0.932610534,0.005777834,0.076012065,0.008896539,,73,0,73,0,,0.034,149,2.622,0.00966,SPT_1504,hypothetical protein,FALSE
SPT_0044,0.846786237,0.006530094,0.080808995,0.007704835,,110,0,110,0,,SPT_0044,0.812342843,0.012358612,0.111169293,0.010849012,,105,0,105,0,,0.034,213,2.588,0.0103,SPT_0044,beta-lactamase class A,FALSE
SPT_0654,0.804551808,0.010460779,0.102277949,0.010781042,,90,1,89,0,,SPT_0654,0.843074369,0.009631281,0.09813909,0.010402723,,89,0,89,0,,-0.039,177,2.571,0.01095,SPT_0654,D-alanyl-D-alanine carboxypeptidase,FALSE
SPT_1240,0.903247137,0.00708335,0.084162639,0.009718264,,75,0,75,0,,SPT_1240,0.938978874,0.007836749,0.088525415,0.010154562,,76,0,76,0,,-0.036,149,2.542,0.01204,SPT_1240,dihydroorotate dehydrogenase electron transfer subunit,FALSE
SPT_1083,1.010049953,0.00718187,0.084745913,0.005739717,,218,0,218,0,,SPT_1083,1.029617241,0.006057881,0.077832389,0.005295823,,216,0,216,0,,-0.02,432,2.506,0.01259,SPT_1083,"iron-compound ABC transporter, permease protein",FALSE
SPT_1016,1.00314846,0.007063295,0.08404341,0.008762131,truB,92,0,92,0,,SPT_1016,1.034027474,0.006978852,0.083539524,0.008570974,truB,95,0,95,0,,-0.031,185,2.519,0.01261,SPT_1016,tRNA pseudouridine synthase B,FALSE
SPT_1333,0.957180754,3.06E-05,0.0055323,0.003911927,sufD,2,0,2,0,,SPT_1333,1.061970159,0.000271932,0.01649036,0.011660445,sufD,2,0,2,0,,-0.105,2,8.52,0.0135,SPT_1333,FeS assembly protein SufD,FALSE
SPT_0818,0.97429753,0.008644726,0.092977018,0.010144624,,84,0,84,0,,SPT_0818,1.010547249,0.009231855,0.096082545,0.010610542,,82,0,82,0,,-0.036,164,2.469,0.01456,SPT_0818,"RNA methyltransferase, TrmH family, group 3",FALSE
SPT_1822,0.998710225,0.005586298,0.074741539,0.007511807,,99,0,99,0,,SPT_1822,0.968438384,0.009268617,0.096273659,0.009775109,,97,0,97,0,,0.03,194,2.456,0.01495,SPT_1822,msm operon regulatory protein,FALSE
SPT_1329,0.688104025,0.032409142,0.180025393,0.019526495,,85,4,81,0,,SPT_1329,0.758336089,0.034948718,0.186945762,0.021167439,,78,4,74,0,,-0.07,161,2.439,0.01582,SPT_1329,penicillin-binding protein 3,FALSE
SPT_0380,1.004148547,0.006030444,0.077655933,0.012278481,,40,0,40,0,,SPT_0380,1.043662282,0.004266726,0.065320179,0.0104596,,39,0,39,0,,-0.04,77,2.45,0.01657,SPT_0380,hypothetical protein,FALSE
SPT_1506,1.008208501,0.007483245,0.086505752,0.009018848,,92,0,92,0,,SPT_1506,0.9752278,0.009716205,0.098570812,0.010276718,,92,0,92,0,,0.033,182,2.412,0.01685,SPT_1506,P-loop ATPase protein family,FALSE
SPT_0396,1.039016214,0.010689321,0.103389173,0.010338917,,100,0,100,0,,SPT_0396,0.999774548,0.015923587,0.126188695,0.012946687,,95,1,94,0,,0.039,193,2.368,0.01885,SPT_0396,galactosyl transferase CpsE,FALSE
SPT_0700,1.000138948,0.005767021,0.075940902,0.007917386,,92,0,92,0,,SPT_0700,1.029622028,0.008865686,0.09415777,0.009660383,,95,0,95,0,,-0.029,185,2.36,0.01929,SPT_0700,"transcriptional regulator, putative",FALSE
SPT_2106,1.006666419,0.006743199,0.082116986,0.00967758,,72,0,72,0,,SPT_2106,0.975747753,0.005700222,0.075499812,0.008960179,,71,0,71,0,,0.031,141,2.344,0.02046,SPT_2106,galactoside O-acetyltransferase,FALSE
SPT_2022,1.00528034,0.006951655,0.083376588,0.010422073,,64,0,64,0,,SPT_2022,0.969871726,0.008037988,0.089654825,0.011120312,,65,0,65,0,,0.035,127,2.323,0.02175,SPT_2022,morn motif family protein,FALSE
SPT_1260,0.870571528,0.002052892,0.045308846,0.020262732,pyrH,5,0,5,0,,SPT_1260,0.992099804,0.007112142,0.084333518,0.037715096,pyrH,5,0,5,0,,-0.122,8,2.839,0.02186,SPT_1260,UMP kinase,TRUE
SPT_0786,0.981218184,0.00306535,0.055365601,0.013428131,,17,0,17,0,,SPT_0786,1.023658799,0.00202716,0.045023995,0.011625146,,15,0,15,0,,-0.042,30,2.39,0.02336,SPT_0786,hypothetical protein,FALSE
SPT_0587,0.946471016,0.010333734,0.101654973,0.032146125,rbfA,10,0,10,0,,SPT_0587,0.840911713,0.005925534,0.076977489,0.027215652,rbfA,8,0,8,0,,0.106,16,2.506,0.02338,SPT_0587,ribosome-binding factor A,TRUE
SPT_0534,1.009088969,0.00612443,0.078258738,0.005062137,,239,0,239,0,,SPT_0534,1.026471822,0.008107257,0.090040309,0.005800006,,241,0,241,0,,-0.017,478,2.258,0.0244,SPT_0534,sodium-dependent phosphate transporter,FALSE
SPT_0102,0.993533972,0.006269524,0.079180324,0.005869236,,182,0,182,0,,SPT_0102,1.0144535,0.009262919,0.096244061,0.007173609,,180,0,180,0,,-0.021,360,2.257,0.02461,SPT_0102,sugar isomerase domain-containing protein,FALSE
SPT_1702,1.004596008,0.003608545,0.060071165,0.008411646,,51,0,51,0,,SPT_1702,0.973411552,0.00570814,0.075552235,0.010793176,,49,0,49,0,,0.031,98,2.279,0.02484,SPT_1702,hypothetical protein,FALSE
SPT_2101,0.573699581,0.03014255,0.173616101,0.017190556,gpsA,102,7,95,0,,SPT_2101,0.512241722,0.045961787,0.214387003,0.021227476,gpsA,102,14,88,0,,0.061,202,2.25,0.02553,SPT_2101,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,FALSE
SPT_1417,0.548907244,0.042794713,0.206868831,0.032307483,,41,3,38,0,,SPT_1417,0.428870119,0.071315484,0.267049591,0.041706139,,41,8,33,0,,0.12,80,2.275,0.02556,SPT_1417,biotin synthase,TRUE
SPT_2243,0.924607578,0.018968939,0.13772777,0.013072541,,111,1,110,0,,SPT_2243,0.881178947,0.022536414,0.150121331,0.014581073,,106,2,104,0,,0.043,215,2.218,0.02763,SPT_2243,"peptidase, M16 family",FALSE
SPT_1191,0.97709784,0.008572966,0.092590312,0.007122332,,169,0,169,0,,SPT_1191,1.000144833,0.010166841,0.100830756,0.00766602,,173,0,173,0,,-0.023,340,2.203,0.0283,SPT_1191,mate efflux family protein,FALSE
SPT_0699,0.981866003,0.00733601,0.085650514,0.013216161,,42,0,42,0,,SPT_0699,1.025707993,0.008931014,0.094504042,0.01458229,,42,0,42,0,,-0.044,82,2.228,0.02864,SPT_0699,short chain dehydrogenase/reductase family oxidoreductase,FALSE
SPT_2083,1.005471666,0.004474464,0.066891433,0.007432381,,81,0,81,0,,SPT_2083,1.031894082,0.007004265,0.08369149,0.009476195,,78,0,78,0,,-0.026,157,2.194,0.02971,SPT_2083,"glutamine amidotransferase, class-I",FALSE
SPT_2026,0.991608219,0.007719321,0.087859667,0.006459571,,185,0,185,0,,SPT_2026,0.970937308,0.008987556,0.094802723,0.006970035,,185,0,185,0,,0.021,368,2.175,0.03025,SPT_2026,probable L-ascorbate-6-phosphate lactonase UlaG (L-ascorbate utilization protein G),FALSE
SPT_1121,0.975844428,0.003506384,0.059214728,0.019738243,,9,0,9,0,,SPT_1121,1.041671223,0.003506008,0.059211556,0.019737185,,9,0,9,0,,-0.066,16,2.358,0.03142,SPT_1121,hypothetical protein,FALSE
SPT_1051,0.862871464,0.000285315,0.016891281,0.011943939,,2,0,2,0,,SPT_1051,0.968751383,0.000489012,0.022113607,0.015636681,,2,0,2,0,,-0.106,2,5.381,0.03284,SPT_1051,pseudo,FALSE
SPT_2155,1.002561951,0.00732681,0.085596785,0.007656009,,125,0,125,0,,SPT_2155,0.978518035,0.008270197,0.090940623,0.008233377,,122,0,122,0,,0.024,245,2.139,0.03346,SPT_2155,ROK family protein,FALSE
SPT_0237,0.98753266,0.007643268,0.087425787,0.009427365,,86,0,86,0,,SPT_0237,1.016839392,0.008881057,0.09423936,0.01010352,,87,0,87,0,,-0.029,171,2.121,0.03538,SPT_0237,phage protein,FALSE
SPT_2242,0.944097233,0.010448779,0.102219271,0.011153037,,84,0,84,0,,SPT_2242,0.908217228,0.012904928,0.113599859,0.012780983,,79,0,79,0,,0.036,161,2.115,0.03595,SPT_2242,"peptidase, M16 family",FALSE
SPT_0761,0.135049876,0.026803816,0.163718711,0.094523042,clpP,3,2,1,0,,SPT_0761,0.497402669,0.01484458,0.121838336,0.070343396,clpP,3,0,3,0,,-0.362,4,3.075,0.0371,SPT_0761,Clp protease,FALSE
