Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Kan,var-2394-Kan,sd-2394-Kan,se-2394-Kan,gene,Total-2394-Kan,Blank-2394-Kan,Not Blank-2394-Kan,Blank Removed-2394-Kan,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
371,SP_0412,1.009,0,0.002,0.001,,2,0,2,0,,SP_0412,0.484,0.025,0.157,0.111,,2,0,2,0,,0.524,2,4.729,0.04192,**,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,TRUE
350,SP_0557,0.475,0.076,0.275,0.138,rbfA,4,1,3,0,,SP_0557,0,0,0,0,rbfA,4,4,0,0,,0.475,6,3.454,0.01357,**,ribosome-binding factor A,TRANSCRIPTION AND TRANSLATION,CORE,TRUE
869,SP_0938,1.035,0.014,0.117,0.068,,3,0,3,0,,SP_0938,0.571,0.012,0.111,0.078,,2,0,2,0,,0.464,3,4.486,0.02066,**,tetrapyrrole methylase family protein,UNKNOWN,VIVO,TRUE
332,SP_1288,0.89,0.007,0.085,0.035,,6,0,6,0,,SP_1288,0.557,0.07,0.265,0.108,,6,0,6,0,,0.334,10,2.936,0.0149,**,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
935,SP_1298,0.728,0.063,0.251,0.059,,18,1,17,0,,SP_1298,0.396,0.057,0.239,0.056,,18,6,12,0,,0.333,34,4.067,0.00027,**,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,TRUE
248,SP_1882,0.966,0.002,0.042,0.029,,2,0,2,0,,SP_1882,0.227,0.001,0.031,0.022,,2,0,2,0,,0.739,2,20.175,0.00245,**,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1625,SP_1883,0.779,0.023,0.151,0.025,,37,1,36,0,,SP_1883,0.947,0.02,0.141,0.023,,39,0,39,0,,-0.168,74,5.012,0,**,putative dextran glucosidase DexS,CARBOHYDRATE METABOLISM,CORE,TRUE
926,SP_1887,0.872,0.003,0.055,0.01,,32,0,32,0,,SP_1887,1.029,0.01,0.099,0.017,,33,0,33,0,,-0.157,63,7.957,0,**,"oligopeptide ABC transporter, ATP-binding protein AmiF",TRANSPORT,PHENOTYPED,TRUE
1067,SP_1888,0.869,0.005,0.071,0.01,,49,0,49,0,,SP_1888,1.079,0.019,0.137,0.019,,51,0,51,0,,-0.211,98,9.718,0,**,"oligopeptide ABC transporter, ATP-binding protein AmiE",TRANSPORT,PHENOTYPED,TRUE
926,SP_1889,0.893,0.004,0.062,0.01,,43,0,43,0,,SP_1889,1.057,0.006,0.077,0.012,,43,0,43,0,,-0.165,84,10.87,0,**,"oligopeptide ABC transporter, permease protein AmiD",TRANSPORT,PHENOTYPED,TRUE
1496,SP_1890,0.88,0.004,0.066,0.008,,70,0,70,0,,SP_1890,1.051,0.009,0.096,0.011,,75,0,75,0,,-0.172,143,12.556,0,**,"oligopeptide ABC transporter, permease protein AmiC",TRANSPORT,PHENOTYPED,TRUE
1979,SP_1891,0.908,0.006,0.081,0.006,,184,0,184,0,,SP_1891,1.061,0.009,0.094,0.007,,187,0,187,0,,-0.153,369,16.839,0,**,"oligopeptide ABC transporter, oligopeptide-binding protein AmiA",TRANSPORT,PHENOTYPED,TRUE
836,SP_1895,1.013,0.005,0.067,0.01,,42,0,42,0,,SP_1895,1.173,0.004,0.06,0.009,,42,0,42,0,,-0.16,82,11.46,0,**,"sugar ABC transporter, permease protein",TRANSPORT,PHENOTYPED,TRUE
