Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Kan,var-19F-Kan,sd-19F-Kan,se-19F-Kan,Total-19F-Kan,Blank-19F-Kan,Not Blank-19F-Kan,Blank Removed-19F-Kan,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
1137,SPT_0552,0.395,0.075,0.275,0.063,dnaJ,19,7,12,0,,SPT_0552,0.049,0.014,0.117,0.034,12,11,1,0,0.346,29,4.841,0.00004,**,chaperone protein DnaJ,TRUE
993,SPT_0075,0.825,0.009,0.097,0.012,plsX,70,0,70,0,,SPT_0075,0.544,0.1,0.316,0.039,64,16,48,0,0.281,132,6.846,0,***,fatty acid/phospholipid synthesis protein PlsX,TRUE
1533,SPT_0247,0.859,0.007,0.084,0.005,,328,0,328,0,,SPT_0247,0.64,0.045,0.212,0.012,295,34,261,0,0.219,621,16.635,0,***,cardiolipin synthetase,TRUE
633,SPT_0432,0.972,0.019,0.137,0.022,,39,1,38,0,,SPT_0432,0.812,0.022,0.147,0.025,34,2,32,0,0.16,71,4.772,0.00001,***,DNA-binding response regulator,TRUE
1305,SPT_0872,1.013,0.004,0.065,0.007,,91,0,91,0,,SPT_0872,0.788,0.021,0.146,0.017,75,3,72,0,0.225,164,12.338,0,***,NOL1/NOP2/sun family protein,TRUE
1080,SPT_0951,0.848,0.008,0.09,0.01,carA,86,0,86,0,,SPT_0951,0.683,0.072,0.268,0.032,70,9,61,0,0.165,154,4.92,0,***,"carbamoyl-phosphate synthase, small subunit",TRUE
3177,SPT_0952,0.832,0.009,0.093,0.007,carB,186,0,186,0,,SPT_0952,0.675,0.054,0.232,0.019,142,18,124,0,0.157,326,7.605,0,***,"carbamoyl-phosphate synthase, large subunit",TRUE
1269,SPT_1192,0.864,0.015,0.12,0.014,pyrC,75,1,74,0,,SPT_1192,0.69,0.043,0.207,0.027,57,5,52,0,0.174,130,5.666,0,***,dihydroorotase (DHOase),TRUE
879,SPT_1262,1.004,0.009,0.093,0.015,,36,0,36,0,,SPT_1262,0.851,0.011,0.107,0.019,33,0,33,0,0.152,67,6.299,0,***,tetrapyrrole methylase family protein,TRUE
1242,SPT_1329,0.756,0.023,0.152,0.017,,78,3,75,0,,SPT_1329,0.577,0.096,0.31,0.039,64,16,48,0,0.178,140,4.206,0.00005,***,penicillin-binding protein 3,TRUE
651,SPT_1577,0.867,0.007,0.083,0.012,,49,0,49,0,,SPT_1577,0.621,0.068,0.26,0.04,42,8,34,0,0.246,89,5.882,0,***,iron-dependent transcriptional regulator,TRUE
861,SPT_1822,0.998,0.006,0.078,0.008,,101,0,101,0,,SPT_1822,0.819,0.079,0.282,0.031,85,9,76,0,0.18,184,5.7,0,***,msm operon regulatory protein,TRUE
1017,SPT_2101,0.671,0.018,0.134,0.013,gpsA,101,4,97,0,,SPT_2101,0.353,0.105,0.324,0.035,87,43,44,0,0.319,186,8.57,0,***,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,TRUE
1974,SPT_2223,0.767,0.014,0.119,0.01,,151,1,150,0,,SPT_2223,0.461,0.096,0.31,0.029,112,46,66,0,0.306,261,9.912,0,***,DHH subfamily 1 protein,TRUE
1959,SPT_0047,0.923,0.01,0.1,0.016,,38,0,38,0,,SPT_0047,0.117,0.04,0.2,0.047,18,15,3,0,0.806,54,16.205,0,****,putative Cell division protease FtsH homolog,TRUE
789,SPT_0862,0.912,0.006,0.079,0.007,lgt,124,0,124,0,,SPT_0862,0.326,0.069,0.262,0.025,108,49,59,0,0.586,230,22.401,0,****,prolipoprotein diacylglyceryl transferase,TRUE
462,SPT_1271,0.971,0.005,0.069,0.009,lspA,60,0,60,0,,SPT_1271,0.559,0.081,0.284,0.04,51,11,40,0,0.412,109,10.114,0,****,signal peptidase II,TRUE
1335,SPT_1400,0.849,0.034,0.185,0.022,,68,2,66,0,,SPT_1400,0.505,0.097,0.312,0.046,45,15,30,0,0.343,111,6.653,0,****,sensor histidine kinase CiaH,TRUE
675,SPT_1401,0.857,0.014,0.116,0.022,,27,0,27,0,,SPT_1401,0.389,0.129,0.359,0.082,19,9,10,0,0.468,44,5.477,0,****,transcriptional regulatory protein CiaR,TRUE
249,SPT_1799,0.958,0.006,0.078,0.016,,23,0,23,0,,SPT_1799,0.283,0.121,0.348,0.082,18,9,9,0,0.675,39,8.07,0,****,hypothetical protein,TRUE
1572,SPT_0940,1.059,0.016,0.126,0.038,ffh,11,0,11,0,,SPT_0940,0,0,0,0,1,1,0,0,1.059,10,27.935,0,Lethal??,signal recognition particle protein,TRUE
1362,SPT_0001,,,,,dnaA,,,,,,SPT_0001,,,,,,,,,,,,,,chromosomal replication initiation protein,FALSE
1137,SPT_0002,,,,,dnaN,,,,,,SPT_0002,,,,,,,,,,,,,,DNA polymerase III subunit beta,FALSE
195,SPT_0003,0.953,0.006,0.079,0.035,,5,0,5,0,,SPT_0003,0.914,0.002,0.05,0.022,5,0,5,0,0.04,8,0.953,0.3685,,hypothetical protein,FALSE
420,SPT_0004,0.992,0.005,0.071,0.007,,98,0,98,0,,SPT_0004,0.981,0.007,0.082,0.008,94,0,94,0,0.011,190,1.015,0.31126,,phage protein,FALSE
192,SPT_0005,1.015,0.002,0.041,0.012,,11,0,11,0,,SPT_0005,0.979,0.004,0.062,0.02,10,0,10,0,0.036,19,1.556,0.13617,,hypothetical protein,FALSE
252,SPT_0006,0.988,0.008,0.09,0.011,,64,0,64,0,,SPT_0006,1.008,0.009,0.095,0.012,58,0,58,0,-0.02,120,1.209,0.22922,,hypothetical protein,FALSE
342,SPT_0007,1.027,0.006,0.076,0.009,,76,0,76,0,,SPT_0007,1.033,0.005,0.068,0.008,72,0,72,0,-0.006,146,0.514,0.60838,,phage replication protein,FALSE
126,SPT_0008,1.006,0.006,0.075,0.015,,25,0,25,0,,SPT_0008,1.033,0.01,0.098,0.022,20,0,20,0,-0.027,43,1.007,0.3195,,hypothetical protein,FALSE
525,SPT_0009,1.005,0.006,0.076,0.01,,59,0,59,0,,SPT_0009,1.012,0.012,0.11,0.015,56,0,56,0,-0.007,113,0.421,0.67437,,phage protein,FALSE
198,SPT_0010,0.997,0.003,0.057,0.011,,29,0,29,0,,SPT_0010,1.016,0.007,0.086,0.016,29,0,29,0,-0.018,56,0.957,0.34266,,hypothetical protein,FALSE
1566,SPT_0011,0.994,0.007,0.082,0.004,,414,1,413,0,,SPT_0011,1.009,0.007,0.083,0.004,410,0,410,0,-0.015,822,2.614,0.00911,,"prophage Sa05, DNA primase, P4 family",FALSE
861,SPT_0012,0.993,0.004,0.065,0.008,,60,0,60,0,,SPT_0012,0.975,0.008,0.092,0.012,56,0,56,0,0.018,114,1.193,0.23532,,phage protein,FALSE
273,SPT_0013,0.989,0.007,0.085,0.017,,26,0,26,0,,SPT_0013,0.974,0.01,0.1,0.021,23,0,23,0,0.015,47,0.566,0.57434,,phage protein,FALSE
342,SPT_0014,1.014,0.004,0.062,0.011,,33,0,33,0,,SPT_0014,1.021,0.007,0.082,0.015,29,0,29,0,-0.007,60,0.368,0.7141,,phage protein,FALSE
177,SPT_0015,1.024,0.004,0.064,0.015,,19,0,19,0,,SPT_0015,1.016,0.013,0.114,0.029,16,0,16,0,0.009,33,0.264,0.79317,,hypothetical protein,FALSE
216,SPT_0016,1.041,0.012,0.107,0.028,,15,0,15,0,,SPT_0016,1.039,0.009,0.096,0.025,15,0,15,0,0.002,28,0.042,0.96674,,hypothetical protein,FALSE
267,SPT_0017,0.973,0.005,0.069,0.013,,28,0,28,0,,SPT_0017,1,0.011,0.105,0.02,29,0,29,0,-0.027,55,1.14,0.25909,,hypothetical protein,FALSE
141,SPT_0018,1.015,0.005,0.069,0.022,,10,0,10,0,,SPT_0018,0.975,0.002,0.045,0.014,10,0,10,0,0.041,18,1.56,0.13607,,hypothetical protein,FALSE
501,SPT_0019,0.991,0.005,0.07,0.009,,65,0,65,0,,SPT_0019,0.974,0.006,0.08,0.01,61,0,61,0,0.016,124,1.196,0.23412,,hypothetical protein,FALSE
141,SPT_0020,0.991,0.004,0.065,0.014,,21,0,21,0,,SPT_0020,1.02,0.006,0.076,0.016,21,0,21,0,-0.028,40,1.302,0.20024,,hypothetical protein,FALSE
147,SPT_0021,1.004,0.004,0.063,0.013,,24,0,24,0,,SPT_0021,1,0.005,0.071,0.015,24,0,24,0,0.004,46,0.185,0.85441,,hypothetical protein,FALSE
429,SPT_0022,0.997,0.004,0.06,0.01,,36,0,36,0,,SPT_0022,1.002,0.009,0.094,0.016,34,0,34,0,-0.005,68,0.279,0.7809,,hypothetical protein,FALSE
174,SPT_0023,0.945,0.003,0.059,0.042,,2,0,2,0,,SPT_0023,1.072,0.001,0.034,0.024,2,0,2,0,-0.128,2,2.665,0.11669,,hypothetical protein,FALSE
