Gene,start,end,strand,na_length,gene.name,product
Rv0001,34,1524,+,1491,dnaA,Chromosomal replication initiator protein DnaA
Rv0002,2052,3260,+,1209,dnaN,DNA polymerase III beta subunit (EC 2.7.7.7)
Rv0003,3280,4437,+,1158,recF,DNA recombination and repair protein RecF
Rv0004,4497,4997,+,501,,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"
Rv0005,5207,7267,+,2061,gyrB,DNA gyrase subunit B (EC 5.99.1.3)
Rv0006,7302,9818,+,2517,gyrA,DNA gyrase subunit A (EC 5.99.1.3)
Rv0007,10484,10828,+,345,,FIG187021: hypothetical protein
Rv0008c,11874,12311,-,438,,FIG024317: hypothetical protein
Rv0009,12486,13016,+,531,ppiA,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
Rv0010c,13133,13447,-,315,,FIG020554: membrane protein
Rv0011c,13714,13995,-,282,,FIG018426: putative septation inhibitor protein
Rv0012,14134,14877,+,744,,FIG215594: Membrane spanning protein
Rv0013,14914,15612,+,699,trpG,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
Rv0014c,15590,17470,-,1881,pknB,Serine/threonine-protein kinase PknB (EC 2.7.11.1)
Rv0015c,17467,18762,-,1296,pknA,Serine/threonine-protein kinase PknA (EC 2.7.11.1)
Rv0016c,18759,20207,-,1449,pbpA,FtsI-like cell elongation transpeptidase
Rv0017c,20231,21598,-,1368,rodA,FtsW-like cell division membrane protein CA_C0505
Rv0018c,21637,23172,-,1536,ppp,Serine/threonine phosphatase PPP (EC 3.1.3.16)
Rv0019c,23270,23737,-,468,,FHA-domain-containing protein
Rv0020c,23861,25243,-,1383,TB39.8,FIG00824290: FHA domain protein
Rv0021c,25913,26881,-,969,,"putative oxidoreductase, nitronate monooxygenase family"
Rv0022c,27023,27442,-,420,whiB5,WhiB family transcriptional regulator
Rv0023,27595,28365,+,771,,HTH-type transcriptional regulator Rv0023
Rv0024,28362,29207,+,846,,Cell wall-associated hydrolases (invasion-associated proteins)
Rv0025,29245,29607,+,363,,FIG00821242: hypothetical protein
Rv0026,29722,31068,+,1347,,FIG00821131: hypothetical protein
Rv0027,31207,31506,+,300,,FIG00822329: hypothetical protein
Rv0028,31514,31819,+,306,,FIG00820004: hypothetical protein
Rv0029,32057,33154,+,1098,,Vegetative cell wall protein gp1 precursor
Rv0030,33224,33553,+,330,,FIG00820914: hypothetical protein
Rv0031,33510,33794,+,285,,Mobile element protein
Rv0032,34295,36610,+,2316,bioF2,Acetyltransferase (GNAT) domain / Serine palmitoyltransferase (EC 2.3.1.50)
