Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Vanc,var-19F-Vanc,sd-19F-Vanc,se-19F-Vanc,Total-19F-Vanc,Blank-19F-Vanc,Not Blank-19F-Vanc,Blank Removed-19F-Vanc,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
234,SPT_0170,0.623,0.007,0.081,0.033,,6,0,6,0,,SPT_0170,0.052943083,0.00609581,0.078075667,0.039037834,4,2,2,0,0.57,8,11.136,0,**,hypothetical protein,TRUE
471,SPT_0348,0.868,0.012,0.109,0.019,,33,0,33,0,,SPT_0348,0.261691652,0.06808924,0.260939149,0.058347768,20,7,13,0,0.606,51,9.88,0,**,hypothetical protein,TRUE
744,SPT_0397,0.938,0.011,0.104,0.016,,44,0,44,0,,SPT_0397,0.232794951,0.053669801,0.231667437,0.047288918,24,4,20,0,0.705,66,14.156,0,**,UDP-N-acetyl-D-mannosamine transferase,TRUE
1089,SPT_0402,0.887,0.014,0.12,0.012,,99,1,98,0,,SPT_0402,0.159969667,0.043465099,0.208482851,0.029483928,50,20,30,0,0.727,147,22.829,0,**,UDP-N-acetylglucosamine-2-epimerase,TRUE
1443,SPT_0797,0.903,0.011,0.107,0.009,,139,0,139,0,,SPT_0797,0.214641462,0.069972496,0.264523148,0.028198262,88,24,64,0,0.688,225,23.236,0,**,peptidoglycan GlcNAc deacetylase,TRUE
699,SPT_0828,0.901,0.012,0.109,0.015,,52,1,51,0,,SPT_0828,0.181956088,0.033765691,0.183754432,0.034122341,29,7,22,0,0.719,79,19.261,0,**,GntR family transcriptional regulator,TRUE
936,SPT_0928,0.931,0.006,0.077,0.012,,44,0,44,0,,SPT_0928,1.21558524,0.013964023,0.118169467,0.019694911,36,0,36,0,-0.284,78,12.45,0,**,DHH subfamily 1 protein,TRUE
810,SPT_0953,0.96,0.008,0.087,0.014,,41,0,41,0,,SPT_0953,0.115425286,0.068059449,0.260882059,0.055620242,22,4,18,0,0.844,61,14.746,0,**,LicD Protein,TRUE
564,SPT_0996,0.799,0.017,0.129,0.03,,18,0,18,0,,SPT_0996,0.217267894,0.026568725,0.162999157,0.047053804,12,2,10,0,0.582,28,10.381,0,**,integral membrane protein,TRUE
1671,SPT_0999,0.682,0.009,0.097,0.018,fhs,28,0,28,0,,SPT_0999,0.08114624,0.014648292,0.12103013,0.02641094,21,12,9,0,0.601,47,18.718,0,**,formate--tetrahydrofolate ligase,TRUE
615,SPT_1078,0.896,0.007,0.086,0.009,,91,0,91,0,,SPT_1078,0.281158529,0.039253522,0.198125016,0.027214564,53,6,47,0,0.615,142,21.46,0,**,pneumococcal vaccine antigen A,TRUE
1044,SPT_1118,0.673,0.034,0.184,0.033,,31,2,29,0,,SPT_1118,0.038555982,0.023742435,0.154085804,0.034454633,20,10,10,0,0.634,49,13.281,0,**,glycosyl transferase CpoA,TRUE
843,SPT_1218,1.006,0.009,0.096,0.011,,73,0,73,0,,SPT_1218,0.280466692,0.0413409,0.203324617,0.032148445,40,6,34,0,0.725,111,21.298,0,**,integral membrane protein,TRUE
2451,SPT_1397,1.05,0.006,0.075,0.006,,142,0,142,0,,SPT_1397,0.57592976,0.025175858,0.158669021,0.01832152,75,0,75,0,0.474,215,24.469,0,**,"DnaQ family exonuclease/DinG family helicase, putative",TRUE
675,SPT_1401,0.678,0.043,0.207,0.044,,22,2,20,0,,SPT_1401,0.021369283,0.003357911,0.057947485,0.018324604,10,8,2,0,0.656,30,13.735,0,**,transcriptional regulatory protein CiaR,TRUE
540,SPT_1603,0.972,0.005,0.073,0.013,,33,0,33,0,,SPT_1603,0.320170172,0.104953731,0.323965632,0.066129208,24,3,21,0,0.651,55,9.673,0,**,ylmF protein,TRUE
1974,SPT_2223,0.799,0.013,0.113,0.009,,152,0,152,0,,SPT_2223,1.173900383,0.018135597,0.134668471,0.012293493,120,0,120,0,-0.375,270,24.413,0,**,DHH subfamily 1 protein,TRUE
1362,SPT_0001,,,,,dnaA,,,,,,SPT_0001,,,,,,,,,,,,,,chromosomal replication initiation protein,FALSE
1137,SPT_0002,,,,,dnaN,,,,,,SPT_0002,,,,,,,,,,,,,,DNA polymerase III subunit beta,FALSE
195,SPT_0003,0.903,0.003,0.058,0.026,,5,0,5,0,,SPT_0003,0.905044802,0.001399827,0.03741426,0.021601133,3,0,3,0,-0.002,6,0.06,0.95403,,hypothetical protein,FALSE
420,SPT_0004,0.979,0.006,0.078,0.008,,100,0,100,0,,SPT_0004,0.992658662,0.013872167,0.117780166,0.014838906,63,0,63,0,-0.014,161,0.827,0.40939,,phage protein,FALSE
192,SPT_0005,1.005,0.005,0.069,0.021,,11,0,11,0,,SPT_0005,1.045414203,0.006003673,0.077483374,0.034651618,5,0,5,0,-0.041,14,1.008,0.33061,,hypothetical protein,FALSE
252,SPT_0006,0.989,0.011,0.105,0.013,,64,0,64,0,,SPT_0006,1.004743735,0.016861118,0.129850368,0.021347269,37,0,37,0,-0.015,99,0.61,0.54344,,hypothetical protein,FALSE
342,SPT_0007,0.996,0.009,0.095,0.011,,77,0,77,0,,SPT_0007,1.043446968,0.020270501,0.142374508,0.02054999,48,0,48,0,-0.048,123,2.051,0.04238,,phage replication protein,FALSE
126,SPT_0008,1.007,0.008,0.089,0.017,,27,0,27,0,,SPT_0008,1.03854211,0.013432666,0.11589938,0.029925091,15,0,15,0,-0.032,40,0.92,0.36298,,hypothetical protein,FALSE
525,SPT_0009,0.984,0.007,0.083,0.011,,61,0,61,0,,SPT_0009,0.980966633,0.021109001,0.145289369,0.023569048,38,0,38,0,0.003,97,0.103,0.91805,,phage protein,FALSE
198,SPT_0010,0.975,0.004,0.064,0.012,,29,0,29,0,,SPT_0010,0.993516854,0.01117054,0.105690777,0.025633779,17,0,17,0,-0.018,44,0.638,0.52698,,hypothetical protein,FALSE
1566,SPT_0011,0.986,0.007,0.084,0.004,,426,0,426,0,,SPT_0011,1.006903492,0.011152088,0.105603449,0.006474963,266,0,266,0,-0.021,690,2.715,0.00679,,"prophage Sa05, DNA primase, P4 family",FALSE
861,SPT_0012,0.987,0.005,0.07,0.009,,61,0,61,0,,SPT_0012,0.92379842,0.01352494,0.116296776,0.019382796,36,0,36,0,0.063,95,2.945,0.00406,,phage protein,FALSE
273,SPT_0013,1,0.007,0.081,0.016,,27,0,27,0,,SPT_0013,0.876611879,0.01446404,0.120266536,0.027591036,19,0,19,0,0.123,44,3.887,0.00034,,phage protein,FALSE
342,SPT_0014,0.987,0.005,0.074,0.013,,31,0,31,0,,SPT_0014,0.952497104,0.016910467,0.130040252,0.031539394,17,0,17,0,0.035,46,1.01,0.31796,,phage protein,FALSE
177,SPT_0015,1.009,0.006,0.079,0.019,,18,0,18,0,,SPT_0015,1.009963937,0.015032102,0.122605473,0.03400464,13,0,13,0,-0.001,29,0.019,0.9852,,hypothetical protein,FALSE
216,SPT_0016,1.029,0.016,0.125,0.032,,15,0,15,0,,SPT_0016,1.018721132,0.008997197,0.094853556,0.029995328,10,0,10,0,0.01,23,0.224,0.82473,,hypothetical protein,FALSE
267,SPT_0017,0.962,0.009,0.093,0.018,,28,0,28,0,,SPT_0017,0.928250199,0.00711559,0.084353959,0.02045884,17,0,17,0,0.033,43,1.237,0.2228,,hypothetical protein,FALSE
141,SPT_0018,1.017,0.005,0.072,0.023,,10,0,10,0,,SPT_0018,1.003484682,0.010986587,0.10481692,0.039617072,7,0,7,0,0.014,15,0.306,0.764,,hypothetical protein,FALSE
501,SPT_0019,0.993,0.007,0.081,0.01,,64,0,64,0,,SPT_0019,0.971516465,0.014193032,0.119134514,0.018605685,41,0,41,0,0.021,103,1.014,0.31273,,hypothetical protein,FALSE
141,SPT_0020,0.989,0.002,0.048,0.011,,21,0,21,0,,SPT_0020,0.942441907,0.012833612,0.113285533,0.032702716,12,0,12,0,0.046,31,1.342,0.18926,,hypothetical protein,FALSE
147,SPT_0021,0.98,0.002,0.047,0.009,,25,0,25,0,,SPT_0021,0.941738647,0.008761873,0.093604876,0.025961322,13,0,13,0,0.038,36,1.388,0.17361,,hypothetical protein,FALSE
429,SPT_0022,0.992,0.005,0.07,0.012,,36,0,36,0,,SPT_0022,0.978378744,0.009456849,0.097246334,0.020277262,23,0,23,0,0.013,57,0.577,0.56653,,hypothetical protein,FALSE
174,SPT_0023,0.938,0.002,0.046,0.026,,3,0,3,0,,SPT_0023,0.932991784,0.003819023,0.061798245,0.043697958,2,0,2,0,0.005,3,0.108,0.92099,,hypothetical protein,FALSE
249,SPT_0024,0.974,0.006,0.081,0.02,,17,0,17,0,,SPT_0024,0.958881598,0.01004151,0.100207335,0.028927366,12,0,12,0,0.015,27,0.428,0.67223,,hypothetical protein,FALSE
606,SPT_0025,1.009,0.012,0.11,0.018,,38,0,38,0,,SPT_0025,0.990093932,0.01591833,0.126167865,0.023843485,28,0,28,0,0.019,64,0.649,0.51882,,hypothetical protein,FALSE
