"label","id","Degree","Betweenness","Pagerank","Cluster","Gene","Strain","Diameter","Count","N","Essential","Var","TIGR4.old.x","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.old.y","TIGR4.new","TAIWAN.19F.new","D39.old","D39.new"
"SPT_1493",3,2,0,1.22504963351636e-17,3523,"SPT_RS07420","19F",0.00186561103519041,372,371,TRUE,1.21199864476701,"SP_1551","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","Cation transporter E1-E2 family ATPase",13,"Evolvable.Essential","SP_1551","SP_RS07650","SPT_RS07420","SPD_1383","SPD_RS07280"
"SPT_1743",4,2,0,7.95647846171194e-18,566,"SPT_RS08685","19F",0.0961774216258249,421,371,FALSE,1.11725472534854,"SP_1823","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"mgtC","Mg(2+)-transport-ATPase-associated protein MgtC",0,"Nonessential","SP_1823","SP_RS09045","SPT_RS08685","SPD_1606","SPD_RS08495"
"SPT_1240",7,5,22.6064235339906,3.25273813438401e-05,3191,"SPT_RS06150","19F",0.00799798045933042,372,371,FALSE,2.60237391451161,"SP_0963","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"pyrK","dihydroorotate dehydrogenase, electron transfer subunit",0,"Nonessential","SP_0963","SP_RS04775","SPT_RS06150","SPD_0851","SPD_RS04540"
"SPT_1239",8,5,22.6064235339906,3.25273813438288e-05,1637,"SPT_RS06145","19F",0.00651839975174621,372,371,FALSE,1.86310045631461,"SP_0964","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"pyrDB","dihydroorotate dehydrogenase B",0,"Nonessential","SP_0964","SP_RS04780","SPT_RS06145","SPD_0852","SPD_RS04545"
"SPT_0637",13,16,7.8,1.02148139735122e-09,3853,"SPT_RS03175","19F",0.00500292815679575,372,371,TRUE,0.391928948186244,"SP_0611","Intracellular","GENETIC INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING",NA,"DNA repair and editing",NA,NA,2,"recJ","single-stranded-DNA-specific exonuclease RecJ",8,"Evolvable.Essential","SP_0611","SP_RS03005","SPT_RS03175","SPD_0532","SPD_RS02855"
"SPT_1019",14,12,0,9.95431900346115e-10,1949,"SPT_RS05030","19F",0.00601490836087118,372,371,FALSE,0.331555054795191,"SP_1207","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"XseA","Exodeoxyribonuclease VII, large subunit",5,"Evolvable.Essential","SP_1207","SP_RS05930","SPT_RS05030","SPD_1067","SPD_RS05660"
"SPT_1020",15,12,0,9.9543191327823e-10,37,"SPT_RS05035","19F",0.00908082595870207,372,371,FALSE,0.707934413324011,"SP_1206","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"XseB","Exodeoxyribonuclease VII, small subunit",2,"Evolvable.Essential","SP_1206","SP_RS05925","SPT_RS05035","SPD_1066","SPD_RS05655"
"SPT_1857",16,30,1022.37811855293,8.6112820464057e-09,3703,"SPT_RS09235","19F",0.00390857358564258,372,371,FALSE,1.16357521755904,"SP_1908","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"ssbB","Single-stranded DNA-binding protein",0,"Nonessential","SP_1908","SP_RS09595","SPT_RS09235","SPD_1711","SPD_RS09040"
"SPT_1478",17,30,1022.37811855293,8.61128207481944e-09,1125,"SPT_RS07345","19F",0.138205444158207,466,371,TRUE,0.504490967212106,"SP_1540","Intracellular","GENETIC INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING",NA,"Replication","DNA repair and editing",NA,2,"Ssb","Single-stranded DNA-binding protein;",14,"Evolvable.Essential","SP_1540","SP_RS07585","SPT_RS07345","SPD_1369","SPD_RS07205"
"SPT_0996",18,1,0,3.77286859650246e-18,1877,"SPT_RS04920","19F",0.00238237166949961,372,371,FALSE,0.711257645866185,"SP_1232","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","Hypothetical Protein",0,"Nonessential","SP_1232","SP_RS06040","SPT_RS04920","SPD_1090","SPD_RS05775"
"SPT_0995",19,1,0,5.82163907998493e-18,3417,"SPT_RS04915","19F",0.0107677690661798,371,370,FALSE,0.586151432375774,"SP_1233",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","Hypothetical Protein",0,"Nonessential","SP_1233","SP_RS06045","SPT_RS04915","SPD_1091","SPD_RS05780"
"SPT_1426",20,60,3863.44317166895,0.00701302542681221,112,"SPT_RS07090","19F",0,372,371,TRUE,0.548946362570423,"SP_1489","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"Tu","Elongation factor",15,"Essential","SP_1489","SP_RS07325","SPT_RS07090","SPD_1318","SPD_RS06940"
"SPT_0470",21,60,3863.44317166895,0.00701302542681219,185,"SPT_RS02355","19F",0.000492569002123142,372,371,FALSE,0.220995724989469,"SP_0435","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"efp"," elongation factor P",4,"Evolvable.Essential","SP_0435","SP_RS02145","SPT_RS02355","SPD_0395","SPD_RS02105"
"SPT_0318",22,60,3863.44317166895,0.00701302542681219,950,"SPT_RS01605","19F",0.00142956051816766,372,371,TRUE,0.396396366607767,"SP_0273","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"fusA","elongation factor G",15,"Essential","SP_0273","SP_RS01330","SPT_RS01605","SPD_0253","SPD_RS01355"
"SPT_1324",23,95,273.723168329324,0.961630341981766,2558,"SPT_RS06575","19F",0.0068040385424817,372,371,FALSE,1.64054248015639,"SP_0877","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system fructose specific transporter subunit IIABC",0,"Nonessential","SP_0877","SP_RS04325","SPT_RS06575","SPD_0773","SPD_RS04100"
