"label","id","Degree","Betweenness","Pagerank","Cluster","Strain","Diameter","Count","N","Essential","Var","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.new","TAIWAN.19F.old","TAIWAN.19F.new","D39.old","D39.new"
"SP_1207",1,12,0,9.96192529050023e-11,1949,"TIGR4",0.00601490836087118,372,371,FALSE,0.331555054795191,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"XseA","Exodeoxyribonuclease VII, large subunit",5,"Evolvable.Essential","SP_RS05930","SPT_1019","SPT_RS05030","SPD_1067","SPD_RS05660"
"SP_0611",2,16,7.8,1.01960413100639e-10,3853,"TIGR4",0.00500292815679575,372,371,TRUE,0.391928948186244,"Intracellular","GENETIC INFORMATION PROCESSING","GENETIC INFORMATION PROCESSING",NA,"DNA repair and editing",NA,NA,2,"recJ","single-stranded-DNA-specific exonuclease RecJ",8,"Evolvable.Essential","SP_RS03005","SPT_0637","SPT_RS03175","SPD_0532","SPD_RS02855"
"SP_0232",3,15,864.733120936847,0.000185706302647335,1665,"TIGR4",0,372,371,TRUE,0.67227472959918,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"infA","translation initiation factor IF-1",15,"Essential","SP_RS01120","SPT_0278","SPT_RS01400","SPD_0215","SPD_RS01155"
"SP_0959",4,15,864.733120936847,0.000185706302647328,3865,"TIGR4",0.00127790703784272,372,371,TRUE,0.897100041195837,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"infC","translation initiation factor IF-3",14,"Evolvable.Essential","SP_RS04755","SPT_1244","SPT_RS06170","SPD_0847","SPD_RS04520"
"SP_1489",5,60,3858.72996636954,0.00349751961760687,112,"TIGR4",0,372,371,TRUE,0.548946362570423,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"Tu","Elongation factor",15,"Essential","SP_RS07325","SPT_1426","SPT_RS07090","SPD_1318","SPD_RS06940"
"SP_0435",6,60,3858.72996636954,0.00349751961760691,185,"TIGR4",0.000492569002123142,372,371,FALSE,0.220995724989469,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"efp"," elongation factor P",4,"Evolvable.Essential","SP_RS02145","SPT_0470","SPT_RS02355","SPD_0395","SPD_RS02105"
"SP_1366",7,7,932.182912091345,0.000801176143420033,3469,"TIGR4",0.0112641461599506,372,371,FALSE,0.311204543917756,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","Glycosyl transferase, Group 1 family",15,"Essential","SP_RS06690","SPT_0907","SPT_RS04500","SPD_1200","SPD_RS06335"
"SP_1365",8,7,932.182912091345,0.000801176143420026,1947,"TIGR4",0.00689093570752802,372,371,TRUE,0.332289101355407,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","Glycosyl transferase, Group 2 family",15,"Essential","SP_RS06685","SPT_0908","SPT_RS04505","SPD_1199","SPD_RS06330"
"SP_2162",9,97,100.098983195225,0.883413549684906,3959,"TIGR4",0.000330105263157897,233,232,FALSE,1.15438523895915,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose-specific IIC component",0,"Nonessential","SP_RS11030","SPT_2175","SPT_RS10770","SPD_1990","SPD_RS10455"
"SP_2164",10,97,100.098983195225,0.883413549684906,2842,"TIGR4",0.016475567462589,232,232,FALSE,1.11007874660992,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose specific IIA component",0,"Nonessential","SP_RS11040","SPT_2177","SPT_RS10780","SPD_1992","SPD_RS10465"
"SP_2161",11,97,100.098983195225,0.883413549684907,2081,"TIGR4",0.000781901748040991,232,232,FALSE,1.30977895755234,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system, mannose-specific IID component",0,"Nonessential","SP_RS11025","SPT_2174","SPT_RS10765","SPD_1989","SPD_RS10450"
"SP_0063",12,97,100.098983195225,0.883413549684906,448,"TIGR4",0.000309444331722146,372,371,FALSE,2.36869642317799,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManZ","PTS system transporter subunit IID",0,"Nonessential","SP_RS00350","SPT_0100","SPT_RS00510","SPD_0068","SPD_RS00360"
"SP_0283",13,97,100.098983195225,0.883413549684906,3268,"TIGR4",0.000427921092564491,372,371,FALSE,1.48470451752151,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIC",1,"Evolvable.Essential","SP_RS01390","SPT_0328","SPT_RS01665","SPD_0263","SPD_RS01410"
"SP_0284",14,97,100.098983195225,0.883413549684906,3598,"TIGR4",0.00198420519169713,372,371,FALSE,1.1209078695379,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IIAB",0,"Nonessential","SP_RS01395","SPT_0329","SPT_RS01670","SPD_0264","SPD_RS01415"
"SP_0061",15,97,100.098983195225,0.883413549684906,1129,"TIGR4",0.00261589445777414,372,371,FALSE,1.62659197295268,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIB",0,"Nonessential","SP_RS00340","SPT_0098","SPT_RS00500","SPD_0066","SPD_RS00350"
"SP_0282",16,97,100.098983195225,0.883413549684906,1470,"TIGR4",0.00015076923076923,372,371,FALSE,1.89948923956441,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannose-specific transporter subunit IID",0,"Nonessential","SP_RS01385","SPT_0327","SPT_RS01660","SPD_0262","SPD_RS01405"
"SP_0064",17,97,100.098983195225,0.883413549684906,1988,"TIGR4",0.00836027200624396,372,371,FALSE,1.4233149082242,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ManX","PTS system transporter subunit IIA",0,"Nonessential","SP_RS00355","SPT_0101","SPT_RS00515","SPD_0069","SPD_RS00365"
"SP_1823",18,2,0,0,566,"TIGR4",0.0961774216258249,421,371,FALSE,1.11725472534854,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"mgtC","Mg(2+)-transport-ATPase-associated protein MgtC",0,"Nonessential","SP_RS09045","SPT_1743","SPT_RS08685","SPD_1606","SPD_RS08495"
