Gene,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,SequenceDiameter,SequencePrevalence,Essential,ExpressionPlasticity,Location.Tag,Gene.Name,Gene.Description
SP_0001,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.001152389,371,TRUE,0.391487739,Intracellular,dnaA,chromosomal replication initiator protein DnaA
SP_0002,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.001040796,371,TRUE,0.343077682,Intracellular,dnaN,DNA polymerase III beta sliding clamp subunit
SP_0003,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.008358329,371,FALSE,0.481591638,NA,,
SP_0004,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003677591,371,FALSE,0.709888231,Intracellular,ychF,GTP-dependent nucleic acid-binding protein EngD
SP_0005,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.005749252,371,TRUE,0.821963031,Intracellular,pth,Peptidyl-tRNA hydrolase
SP_0006,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.004992108,371,FALSE,0.873479713,Intracellular,mfd,Transcription-repair coupling factor
SP_0007,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,371,FALSE,0.717892739,Intracellular,,
SP_0008,CELLULAR PROCESSES,NA,NA,Cell division,NA,NA,1,0.001956434,371,TRUE,0.842149926,Membrane,FtsB,
SP_0009,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.00556701,370,FALSE,0.697054735,NA,,
SP_0010,METABOLISM,NA,NA,Antibiotic response/sensing,NA,NA,1,0.002070978,371,FALSE,0.88661007,Cell Wall,penP,
SP_0011,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.00702076,371,TRUE,0.703574371,Intracellular,tilS, tRNA(Ile)-lysidine synthetase 
SP_0012,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.003173061,371,FALSE,0.584365029,Intracellular,HptA,Hypoxanthine-guanine phosphoribosyltransferase
SP_0013,CELLULAR PROCESSES,NA,NA,Cell division,NA,NA,1,0.002060333,371,FALSE,0.608836133,Cell Wall,FtsH,cell division protein FtsH
SP_2006,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.005639503,328,FALSE,2.187255523,Intracellular,comX,Competence-specific sigma factor ComX
SP_0014,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Transcription,Cellular community,NA,2,0.005639503,328,FALSE,1.35113691,Intracellular,comX1,transcriptional regulator ComX1
SP_0018,GENETIC INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Transcription,Cellular community,NA,2,0.010521992,371,FALSE,1.386427755,Intracellular,comW,
SP_0019,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.003299779,371,FALSE,0.796900288,Intracellular,purA,adenylosuccinate synthetase
SP_0020,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004794061,370,FALSE,0.562735864,Intracellular,tadA,cytidine/deoxycytidylate deaminase
SP_0021,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004174775,371,FALSE,0.541919463,Intracellular,dut,deoxyuridine 5'-triphosphate nucleotidohydrolase
SP_0022,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.007339971,371,FALSE,0.707335759,Intracellular,,
SP_0024,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.001438471,371,FALSE,0.945078064,Intracellular,,
SP_0025,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.325749808,369,FALSE,0.769650857,NA,,
SP_0026,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.325749808,369,FALSE,1.260029064,NA,,
SP_1095,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.235507739,371,FALSE,0.711661162,Intracellular,,Ribose-phosphate pyrophosphokinase 2 (RPPK 2) (EC 2.7.6.1)
SP_0027,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.235507739,371,TRUE,1.00698165,Intracellular,prsA,ribose-phosphate pyrophosphokinase
SP_0032,GENETIC INFORMATION PROCESSING,NA,NA,Replication,NA,NA,1,0.00480076,371,TRUE,0.294056296,Intracellular,polA,DNA polymerase I
SP_0033,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.004217479,369,FALSE,1.651160448,Intracellular,,
SP_0034,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.021193139,371,FALSE,0.502661459,Membrane,,
SP_0035,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.004889852,371,FALSE,0.409044413,Intracellular,araT,aromatic amino acid aminotransferase
